Protein_Group	Genes	Piezo1_KO_YODA1-_vs_Ctrl_Piezo1_KO_YODA1-_logFC	Piezo1_KO_YODA1-_vs_Ctrl_Piezo1_KO_YODA1-_pval
O00519	FAAH	1.87839611420455	0.0041496347023408
O60687	SRPX2	1.51166164803079	0.0002482470241511
O75197	LRP5	2.06197609137272	0.0004933475070399
O95497	VNN1	1.22994122557086	0.000338985502705
P00450	CP	1.22380389177584	0.0005071147144921
P01031	C5	1.18329955279152	0.0008997263296508
P02753	RBP4	1.11274675308998	0.0007398907821064
P05062	ALDOB	1.33225748083322	0.0099099138747158
P05362	ICAM1	1.23018021923559	1.6964983638545e-12
P05546	SERPIND1	1.11375904472167	0.0026252253667662
P08183	ABCB1	1.60733225578979	0.0041140466364842
P08493	MGP	2.47456917436856	1.21803233976823e-08
P09619	PDGFRB	2.24310185187039	0.005324353988473
P17676	CEBPB	1.15213360653612	3.42101760995181e-05
P21579	SYT1	1.12251727129848	5.34051975827605e-07
P21980	TGM2	1.47813233723902	0.0079686461252907
P22223	CDH3	1.93321903868466	0.0003395776242887
P25774	CTSS	1.16207167331461	6.88909526872944e-05
P28330	ACADL	2.30952275584971	0.0068843169465356
P35442	THBS2	1.89809242475027	2.49170051187904e-06
P35443	THBS4	1.29298293186786	0.0092504229632262
P41221	WNT5A	1.34556878073471	0.0006183261829419
P47929	LGALS7B	1.56955518895357	0.0042594246653324
P49747	COMP	1.8207048650945	0.0005839667317393
P51793	CLCN4	2.15211649429985	1.632476497259e-05
P51843	NR0B1	4.0933547021971	6.7799915832875e-05
Q00604	NDP	1.2680678824601	0.0015089135659365
Q03167	TGFBR3	1.20319842662671	0.001686995880933
Q12884	FAP	1.6249869898445	0.0076170122944344
Q13268	DHRS2	1.74970770898451	0.0008419710235245
Q14956	GPNMB	1.10979191764359	7.8722767883458e-05
Q15198	PDGFRL	3.07993705762395	0.0012659032218701
Q3KP31	ZNF791	1.30197135887018	0.0036552677278259
Q5VT66	MTARC1	1.90743511695091	0.0006993803621881
Q86UX7	FERMT3	1.36744904460044	0.0043570063819106
