Protein_Group	Genes	Piezo1_OE_YODA1-_vs_Ctrl_Piezo1_OE_YODA1-_logFC	Piezo1_OE_YODA1-_vs_Ctrl_Piezo1_OE_YODA1-_pval
O00622	CCN1	1.44195354716668	6.03781546043952e-05
O15194	CTDSPL	0.874330744312562	0.0026023138121584
O15264	MAPK13	0.939555897072347	0.0081352697534223
O43278	SPINT1	1.6549695972643	0.005388078190955
O94907	DKK1	1.4665074001486	0.0029000334183214
O95497	VNN1	1.64113467990551	1.03323353728181e-05
O95716	RAB3D	1.33762619405052	0.0007726387824698
P00450	CP	1.49258544845515	7.43543618441957e-05
P00488	F13A1	1.1863863898703	0.0018495920404814
P01031	C5	1.03041276554741	0.0054210280057974
P02461	COL3A1	1.21818943259052	0.0026056106403928
P02656	APOC3	0.994424160889388	0.0017859416940927
P05062	ALDOB	1.46087670839302	0.0074271305167455
P05546	SERPIND1	1.5433275379379	0.00011399750371
P07225	PROS1	1.4038311262988	0.0008057936363351
P08183	ABCB1	2.25809830251889	0.0001889513061385
P19823	ITIH2	1.12211629779171	0.0002232372609834
P20742	PZP	1.12277477872426	0.000353747933874
P29279	CCN2	0.973767721610411	1.71147196284257e-05
P35443	THBS4	1.6172956947631	0.0022466483675748
P49747	COMP	1.55042450533952	0.0047504768039616
Q13751	LAMB3	1.84191265033838	0.0004397878285129
Q14520	HABP2	1.15809721327306	0.0015833600694685
Q15493	RGN	0.997047993752194	7.15268535896325e-05
Q29980	MICB	0.932961062369579	2.10746598675319e-06
Q5TCX8	MAP3K21	1.64155134443171	1.54949292269063e-05
Q5VYS8	TUT7	1.61842120849705	0.0043438283543354
Q6KF10	GDF6	1.49072360389612	0.0061681161182309
Q6UXT9	ABHD15	1.00405645993728	0.0073794230110733
Q6ZMZ3	SYNE3	3.06244740496684	0.0067977440147802
Q76EJ3	SLC35D2	1.76255330681411	0.0044547279878353
Q86UX7	FERMT3	1.3646808132134	0.0067636334067486
Q8NDV1	ST6GALNAC3	2.00423180992085	2.45617610238167e-05
Q8NFJ5	GPRC5A	1.06245056632186	0.0001438112617118
Q8TBN0	RAB3IL1	2.90124303501792	0.0025650130851814
Q92485	SMPDL3B	1.19466766423422	0.0036933128436811
Q92508	PIEZO1	2.21367494694768	4.62063795706712e-22
Q96C00	ZBTB9	1.99659287664645	0.0027684225879002
Q96C24	SYTL4	2.94831355363757	0.0035882095776068
Q96ED9	HOOK2	2.92473055687804	0.002646578973513
Q96JH8	RADIL	2.28851031258406	0.0002102116250088
Q96LT4	SAMD8	0.912207316381952	0.0042399577397107
Q99758	ABCA3	2.93693472698221	0.0010056984687431
Q99988	GDF15	2.60727491268748	6.42782842431419e-07
Q9BXJ4	C1QTNF3	1.39801944521487	0.000232679848954
Q9BXX0	EMILIN2	2.82419677898041	8.20670862391137e-07
Q9H156	SLITRK2	1.52437861958018	0.0049116698067924
Q9HCB6	SPON1	1.91817571227191	0.0005779260826094
Q9UK55	SERPINA10	0.86883258017199	0.0046245592789002
Q9Y240	CLEC11A	1.52656250200976	6.14486077697279e-05
O15540	FABP7	-0.955331033393275	0.0026135801881011
O43623	SNAI2	-1.45552050807709	0.0066275255591892
O60285	NUAK1	-2.26890061252863	0.0052132232003437
P01011	SERPINA3	-1.68606969525042	0.0065209102213412
P15090	FABP4	-1.28941635170344	0.0053987561473676
P23471	PTPRZ1	-3.06769696670138	4.53410359478622e-06
P23759	PAX7	-0.934612416768029	0.0027748822768903
P26374	CHML	-1.03857888621078	0.0032398847012311
P51523	ZNF84	-0.890526172616465	0.0061499284996345
P56645	PER3	-3.74373810316655	0.0002409555673478
Q08174	PCDH1	-1.30641935429291	0.0012261325801871
Q13002	GRIK2	-0.946369208801318	0.0033192713785398
Q2NL68	PROSER3	-3.4087507548009	0.0048402843837422
Q5BKX5	C19orf54	-1.15659043403715	0.0061009393925777
Q6N021	TET2	-0.886542333979506	0.000410257661905
Q96GU1	PAGE5	-1.09322811941964	0.0001422286119898
Q9BXA9	SALL3	-1.43153697492969	0.0011148135216042
Q9C0H6	KLHL4	-1.10170247508501	0.0018087422319469
Q9H3M7	TXNIP	-1.02986045262468	0.0059153662197121
Q9H5Z1	DHX35	-4.9365598688042	0.0006802073123473
Q9HAR2	ADGRL3	-3.09759751827709	0.0052790244865472
Q9UMD9	COL17A1	-2.5782870818766	8.72832824087998e-06
Q9UPQ7	PDZRN3	-1.7417772523353	0.003273637302254
Q9Y663	HS3ST3A1	-1.08716536594975	0.0069038063875066
