Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Category
prerank,GO_Biological_Process_2023__Fatty Acid Oxidation (GO:0019395),-0.7357296441254961,-1.981810037434699,0.0,0.0401494817333667,0.039,5/39,4.41%,ECHDC2;CYP4V2;ADIPOQ;PHYH;PEX2,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Fatty Acid Beta-Oxidation (GO:0006635),-0.6769118684419504,-1.8732954725943904,0.0020661157024793,0.1925350146759176,0.311,4/44,5.36%,ECHDC2;ADIPOQ;PEX2;ACADL,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Peptidyl-Threonine Dephosphorylation (GO:0035970),0.8542358894029111,1.848241944730626,0.0039292730844793,1.0,0.765,1/12,0.01%,PPM1E,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Negative Regulation Of Organelle Assembly (GO:1902116),-0.7260552235066666,-1.843964016643109,0.0,0.2226471259759426,0.454,9/29,9.58%,KIF24;MPHOSPH9;CEP97;EVI5L;FEZ1;TESK1;TBC1D7;MDM1;TCHP,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Prostaglandin Biosynthetic Process (GO:0001516),0.872193602788664,1.800966216506391,0.0019685039370078,1.0,0.918,3/10,3.67%,AMH;PTGS2;PRXL2B,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Triglyceride Metabolic Process (GO:0006641),0.7589973966582624,1.7948682417458588,0.0020746887966804,1.0,0.937,8/23,11.83%,APOC3;APOA2;APOE;LIPE;PNPLA4;APOB;LPIN2;SIRT1,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Amyloid Precursor Protein Metabolic Process (GO:0042982),0.8032093284508446,1.7664940671771123,0.003883495145631,1.0,0.97,5/14,10.11%,APOE;TMCC2;BACE1;ADAM19;PSENEN,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Hydrogen Peroxide Catabolic Process (GO:0042744),0.877418382035337,1.7636566242771807,0.0019920318725099,0.952434108339272,0.972,3/10,2.77%,GPX3;GPX1;HBB,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Negative Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120033),-0.7331625769636333,-1.758913582638714,0.0,0.7060377611634656,0.888,6/22,6.24%,KIF24;MPHOSPH9;CEP97;EVI5L;TESK1;TBC1D7,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Negative Regulation Of Cilium Assembly (GO:1902018),-0.8198317278649815,-1.7549887298735367,0.0039603960396039,0.597314789605951,0.904,6/13,6.24%,KIF24;MPHOSPH9;CEP97;EVI5L;TESK1;TBC1D7,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Positive Regulation Of Cell Cycle (GO:0045787),0.6352433100049562,1.7475866452706543,0.003831417624521,1.0,0.981,13/53,9.15%,TGM1;NKX3-1;FGFR2;MDM2;CCDC57;CCND1;SPHK1;MARK4;CITED2;TBX3;CCPG1;FOXA1;RPS6KB1,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Fatty Acid Catabolic Process (GO:0009062),-0.6175361967431785,-1.7461260761273871,0.0020242914979757,0.5654385344115811,0.938,6/52,5.36%,ECHDC2;FAAH;ADIPOQ;PHYH;PEX2;ACADL,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Endosome To Lysosome Transport (GO:0008333),-0.6308647327038768,-1.7293792304103242,0.0040899795501022,0.6240115878494364,0.972,24/45,23.94%,HOOK2;TRAK1;EPG5;CACNG4;RILP;SORT1;LYST;VPS11;DTX3L;VIPAS39;VPS16;KIF13A;MTM1;PLEKHF2;ATG14;UBXN6;VPS4B;VPS18;VPS33A;VPS39;RHOB;AP3D1;VPS41;VPS33B,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Ubiquinone Metabolic Process (GO:0006743),0.7976191326763642,1.724406429780947,0.0154440154440154,1.0,0.997,8/14,14.01%,COQ7;COQ4;COQ2;COQ5;COQ3;COQ6;COQ8A;UBIAD1,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Positive Regulation Of Calcium Ion Transmembrane Transport (GO:1904427),0.8054102570112677,1.7199322133872594,0.011605415860735,1.0,0.997,3/13,3.05%,CEMIP;PPP3CC;F2,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Memory (GO:0007613),0.6945937633822712,1.7193025722961996,0.0220883534136546,0.9500774757385506,0.997,7/28,9.12%,SGK1;PLK2;APOE;RGS14;ATXN1L;BDNF;LDLR,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Regulation Of Lipid Metabolic Process (GO:0019216),0.7235287329650968,1.7181299189119164,0.0115606936416184,0.8909680057027616,0.997,5/25,5.21%,APOC3;SERPINA3;ABCA7;BBS4;SIRT6,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Quinone Biosynthetic Process (GO:1901663),0.823601714754266,1.7167274153193863,0.0136186770428015,0.8429209047634555,0.997,7/12,14.01%,COQ7;COQ4;COQ5;COQ3;COQ6;COQ8A;UBIAD1,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Integrated Stress Response Signaling (GO:0140467),0.7663673335527214,1.715440813965265,0.0138067061143984,0.800811912185347,0.997,6/18,6.47%,FOS;FOSL1;JUNB;NFE2L3;JUN;NFE2L2,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Ubiquinone Biosynthetic Process (GO:0006744),0.8070631757926428,1.7112036869270852,0.0116959064327485,0.7854100729641578,0.998,7/13,14.01%,COQ7;COQ4;COQ5;COQ3;COQ6;COQ8A;UBIAD1,GO_Biological_Process_2023
prerank,GO_Biological_Process_2023__Carbohydrate Catabolic Process (GO:0016052),-0.6536128735294962,-1.70031055218577,0.0064102564102564,0.8002521700036954,0.992,19/29,23.73%,ALDOB;AMY2A;PGK2;MANBA;NEU1;PFKM;PKLR;PGM1;NAGA;ALDOC;DERA;MAN2C1;PFKL;PKM;CTBS;GPI;PGAM1;ENO1;GAPDH,GO_Biological_Process_2023
