,parent,parentTerm,term,ES,NES,fdr,Gene %,Genes,description
0,GO:0097485,neuron projection guidance,GO:0097485,-0.6665970305886448,-2.0272480003963715,0.0061682760998247,7.63%,SEMA6B;SEMA3B;UNC5C;EFNB2;CNTN1;NRCAM;NEO1;EPHA5;EFNA5;EPHA4;FEZ1;EPHB3;GLI2;MYCBP2;SEMA4C;DAG1;SEMA3C;SIAH1;SEMA4D;PALLD;CYFIP2,GO_Biological_Process_2023__Neuron Projection Guidance (GO:0097485)
1,GO:0006954,inflammatory response,GO:0006954,0.6459366613074065,2.007085356368141,0.0468132170771951,6.85%,RELB;GATA3;ADM;MGLL;IRAK2;TLR4;KIT;S100A8;CCL2;FOS;CEBPB;CCL26;SERPINA3;S100A9;NFATC3;KRT16;TNFSF4;HDAC5;LGALS9;AFAP1L2;WNT5A;LYZ;NFKB2,GO_Biological_Process_2023__Inflammatory Response (GO:0006954)
2,GO:0002431,Fc receptor mediated stimulatory signaling pathway,GO:0002431,0.7973760485557023,1.7738877624913632,0.3983678954613586,7.89%,VAV3;PRKCE;FYN;PLPP4,GO_Biological_Process_2023__Fc Receptor Mediated Stimulatory Signaling Pathway (GO:0002431)
3,GO:0050671,positive regulation of lymphocyte proliferation,GO:0050671,0.6840711157008479,1.760908685294261,0.4051129323612052,10.41%,VAV3;NFATC2;IRS2;IL6ST;MEF2C;CD70;CD274;CD276;PDCD1LG2,GO_Biological_Process_2023__Positive Regulation Of Lymphocyte Proliferation (GO:0050671)
4,GO:0010647,positive regulation of cell communication,GO:0010647,0.7670363368255666,1.7397143681428675,0.4120869242014097,13.91%,GATA3;CLSTN3;ANK3;GRIK2;SYT1;GATA6;WLS;HOMER1,GO_Biological_Process_2023__Positive Regulation Of Cell Communication (GO:0010647)
5,GO:1903320,regulation of protein modification by small protein conjugation or removal,GO:1903320,0.7696380566797445,1.852838020061163,0.4128587337410463,6.04%,EGR1;HIF1A;TGFBR1;ZMIZ1,GO_Biological_Process_2023__Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903320)
6,GO:2000630,positive regulation of miRNA metabolic process,GO:2000630,0.6422855565040637,1.743556852540051,0.4161174851306236,5.96%,EGR1;GATA3;KLF5;HIF1A;FOS;FOSL1;FOXA1;MYC;SMAD3,GO_Biological_Process_2023__Positive Regulation Of miRNA Metabolic Process (GO:2000630)
7,GO:0045922,negative regulation of fatty acid metabolic process,GO:0045922,0.8043535344971653,1.7472476105479833,0.4218166136920334,1.12%,APOC3;TRIB3,GO_Biological_Process_2023__Negative Regulation Of Fatty Acid Metabolic Process (GO:0045922)
8,GO:0006639,acylglycerol metabolic process,GO:0006639,0.7334711038748578,1.7609505168116628,0.4340495703870056,3.37%,APOC3;MGLL;APOE;APOA2;ABHD2;DGKD,GO_Biological_Process_2023__Acylglycerol Metabolic Process (GO:0006639)
9,GO:0006814,sodium ion transport,GO:0006814,0.7132400560330182,1.7061282951332717,0.4378923076553574,14.36%,SGK1;SLC9B2;KCNK1;SLC6A6;ATP1B3;TPCN2;SLC9A8;ATP1B1;SLC6A9;SLC5A6,GO_Biological_Process_2023__Sodium Ion Transport (GO:0006814)
10,GO:0002237,response to molecule of bacterial origin,GO:0002237,0.6554616301758627,1.748695028331981,0.4394379247622852,4.34%,PALM3;S100A14;TNFAIP3;TLR4;S100A8;S100A7;S100A9;NOCT;LGALS9,GO_Biological_Process_2023__Response To Molecule Of Bacterial Origin (GO:0002237)
11,GO:0019935,cyclic-nucleotide-mediated signaling,GO:0019935,0.7492199106142532,1.7076382590291517,0.447963006402307,1.06%,KSR1;ADGRG6;APOE,GO_Biological_Process_2023__Cyclic-Nucleotide-Mediated Signaling (GO:0019935)
12,GO:0070131,positive regulation of mitochondrial translation,GO:0070131,0.7313243637282903,1.6634207197365796,0.4624920241361449,0.37%,NGRN,GO_Biological_Process_2023__Positive Regulation Of Mitochondrial Translation (GO:0070131)
13,GO:0032366,intracellular sterol transport,GO:0032366,0.7640243592818876,1.6873043016948213,0.4629808368445814,8.05%,GRAMD1C;STARD4;GRAMD1B;SERAC1;NPC1,GO_Biological_Process_2023__Intracellular Sterol Transport (GO:0032366)
