Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,MSigDB_Hallmark_2020__TNF-alpha Signaling via NF-kB,0.7285054193525338,2.3741430815122984,0.0,0.0,0.0,60/119,9.55%,RELB;EGR1;FOSB;ATF3;PTGS2;RCAN1;SGK1;MAFF;KDM6B;LIF;KLF2;BCL6;IL7R;IER3;NFIL3;TNFAIP3;IER2;CCL2;FOS;SLC2A3;PLAUR;CSF1;CEBPB;BHLHE40;IRS2;FOSL1;PLAU;IRF1;SNN;CCND1;VEGFA;TRAF1;SPHK1;IL6ST;TGIF1;LDLR;ABCA1;F3;JUNB;MYC;SMAD3;ATP2B1;PHLDA1;PTX3;TNIP1;PLK2;BTG1;PTPRE;NFKB2;ETS2;ICAM1;NFE2L2;NFAT5;PFKFB3;KLF10;PANX1;PMEPA1;RNF19B;BCL3;JUN
prerank,GO_Biological_Process_2023__Neuron Projection Guidance (GO:0097485),-0.6665970305886448,-2.0272480003963715,0.0,0.00616827609982473,0.007,21/61,7.63%,SEMA6B;SEMA3B;UNC5C;EFNB2;CNTN1;NRCAM;NEO1;EPHA5;EFNA5;EPHA4;FEZ1;EPHB3;GLI2;MYCBP2;SEMA4C;DAG1;SEMA3C;SIAH1;SEMA4D;PALLD;CYFIP2
prerank,GO_Biological_Process_2023__Inflammatory Response (GO:0006954),0.6459366613074065,2.007085356368141,0.0,0.04681321707719516,0.064,23/74,6.85%,RELB;GATA3;ADM;MGLL;IRAK2;TLR4;KIT;S100A8;CCL2;FOS;CEBPB;CCL26;SERPINA3;S100A9;NFATC3;KRT16;TNFSF4;HDAC5;LGALS9;AFAP1L2;WNT5A;LYZ;NFKB2
prerank,MSigDB_Hallmark_2020__Inflammatory Response,0.6330279899244085,1.990692548230745,0.0,0.04474516331073272,0.093,36/78,9.62%,ADM;KCNJ2;CD55;LIF;HIF1A;IL7R;IRAK2;OSMR;CCL2;ITGB3;PLAUR;CSF1;SGMS2;IRF1;SPHK1;P2RX4;CD82;NDP;LDLR;ACVR2A;ABCA1;F3;MYC;SELENOS;ATP2B1;ITGA5;PTPRE;CHST2;ICAM1;TPBG;TIMP1;CD70;MMP14;HRH1;SLC7A2;PCDH7
prerank,GO_Biological_Process_2023__Axon Guidance (GO:0007411),-0.6332641996514073,-1.9894606161019917,0.0,0.01277714334963694,0.027,27/78,8.35%,SEMA6B;SEMA3B;UNC5C;EFNB2;CNTN1;NRCAM;NEO1;EPHA5;EFNA5;EPHA4;PLXNB3;FEZ1;EPHB3;GLI2;MYCBP2;SEMA4C;CHN1;DAG1;UNC5B;SMO;NTN1;SEMA3C;SIAH1;SEMA4D;PALLD;CYFIP2;GAP43
prerank,GO_Biological_Process_2023__Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903320),0.7696380566797445,1.852838020061163,0.0,0.41285873374104637,0.621,4/22,6.04%,EGR1;HIF1A;TGFBR1;ZMIZ1
prerank,GO_Biological_Process_2023__Epidermis Development (GO:0008544),0.6813805124726049,1.828584059416875,0.002145922746781116,0.4913695749114749,0.745,12/33,9.04%,COL17A1;FGFR2;FABP5;CASP14;KRT14;S100A7;UGCG;KRT5;STS;CALML5;GATA6;FLG2
prerank,GO_Biological_Process_2023__B Cell Receptor Signaling Pathway (GO:0050853),0.8506970851865806,1.8202120215833764,0.003976143141153081,0.4645600779026073,0.788,8/12,8.36%,VAV3;NFATC2;IGHG1;IGHA1;IGKC;RFTN1;MEF2C;PLEKHA1
prerank,GO_Biological_Process_2023__Regulation Of B Cell Proliferation (GO:0030888),0.8261581756098579,1.7983590110527807,0.0020408163265306124,0.5495114293743046,0.881,4/14,3.44%,VAV3;NFATC2;IRS2;TNFRSF21
prerank,GO_Biological_Process_2023__Antigen Receptor-Mediated Signaling Pathway (GO:0050851),0.6064680943705902,1.7783123017652431,0.00398406374501992,0.615339997966505,0.934,12/54,8.36%,VAV3;NFATC2;GATA3;IGHG1;IGHA1;TNFRSF21;IGKC;RFTN1;GNAO1;FYN;MEF2C;PLEKHA1
