,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,GO:0098742,0.0557142,12.37414,94.68477,NLGN1;DSG2;FGFRL1;ROBO1,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)
1,GO:0044782,cilium organization,GO:0044782,0.0557142,6.895797,53.6392,DYNC2H1;IFT22;RABL2B;B9D1;SNX10;BBS4,Cilium Organization (GO:0044782)
2,GO:0045229,external encapsulating structure organization,GO:0045229,0.145108,11.21136,64.41892,COL4A6;COL4A5;COL19A1,External Encapsulating Structure Organization (GO:0045229)
3,GO:0043534,blood vessel endothelial cell migration,GO:0043534,0.145108,27.04372,153.689,EFNB2;ROBO1,Blood Vessel Endothelial Cell Migration (GO:0043534)
4,GO:0043062,extracellular structure organization,GO:0043062,0.145108,11.74762,68.96206,COL4A6;COL4A5;COL19A1,Extracellular Structure Organization (GO:0043062)
5,GO:0045664,regulation of neuron differentiation,GO:0045664,0.145108,13.71389,86.16968,NLGN1;TCF4;NRCAM,Regulation Of Neuron Differentiation (GO:0045664)
6,GO:0007399,nervous system development,GO:0007399,0.145108,4.679865,27.49947,NLGN1;PTPRZ1;ENC1;NRCAM;CDON;ROBO1,Nervous System Development (GO:0007399)
7,GO:0070925,organelle assembly,GO:0070925,0.1451888,4.333707,23.90201,DYNC2H1;IFT22;RABL2B;B9D1;SNX10;BBS4,Organelle Assembly (GO:0070925)
8,GO:0090322,regulation of superoxide metabolic process,GO:0090322,0.1559296,inf,inf,DHFR,Regulation Of Superoxide Metabolic Process (GO:0090322)
9,GO:0050919,negative chemotaxis,GO:0050919,0.1559296,20.27459,105.0153,UNC5C;ROBO1,Negative Chemotaxis (GO:0050919)
10,GO:0051966,"regulation of synaptic transmission, glutamatergic",GO:0051966,0.1559296,20.27459,105.0153,NLGN1;PLPPR4,"Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)"
11,GO:0050808,synapse organization,GO:0050808,0.1559296,8.798214,44.90552,NLGN1;NRCAM;PDZRN3,Synapse Organization (GO:0050808)
12,GO:0097485,neuron projection guidance,GO:0097485,0.1562546,8.493103,42.56012,EFNB2;UNC5C;NRCAM,Neuron Projection Guidance (GO:0097485)
13,GO:0030091,protein repair,GO:0030091,0.1654657,53.26344,196.4114,MSRB2,Protein Repair (GO:0030091)
14,GO:1905719,protein localization to perinuclear region of cytoplasm,GO:1905719,0.1654657,53.26344,196.4114,HOOK2,Protein Localization To Perinuclear Region Of Cytoplasm (GO:1905719)
15,GO:0045161,neuronal ion channel clustering,GO:0045161,0.1654657,79.90323,317.3853,NRCAM,Neuronal Ion Channel Clustering (GO:0045161)
16,GO:0002692,negative regulation of cellular extravasation,GO:0002692,0.1654657,159.8226,699.1403,ENC1,Negative Regulation Of Cellular Extravasation (GO:0002692)
17,GO:0017183,protein histidyl modification to diphthamide,GO:0017183,0.1654657,53.26344,196.4114,DPH6,Peptidyl-Diphthamide Biosynthetic Process From Peptidyl-Histidine (GO:0017183)
18,GO:0032099,negative regulation of appetite,GO:0032099,0.1654657,79.90323,317.3853,BBS4,Negative Regulation Of Appetite (GO:0032099)
19,GO:1900407,regulation of cellular response to oxidative stress,GO:1900407,0.1654657,79.90323,317.3853,DHFR,Regulation Of Cellular Response To Oxidative Stress (GO:1900407)
20,GO:0016050,vesicle organization,GO:0016050,0.1654657,6.737671,29.70249,HOOK2;SORT1;SNX10,Vesicle Organization (GO:0016050)
21,GO:1905459,regulation of vascular associated smooth muscle cell apoptotic process,GO:1905459,0.1654657,53.26344,196.4114,PDCD4,Regulation Of Vascular Associated Smooth Muscle Cell Apoptotic Process (GO:1905459)
22,GO:0086073,bundle of His cell-Purkinje myocyte adhesion involved in cell communication,GO:0086073,0.1654657,53.26344,196.4114,DSG2,Bundle Of His cell-Purkinje Myocyte Adhesion Involved In Cell Communication (GO:0086073)
23,GO:0097090,presynaptic membrane organization,GO:0097090,0.1654657,53.26344,196.4114,NLGN1,Presynaptic Membrane Organization (GO:0097090)
24,GO:0032204,regulation of telomere maintenance,GO:0032204,0.1654657,9.250585,35.01885,NSMCE3;HDAC8,Regulation Of Telomere Maintenance (GO:0032204)
25,GO:0001956,positive regulation of neurotransmitter secretion,GO:0001956,0.1654657,79.90323,317.3853,NLGN1,Positive Regulation Of Neurotransmitter Secretion (GO:0001956)
26,GO:0002040,sprouting angiogenesis,GO:0002040,0.1654657,12.96393,56.85666,EFNB2;ROBO1,Sprouting Angiogenesis (GO:0002040)
27,GO:0061512,protein localization to cilium,GO:0061512,0.1654657,14.09408,63.91206,SNX10;BBS4,Protein Localization To Cilium (GO:0061512)
28,GO:0048011,neurotrophin TRK receptor signaling pathway,GO:0048011,0.1654657,53.26344,196.4114,SORT1,Neurotrophin TRK Receptor Signaling Pathway (GO:0048011)
29,GO:0072578,neurotransmitter-gated ion channel clustering,GO:0072578,0.1654657,159.8226,699.1403,NLGN1,Neurotransmitter-Gated Ion Channel Clustering (GO:0072578)
30,GO:1900748,positive regulation of vascular endothelial growth factor signaling pathway,GO:1900748,0.1654657,53.26344,196.4114,ROBO1,Positive Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900748)
31,GO:0086069,bundle of His cell to Purkinje myocyte communication,GO:0086069,0.1654657,53.26344,196.4114,DSG2,Bundle Of His Cell To Purkinje Myocyte Communication (GO:0086069)
32,GO:0070100,negative regulation of chemokine-mediated signaling pathway,GO:0070100,0.1654657,53.26344,196.4114,ROBO1,Negative Regulation Of Chemokine-Mediated Signaling Pathway (GO:0070100)
