Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Plasma Membrane Bounded Cell Projection Assembly (GO:0120031)	1.954029e-04	5.571420e-02	0	0	6.570946e+00	5.611882e+01	DYNC2H1;IFT22;RABL2B;B9D1;SNX10;FGD1;BBS4
GO_Biological_Process_2023	Cilium Assembly (GO:0060271)	3.639660e-04	5.571420e-02	0	0	7.088929e+00	5.613333e+01	DYNC2H1;IFT22;RABL2B;B9D1;SNX10;BBS4
GO_Biological_Process_2023	Cilium Organization (GO:0044782)	4.186249e-04	5.571420e-02	0	0	6.895797e+00	5.363920e+01	DYNC2H1;IFT22;RABL2B;B9D1;SNX10;BBS4
GO_Biological_Process_2023	Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)	4.751745e-04	5.571420e-02	0	0	1.237414e+01	9.468477e+01	NLGN1;DSG2;FGFRL1;ROBO1
GO_Biological_Process_2023	Regulation Of Neuron Differentiation (GO:0045664)	1.867065e-03	1.451080e-01	0	0	1.371389e+01	8.616968e+01	NLGN1;TCF4;NRCAM
GO_Biological_Process_2023	Cell Migration Involved In Sprouting Angiogenesis (GO:0002042)	2.082249e-03	1.451080e-01	0	0	3.606922e+01	2.227024e+02	EFNB2;ROBO1
GO_Biological_Process_2023	Nervous System Development (GO:0007399)	2.805639e-03	1.451080e-01	0	0	4.679865e+00	2.749947e+01	NLGN1;PTPRZ1;ENC1;NRCAM;CDON;ROBO1
GO_Biological_Process_2023	Extracellular Structure Organization (GO:0043062)	2.822025e-03	1.451080e-01	0	0	1.174762e+01	6.896206e+01	COL4A6;COL4A5;COL19A1
GO_Biological_Process_2023	External Encapsulating Structure Organization (GO:0045229)	3.195987e-03	1.451080e-01	0	0	1.121136e+01	6.441892e+01	COL4A6;COL4A5;COL19A1
GO_Biological_Process_2023	Axon Development (GO:0061564)	3.195987e-03	1.451080e-01	0	0	1.121136e+01	6.441892e+01	DHFR;PLPPR4;NRCAM
GO_Biological_Process_2023	Blood Vessel Endothelial Cell Migration (GO:0043534)	3.403387e-03	1.451080e-01	0	0	2.704372e+01	1.536890e+02	EFNB2;ROBO1
GO_Biological_Process_2023	Axonogenesis (GO:0007409)	3.735894e-03	1.451888e-01	0	0	6.858641e+00	3.833821e+01	EFNB2;PLPPR4;UNC5C;NRCAM
GO_Biological_Process_2023	Organelle Assembly (GO:0070925)	4.024424e-03	1.451888e-01	0	0	4.333707e+00	2.390201e+01	DYNC2H1;IFT22;RABL2B;B9D1;SNX10;BBS4
