,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0034616,response to laminar fluid shear stress,GO:0034616,0.1809444,29.51488,96.01812,ASS1,Response To Laminar Fluid Shear Stress (GO:0034616)
1,GO:0062125,regulation of mitochondrial gene expression,GO:0062125,0.1809444,29.51488,96.01812,METTL4,Regulation Of Mitochondrial Gene Expression (GO:0062125)
2,GO:0016446,somatic hypermutation of immunoglobulin genes,GO:0016446,0.1809444,34.4375,116.5483,POLL,Somatic Hypermutation Of Immunoglobulin Genes (GO:0016446)
3,GO:0043276,anoikis,GO:0043276,0.1809444,34.4375,116.5483,DAPK2,Anoikis (GO:0043276)
4,GO:0070076,histone lysine demethylation,GO:0070076,0.1809444,34.4375,116.5483,KDM4C,Histone Lysine Demethylation (GO:0070076)
5,GO:0045229,external encapsulating structure organization,GO:0045229,0.1809444,9.341844,35.5657,ADAMTS16;COL17A1,External Encapsulating Structure Organization (GO:0045229)
6,GO:0043243,positive regulation of protein-containing complex disassembly,GO:0043243,0.1809444,25.82292,81.02777,JMJD4,Positive Regulation Of Protein-Containing Complex Disassembly (GO:0043243)
7,GO:0023061,signal release,GO:0023061,0.1809444,41.32917,146.1438,PCSK5,Signal Release (GO:0023061)
8,GO:0009155,purine deoxyribonucleotide catabolic process,GO:0009155,0.1809444,51.66667,191.994,NUDT18,Purine Deoxyribonucleotide Catabolic Process (GO:0009155)
9,GO:0040031,snRNA modification,GO:0040031,0.1809444,51.66667,191.994,METTL4,snRNA Modification (GO:0040031)
10,GO:0035357,peroxisome proliferator activated receptor signaling pathway,GO:0035357,0.1809444,51.66667,191.994,NCOA1,Peroxisome Proliferator Activated Receptor Signaling Pathway (GO:0035357)
11,GO:0032673,regulation of interleukin-4 production,GO:0032673,0.1809444,25.82292,81.02777,ZFPM1,Regulation Of Interleukin-4 Production (GO:0032673)
12,GO:0051004,regulation of lipoprotein lipase activity,GO:0051004,0.1809444,29.51488,96.01812,PCSK5,Regulation Of Lipoprotein Lipase Activity (GO:0051004)
13,GO:0036092,phosphatidylinositol-3-phosphate biosynthetic process,GO:0036092,0.1809444,25.82292,81.02777,PIK3C2B,Phosphatidylinositol-3-Phosphate Biosynthetic Process (GO:0036092)
14,GO:0035162,embryonic hemopoiesis,GO:0035162,0.1809444,25.82292,81.02777,ZFPM1,Embryonic Hemopoiesis (GO:0035162)
15,GO:0007215,glutamate receptor signaling pathway,GO:0007215,0.1809444,25.82292,81.02777,HOMER2,Glutamate Receptor Signaling Pathway (GO:0007215)
16,GO:0097066,response to thyroid hormone,GO:0097066,0.1809444,34.4375,116.5483,GAS2L1,Response To Thyroid Hormone (GO:0097066)
17,GO:1904177,regulation of adipose tissue development,GO:1904177,0.1809444,25.82292,81.02777,NCOA1,Regulation Of Adipose Tissue Development (GO:1904177)
18,GO:0043062,extracellular structure organization,GO:0043062,0.1809444,9.778328,38.02665,ADAMTS16;COL17A1,Extracellular Structure Organization (GO:0043062)
19,GO:0001578,microtubule bundle formation,GO:0001578,0.1809444,22.18365,119.0083,TPPP3;GAS2L1,Microtubule Bundle Formation (GO:0001578)
20,GO:0000052,citrulline metabolic process,GO:0000052,0.1809444,51.66667,191.994,ASS1,Citrulline Metabolic Process (GO:0000052)
21,GO:0006508,proteolysis,GO:0006508,0.1809444,4.22099,13.62069,ADAMTS16;MDM2;PCSK5,Proteolysis (GO:0006508)
22,GO:0051639,actin filament network formation,GO:0051639,0.1809444,41.32917,146.1438,COBL,Actin Filament Network Formation (GO:0051639)
23,GO:0050982,detection of mechanical stimulus,GO:0050982,0.1809444,34.4375,116.5483,PIEZO1,Detection Of Mechanical Stimulus (GO:0050982)
24,GO:2001256,regulation of store-operated calcium entry,GO:2001256,0.1809444,41.32917,146.1438,HOMER2,Regulation Of Store-Operated Calcium Entry (GO:2001256)
25,GO:1900006,positive regulation of dendrite development,GO:1900006,0.1809444,51.66667,191.994,COBL,Positive Regulation Of Dendrite Development (GO:1900006)
26,GO:0060415,muscle tissue morphogenesis,GO:0060415,0.1809444,51.66667,191.994,ZFPM1,Muscle Tissue Morphogenesis (GO:0060415)
27,GO:1900076,regulation of cellular response to insulin stimulus,GO:1900076,0.1809444,103.3542,436.3644,NCOA1,Regulation Of Cellular Response To Insulin Stimulus (GO:1900076)
28,GO:0055022,negative regulation of cardiac muscle tissue growth,GO:0055022,0.1809444,68.89583,271.2259,VGLL4,Negative Regulation Of Cardiac Muscle Tissue Growth (GO:0055022)
29,GO:0034654,nucleobase-containing compound biosynthetic process,GO:0034654,0.1809444,34.4375,116.5483,POLL,Nucleobase-Containing Compound Biosynthetic Process (GO:0034654)
30,GO:0030219,megakaryocyte differentiation,GO:0030219,0.1809444,29.51488,96.01812,ZFPM1,Megakaryocyte Differentiation (GO:0030219)
31,GO:0002692,negative regulation of cellular extravasation,GO:0002692,0.1809444,206.7292,956.1408,ENC1,Negative Regulation Of Cellular Extravasation (GO:0002692)
32,GO:0010763,positive regulation of fibroblast migration,GO:0010763,0.1809444,34.4375,116.5483,PRKCE,Positive Regulation Of Fibroblast Migration (GO:0010763)
33,GO:0110025,DNA strand resection involved in replication fork processing,GO:0110025,0.1809444,41.32917,146.1438,RBBP8,DNA Strand Resection Involved In Replication Fork Processing (GO:0110025)
34,GO:0007605,sensory perception of sound,GO:0007605,0.1809444,13.57996,60.84042,HOMER2;ZNF354A,Sensory Perception Of Sound (GO:0007605)
35,GO:1904714,regulation of chaperone-mediated autophagy,GO:1904714,0.1809444,68.89583,271.2259,GFAP,Regulation Of Chaperone-Mediated Autophagy (GO:1904714)
36,GO:0006355,regulation of DNA-templated transcription,GO:0006355,0.1809444,2.230471,8.554466,NCOA1;KDM4C;MDFIC;SATB1;AXIN1;MDM2;METTL4;RBBP8;ZNF354A;VGLL4;TRIM22,Regulation Of DNA-templated Transcription (GO:0006355)
37,GO:0045002,double-strand break repair via single-strand annealing,GO:0045002,0.1809444,68.89583,271.2259,RBBP8,Double-Strand Break Repair Via Single-Strand Annealing (GO:0045002)
38,GO:0046328,regulation of JNK cascade,GO:0046328,0.1809444,6.768703,21.90677,MDFIC;AXIN1,Regulation Of JNK Cascade (GO:0046328)
39,GO:0042308,negative regulation of protein import into nucleus,GO:0042308,0.1809444,34.4375,116.5483,MDFIC,Negative Regulation Of Protein Import Into Nucleus (GO:0042308)
40,GO:0055123,digestive system development,GO:0055123,0.1809444,29.51488,96.01812,COBL,Digestive System Development (GO:0055123)
41,GO:0033630,positive regulation of cell adhesion mediated by integrin,GO:0033630,0.1809444,41.32917,146.1438,PIEZO1,Positive Regulation Of Cell Adhesion Mediated By Integrin (GO:0033630)
42,GO:0051258,protein polymerization,GO:0051258,0.1809444,10.01216,39.36009,TPPP3;COBL,Protein Polymerization (GO:0051258)
43,GO:0106057,negative regulation of calcineurin-mediated signaling,GO:0106057,0.1809444,25.82292,81.02777,HOMER2,Negative Regulation Of Calcineurin-Mediated Signaling (GO:0106057)
44,GO:0035825,homologous recombination,GO:0035825,0.1809444,25.82292,81.02777,RBBP8,Homologous Recombination (GO:0035825)
45,GO:0045923,positive regulation of fatty acid metabolic process,GO:0045923,0.1809444,25.82292,81.02777,KLHL25,Positive Regulation Of Fatty Acid Metabolic Process (GO:0045923)
46,GO:0003190,atrioventricular valve formation,GO:0003190,0.1809444,103.3542,436.3644,ZFPM1,Atrioventricular Valve Formation (GO:0003190)
47,GO:0032446,protein modification by small protein conjugation,GO:0032446,0.1809444,3.370458,11.03822,KLHL25;ENC1;MDM2;RPGR,Protein Modification By Small Protein Conjugation (GO:0032446)
48,GO:0030111,regulation of Wnt signaling pathway,GO:0030111,0.1809444,6.880363,22.46538,MDFIC;VGLL4,Regulation Of Wnt Signaling Pathway (GO:0030111)
49,GO:0006915,apoptotic process,GO:0006915,0.1809444,4.658997,16.15486,PRKCE;DAPK2;MDM2,Apoptotic Process (GO:0006915)
50,GO:1902253,regulation of intrinsic apoptotic signaling pathway by p53 class mediator,GO:1902253,0.1809444,51.66667,191.994,MDM2,Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902253)
51,GO:0043604,amide biosynthetic process,GO:0043604,0.1809444,15.59811,73.78582,PCSK5;ASS1,Amide Biosynthetic Process (GO:0043604)
52,GO:0033674,positive regulation of kinase activity,GO:0033674,0.1809444,7.238445,24.27973,MRNIP;AXIN1,Positive Regulation Of Kinase Activity (GO:0033674)
53,GO:0044818,mitotic G2/M transition checkpoint,GO:0044818,0.1809444,10.51489,42.2611,MRNIP;RBBP8,Mitotic G2/M Transition Checkpoint (GO:0044818)
54,GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,GO:2000060,0.1809444,6.995745,23.04623,AXIN1;MDM2,Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000060)
55,GO:0035331,negative regulation of hippo signaling,GO:0035331,0.1863688,22.95139,69.65423,VGLL4,Negative Regulation Of Hippo Signaling (GO:0035331)
56,GO:0035108,limb morphogenesis,GO:0035108,0.1863688,22.95139,69.65423,PCSK5,Limb Morphogenesis (GO:0035108)
57,GO:1901566,organonitrogen compound biosynthetic process,GO:1901566,0.1871983,5.171001,14.33052,PCSK5;ASS1,Organonitrogen Compound Biosynthetic Process (GO:1901566)
58,GO:0018126,protein hydroxylation,GO:0018126,0.1871983,18.77462,53.64514,JMJD4,Protein Hydroxylation (GO:0018126)
59,GO:0052372,modulation by symbiont of entry into host,GO:0052372,0.1871983,17.20833,47.83348,TRIM22,Modulation By Symbiont Of Entry Into Host (GO:0052372)
60,GO:0061008,hepaticobiliary system development,GO:0061008,0.1871983,15.88301,43.0104,COBL,Hepaticobiliary System Development (GO:0061008)
61,GO:0006465,signal peptide processing,GO:0006465,0.1871983,18.77462,53.64514,PCSK5,Signal Peptide Processing (GO:0006465)
62,GO:0034142,toll-like receptor 4 signaling pathway,GO:0034142,0.1871983,18.77462,53.64514,PRKCE,Toll-Like Receptor 4 Signaling Pathway (GO:0034142)
63,GO:0046782,regulation of viral transcription,GO:0046782,0.1871983,15.88301,43.0104,MDFIC,Regulation Of Viral Transcription (GO:0046782)
64,GO:0006287,"base-excision repair, gap-filling",GO:0006287,0.1871983,20.65417,60.76336,POLL,"Base-Excision Repair, Gap-Filling (GO:0006287)"
65,GO:0018205,peptidyl-lysine modification,GO:0018205,0.1871983,5.588085,16.22752,MDM2;METTL21A,Peptidyl-Lysine Modification (GO:0018205)
66,GO:0045922,negative regulation of fatty acid metabolic process,GO:0045922,0.1871983,17.20833,47.83348,KLHL25,Negative Regulation Of Fatty Acid Metabolic Process (GO:0045922)
67,GO:0030323,respiratory tube development,GO:0030323,0.1914987,14.74702,38.95195,PCSK5,Respiratory Tube Development (GO:0030323)
