Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Protein Catabolic Process (GO:0042176)	1.004432e-03	1.809444e-01	0	0	1.005057e+01	6.938247e+01	AXIN1;MDM2;VGLL4;GFAP
GO_Biological_Process_2023	Embryonic Organ Development (GO:0048568)	1.458573e-03	1.809444e-01	0	0	1.498635e+01	9.786532e+01	COBL;ZFPM1;PCSK5
GO_Biological_Process_2023	Digestive Tract Development (GO:0048565)	4.246581e-03	1.809444e-01	0	0	2.341844e+01	1.279031e+02	COBL;PCSK5
GO_Biological_Process_2023	Microtubule Bundle Formation (GO:0001578)	4.678928e-03	1.809444e-01	0	0	2.218365e+01	1.190083e+02	TPPP3;GAS2L1
GO_Biological_Process_2023	Recombinational Repair (GO:0000725)	8.035924e-03	1.809444e-01	0	0	7.925121e+00	3.822946e+01	SWI5;RBBP8;POLL
GO_Biological_Process_2023	Amide Biosynthetic Process (GO:0043604)	8.822644e-03	1.809444e-01	0	0	1.559811e+01	7.378582e+01	PCSK5;ASS1
GO_Biological_Process_2023	Positive Regulation Of CD4-positive, CD25-positive, Alpha-Beta Regulatory T Cell Differentiation (GO:0032831)	9.802781e-03	1.809444e-01	0	0	2.067292e+02	9.561408e+02	KLHL25
GO_Biological_Process_2023	Positive Regulation Of Cell-Cell Adhesion Mediated By Integrin (GO:0033634)	9.802781e-03	1.809444e-01	0	0	2.067292e+02	9.561408e+02	PIEZO1
GO_Biological_Process_2023	Negative Regulation Of Cellular Extravasation (GO:0002692)	9.802781e-03	1.809444e-01	0	0	2.067292e+02	9.561408e+02	ENC1
GO_Biological_Process_2023	Sensory Perception Of Mechanical Stimulus (GO:0050954)	1.067803e-02	1.809444e-01	0	0	1.403404e+01	6.370847e+01	HOMER2;ZNF354A
GO_Biological_Process_2023	Sensory Perception Of Sound (GO:0007605)	1.133157e-02	1.809444e-01	0	0	1.357996e+01	6.084042e+01	HOMER2;ZNF354A
GO_Biological_Process_2023	Double-Strand Break Repair Via Homologous Recombination (GO:0000724)	1.256727e-02	1.809444e-01	0	0	6.676630e+00	2.922134e+01	SWI5;RBBP8;POLL
