Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Estrogen Response Late	2.428328e-02	3.399660e-01	0	0	5.154278e+00	1.916343e+01	HOMER2;RBBP8;ASS1
MSigDB_Hallmark_2020	Apoptosis	1.157165e-01	4.363588e-01	0	0	3.566830e+00	7.692268e+00	SATB1;PPP2R5B
MSigDB_Hallmark_2020	Notch Signaling	1.159863e-01	4.363588e-01	0	0	8.593750e+00	1.851337e+01	MAML2
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	1.246739e-01	4.363588e-01	0	0	7.931090e+00	1.651295e+01	AXIN1
MSigDB_Hallmark_2020	KRAS Signaling Dn	2.528184e-01	5.080619e-01	0	0	3.543822e+00	4.873053e+00	ZNF112
MSigDB_Hallmark_2020	Androgen Response	3.333787e-01	5.080619e-01	0	0	2.531636e+00	2.780941e+00	HOMER2
MSigDB_Hallmark_2020	KRAS Signaling Up	3.688364e-01	5.080619e-01	0	0	2.226449e+00	2.220665e+00	SATB1
MSigDB_Hallmark_2020	Myogenesis	4.113020e-01	5.080619e-01	0	0	1.929638e+00	1.714344e+00	DAPK2
MSigDB_Hallmark_2020	UV Response Dn	4.509649e-01	5.080619e-01	0	0	1.702083e+00	1.355481e+00	PRKCE
MSigDB_Hallmark_2020	Apical Junction	4.671507e-01	5.080619e-01	0	0	1.620040e+00	1.233018e+00	COL17A1
MSigDB_Hallmark_2020	Estrogen Response Early	4.776805e-01	5.080619e-01	0	0	1.569551e+00	1.159605e+00	RBBP8
MSigDB_Hallmark_2020	DNA Repair	4.981323e-01	5.080619e-01	0	0	1.477355e+00	1.029553e+00	POLL
MSigDB_Hallmark_2020	p53 Pathway	5.080619e-01	5.080619e-01	0	0	1.435153e+00	9.718163e-01	MDM2
MSigDB_Hallmark_2020	heme Metabolism	5.080619e-01	5.080619e-01	0	0	1.435153e+00	9.718163e-01	PPP2R5B
