,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0097485,neuron projection guidance,GO:0097485,0.0003108197,23.92,343.0055,EFNB2;EPHA5;SEMA6B;CNTN1;UNC5C;NRCAM,Neuron Projection Guidance (GO:0097485)
1,GO:0050919,negative chemotaxis,GO:0050919,0.008521802,41.27917,381.286,SEMA6B;UNC5C;ROBO1,Negative Chemotaxis (GO:0050919)
2,GO:0030194,positive regulation of blood coagulation,GO:0030194,0.008521802,41.27917,381.286,CNTN1;EMILIN2;NRG1,Positive Regulation Of Blood Coagulation (GO:0030194)
3,GO:0007399,nervous system development,GO:0007399,0.009833682,7.115103,63.60496,SEMA6B;NLGN2;TYRO3;NRG1;NRCAM;CDON;ROBO1,Nervous System Development (GO:0007399)
4,GO:0014032,neural crest cell development,GO:0014032,0.01362356,30.94375,262.4003,SEMA6B;NRG1;RADIL,Neural Crest Cell Development (GO:0014032)
5,GO:0050818,regulation of coagulation,GO:0050818,0.01481019,134.9524,1117.219,PROCR;NRG1,Regulation Of Coagulation (GO:0050818)
6,GO:0030388,"fructose 1,6-bisphosphate metabolic process",GO:0030388,0.02780851,80.9551,610.6627,TIGAR;ALDOB,"Fructose 1,6-Bisphosphate Metabolic Process (GO:0030388)"
7,GO:0007520,myoblast fusion,GO:0007520,0.05053396,50.58163,343.4951,DOCK2;KCNH1,Myoblast Fusion (GO:0007520)
8,GO:0002042,cell migration involved in sprouting angiogenesis,GO:0002042,0.05134612,44.95692,296.4237,EFNB2;ROBO1,Cell Migration Involved In Sprouting Angiogenesis (GO:0002042)
9,GO:0035025,positive regulation of Rho protein signal transduction,GO:0035025,0.05204973,36.77551,229.8716,COL3A1;ROBO1,Positive Regulation Of Rho Protein Signal Transduction (GO:0035025)
10,GO:1900746,regulation of vascular endothelial growth factor signaling pathway,GO:1900746,0.05204973,40.45714,259.5106,NRG1;ROBO1,Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746)
11,GO:0010719,negative regulation of epithelial to mesenchymal transition,GO:0010719,0.05934492,28.8863,168.3982,NKX2-1;VASN,Negative Regulation Of Epithelial To Mesenchymal Transition (GO:0010719)
12,GO:1902414,protein localization to cell junction,GO:1902414,0.05934492,28.8863,168.3982,NLGN2;CGNL1,Protein Localization To Cell Junction (GO:1902414)
13,GO:0051241,negative regulation of multicellular organismal process,GO:0051241,0.08574,6.563914,35.60265,PROCR;NKX2-1;VASN;ROBO1,Negative Regulation Of Multicellular Organismal Process (GO:0051241)
14,GO:2001223,negative regulation of neuron migration,GO:2001223,0.08949044,inf,inf,COL3A1,Negative Regulation Of Neuron Migration (GO:2001223)
15,GO:0002683,negative regulation of immune system process,GO:0002683,0.08949044,21.2739,112.4621,COL3A1;TYRO3,Negative Regulation Of Immune System Process (GO:0002683)
