Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Neuron Projection Guidance (GO:0097485)	5.920375e-07	3.108197e-04	0	0	2.392000e+01	3.430055e+02	EFNB2;EPHA5;SEMA6B;CNTN1;UNC5C;NRCAM
GO_Biological_Process_2023	Axon Guidance (GO:0007411)	2.563973e-06	6.730429e-04	0	0	1.824074e+01	2.348304e+02	EFNB2;EPHA5;SEMA6B;CNTN1;UNC5C;NRCAM
GO_Biological_Process_2023	Axonogenesis (GO:0007409)	1.157152e-05	2.025015e-03	0	0	1.379228e+01	1.567764e+02	EFNB2;EPHA5;SEMA6B;CNTN1;UNC5C;NRCAM
GO_Biological_Process_2023	Negative Chemotaxis (GO:0050919)	9.739202e-05	8.521802e-03	0	0	4.127917e+01	3.812860e+02	SEMA6B;UNC5C;ROBO1
GO_Biological_Process_2023	Positive Regulation Of Blood Coagulation (GO:0030194)	9.739202e-05	8.521802e-03	0	0	4.127917e+01	3.812860e+02	CNTN1;EMILIN2;NRG1
GO_Biological_Process_2023	Negative Regulation Of Chemotaxis (GO:0050922)	9.739202e-05	8.521802e-03	0	0	4.127917e+01	3.812860e+02	SEMA6B;NRG1;ROBO1
GO_Biological_Process_2023	Nervous System Development (GO:0007399)	1.311158e-04	9.833682e-03	0	0	7.115103e+00	6.360496e+01	SEMA6B;NLGN2;TYRO3;NRG1;NRCAM;CDON;ROBO1
GO_Biological_Process_2023	Neural Crest Cell Development (GO:0014032)	2.075971e-04	1.362356e-02	0	0	3.094375e+01	2.624003e+02	SEMA6B;NRG1;RADIL
GO_Biological_Process_2023	Regulation Of Coagulation (GO:0050818)	2.538889e-04	1.481019e-02	0	0	1.349524e+02	1.117219e+03	PROCR;NRG1
GO_Biological_Process_2023	Fructose 1,6-Bisphosphate Metabolic Process (GO:0030388)	5.296859e-04	2.780851e-02	0	0	8.095510e+01	6.106627e+02	TIGAR;ALDOB
GO_Biological_Process_2023	Myoblast Fusion (GO:0007520)	1.123950e-03	5.053396e-02	0	0	5.058163e+01	3.434951e+02	DOCK2;KCNH1
GO_Biological_Process_2023	Central Nervous System Development (GO:0007417)	1.155062e-03	5.053396e-02	0	0	7.033544e+00	4.757209e+01	SEMA6B;NKX2-1;CNTN1;NRCAM;PCDH18
GO_Biological_Process_2023	Positive Regulation Of Striated Muscle Cell Differentiation (GO:0051155)	1.369230e-03	5.134612e-02	0	0	4.495692e+01	2.964237e+02	EFNB2;NRG1
GO_Biological_Process_2023	Cell Migration Involved In Sprouting Angiogenesis (GO:0002042)	1.369230e-03	5.134612e-02	0	0	4.495692e+01	2.964237e+02	EFNB2;ROBO1
GO_Biological_Process_2023	Brain Development (GO:0007420)	1.538212e-03	5.204973e-02	0	0	8.898144e+00	5.763448e+01	NKX2-1;CNTN1;NRCAM;PCDH18
GO_Biological_Process_2023	Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746)	1.637711e-03	5.204973e-02	0	0	4.045714e+01	2.595106e+02	NRG1;ROBO1
GO_Biological_Process_2023	Mesenchymal Cell Migration (GO:0090497)	1.929159e-03	5.204973e-02	0	0	3.677551e+01	2.298716e+02	SEMA6B;RADIL
GO_Biological_Process_2023	Positive Regulation Of Rho Protein Signal Transduction (GO:0035025)	1.929159e-03	5.204973e-02	0	0	3.677551e+01	2.298716e+02	COL3A1;ROBO1
GO_Biological_Process_2023	Myotube Differentiation (GO:0014902)	1.929159e-03	5.204973e-02	0	0	3.677551e+01	2.298716e+02	DOCK2;KCNH1
GO_Biological_Process_2023	Negative Regulation Of Cell Migration (GO:0030336)	1.982847e-03	5.204973e-02	0	0	8.275542e+00	5.150053e+01	COL3A1;NKX2-1;EMILIN2;ROBO1
GO_Biological_Process_2023	Regulation Of Cell Migration (GO:0030334)	2.114664e-03	5.286659e-02	0	0	5.014267e+00	3.088217e+01	COL1A1;SEMA6B;NKX2-1;CNTN1;EMILIN2;ROBO1
GO_Biological_Process_2023	Blood Vessel Endothelial Cell Migration (GO:0043534)	2.243341e-03	5.353428e-02	0	0	3.370748e+01	2.056085e+02	EFNB2;ROBO1
GO_Biological_Process_2023	Neural Crest Cell Migration (GO:0001755)	2.580027e-03	5.889192e-02	0	0	3.111146e+01	1.854229e+02	SEMA6B;RADIL
GO_Biological_Process_2023	Regulation Of Epithelial To Mesenchymal Transition (GO:0010717)	2.741051e-03	5.934492e-02	0	0	1.186298e+01	6.998463e+01	COL1A1;NKX2-1;VASN
GO_Biological_Process_2023	Negative Regulation Of Epithelial To Mesenchymal Transition (GO:0010719)	2.938986e-03	5.934492e-02	0	0	2.888630e+01	1.683982e+02	NKX2-1;VASN
GO_Biological_Process_2023	Protein Localization To Cell Junction (GO:1902414)	2.938986e-03	5.934492e-02	0	0	2.888630e+01	1.683982e+02	NLGN2;CGNL1
GO_Biological_Process_2023	Negative Regulation Of Multicellular Organismal Process (GO:0051241)	4.409486e-03	8.574000e-02	0	0	6.563914e+00	3.560265e+01	PROCR;NKX2-1;VASN;ROBO1
GO_Biological_Process_2023	Regulation Of Blood Coagulation (GO:0030193)	4.593041e-03	8.611951e-02	0	0	2.245805e+01	1.208965e+02	EMILIN2;NRG1
GO_Biological_Process_2023	Negative Regulation Of Immune System Process (GO:0002683)	5.059991e-03	8.949044e-02	0	0	2.127390e+01	1.124621e+02	COL3A1;TYRO3
GO_Biological_Process_2023	Negative Regulation Of Neuron Migration (GO:2001223)	5.113739e-03	8.949044e-02	0	0	inf	inf	COL3A1
GO_Biological_Process_2023	Negative Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120033)	5.547875e-03	9.101982e-02	0	0	2.020816e+01	1.049681e+02	NRG1;EVI5L
GO_Biological_Process_2023	Positive Regulation Of Ras Protein Signal Transduction (GO:0046579)	5.547875e-03	9.101982e-02	0	0	2.020816e+01	1.049681e+02	COL3A1;ROBO1
GO_Biological_Process_2023	Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)	6.010062e-03	9.561463e-02	0	0	5.989897e+00	3.063425e+01	EFNB2;EPHA5;TYRO3;NRG1
GO_Biological_Process_2023	Synapse Assembly (GO:0007416)	7.704417e-03	1.139571e-01	0	0	1.683333e+01	8.191035e+01	NLGN2;NRCAM
GO_Biological_Process_2023	Ephrin Receptor Signaling Pathway (GO:0048013)	7.704417e-03	1.139571e-01	0	0	1.683333e+01	8.191035e+01	EFNB2;EPHA5
GO_Biological_Process_2023	Sprouting Angiogenesis (GO:0002040)	8.293736e-03	1.139571e-01	0	0	1.615837e+01	7.743501e+01	EFNB2;ROBO1
GO_Biological_Process_2023	Substrate Adhesion-Dependent Cell Spreading (GO:0034446)	8.293736e-03	1.139571e-01	0	0	1.615837e+01	7.743501e+01	TYRO3;RADIL
GO_Biological_Process_2023	Negative Regulation Of Cell Motility (GO:2000146)	8.684978e-03	1.139571e-01	0	0	7.689063e+00	3.649352e+01	NKX2-1;EMILIN2;ROBO1
GO_Biological_Process_2023	Collagen Fibril Organization (GO:0030199)	8.902705e-03	1.139571e-01	0	0	1.553532e+01	7.334847e+01	COL1A1;COL3A1
GO_Biological_Process_2023	Negative Regulation Of Organelle Assembly (GO:1902116)	9.531118e-03	1.139571e-01	0	0	1.495843e+01	6.960446e+01	EVI5L;MDM1
GO_Biological_Process_2023	Thyroid Gland Development (GO:0030878)	1.020187e-02	1.139571e-01	0	0	1.984200e+02	9.097923e+02	NKX2-1
GO_Biological_Process_2023	Tooth Mineralization (GO:0034505)	1.020187e-02	1.139571e-01	0	0	1.984200e+02	9.097923e+02	COL1A1
GO_Biological_Process_2023	Activation Of Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0007171)	1.020187e-02	1.139571e-01	0	0	1.984200e+02	9.097923e+02	NRG1
