Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Hedgehog Signaling	6.585575e-03	9.219804e-02	0	0	1.836735e+01	9.225686e+01	NRCAM;UNC5C
MSigDB_Hallmark_2020	Myogenesis	1.722544e-02	1.109811e-01	0	0	5.900240e+00	2.396305e+01	COL1A1;COL3A1;KCNH1
MSigDB_Hallmark_2020	UV Response Dn	2.378167e-02	1.109811e-01	0	0	5.192797e+00	1.941504e+01	COL1A1;COL3A1;CDON
MSigDB_Hallmark_2020	KRAS Signaling Up	8.175491e-02	2.861422e-01	0	0	4.409509e+00	1.104154e+01	SPON1;DOCK2
MSigDB_Hallmark_2020	Angiogenesis	1.204349e-01	3.204811e-01	0	0	8.248333e+00	1.745880e+01	COL3A1
MSigDB_Hallmark_2020	Apical Junction	1.373490e-01	3.204811e-01	0	0	3.199020e+00	6.350791e+00	NLGN2;CNTN1
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	1.712420e-01	3.424840e-01	0	0	2.771542e+00	4.890878e+00	COL1A1;COL3A1
MSigDB_Hallmark_2020	KRAS Signaling Dn	2.616766e-01	4.579341e-01	0	0	3.401379e+00	4.560045e+00	EPHA5
MSigDB_Hallmark_2020	Interferon Alpha Response	3.131409e-01	4.871080e-01	0	0	2.736111e+00	3.176905e+00	PROCR
MSigDB_Hallmark_2020	UV Response Up	4.586833e-01	6.009556e-01	0	0	1.661695e+00	1.295117e+00	TYRO3
MSigDB_Hallmark_2020	Hypoxia	5.095500e-01	6.009556e-01	0	0	1.428467e+00	9.631114e-01	ALDOB
MSigDB_Hallmark_2020	p53 Pathway	5.221376e-01	6.009556e-01	0	0	1.377465e+00	8.951097e-01	PROCR
MSigDB_Hallmark_2020	Glycolysis	5.580302e-01	6.009556e-01	0	0	1.243949e+00	7.256480e-01	ALDOB
MSigDB_Hallmark_2020	Mitotic Spindle	6.356449e-01	6.356449e-01	0	0	1.002887e+00	4.544232e-01	DOCK2
