,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0072529,pyrimidine-containing compound catabolic process,GO:0072529,0.09228758,86.46957,366.9421,TET2,Pyrimidine-Containing Compound Catabolic Process (GO:0072529)
1,GO:0010894,negative regulation of steroid biosynthetic process,GO:0010894,0.09228758,144.1449,669.8068,SNAI2,Negative Regulation Of Steroid Biosynthetic Process (GO:0010894)
2,GO:0060973,cell migration involved in heart development,GO:0060973,0.09228758,144.1449,669.8068,SNAI2,Cell Migration Involved In Heart Development (GO:0060973)
3,GO:0046137,negative regulation of vitamin metabolic process,GO:0046137,0.09228758,216.2391,1066.77,SNAI2,Negative Regulation Of Vitamin Metabolic Process (GO:0046137)
4,GO:0018344,protein geranylgeranylation,GO:0018344,0.09228758,108.0978,478.3078,CHML,Protein Geranylgeranylation (GO:0018344)
5,GO:0070562,regulation of vitamin D receptor signaling pathway,GO:0070562,0.09228758,108.0978,478.3078,SNAI2,Regulation Of Vitamin D Receptor Signaling Pathway (GO:0070562)
6,GO:0045187,"regulation of circadian sleep/wake cycle, sleep",GO:0045187,0.09228758,216.2391,1066.77,PER3,"Regulation Of Circadian Sleep/Wake Cycle, Sleep (GO:0045187)"
7,GO:0061314,Notch signaling involved in heart development,GO:0061314,0.09228758,86.46957,366.9421,SNAI2,Notch Signaling Involved In Heart Development (GO:0061314)
8,GO:0002934,desmosome organization,GO:0002934,0.09228758,86.46957,366.9421,SNAI2,Desmosome Organization (GO:0002934)
9,GO:0030277,maintenance of gastrointestinal epithelium,GO:0030277,0.09228758,86.46957,366.9421,SERPINA3,Maintenance Of Gastrointestinal Epithelium (GO:0030277)
10,GO:0033629,negative regulation of cell adhesion mediated by integrin,GO:0033629,0.09228758,108.0978,478.3078,SNAI2,Negative Regulation Of Cell Adhesion Mediated By Integrin (GO:0033629)
11,GO:0006869,lipid transport,GO:0006869,0.09228758,15.77671,74.78869,FABP4;FABP7,Lipid Transport (GO:0006869)
12,GO:0030201,heparan sulfate proteoglycan metabolic process,GO:0030201,0.09228758,86.46957,366.9421,HS3ST3A1,Heparan Sulfate Proteoglycan Metabolic Process (GO:0030201)
13,GO:0007399,nervous system development,GO:0007399,0.09228758,8.844545,55.66014,PTPRZ1;FABP7;PCDH1;ADGRL3,Nervous System Development (GO:0007399)
14,GO:0010839,negative regulation of keratinocyte proliferation,GO:0010839,0.09228758,108.0978,478.3078,SNAI2,Negative Regulation Of Keratinocyte Proliferation (GO:0010839)
15,GO:0035249,"synaptic transmission, glutamatergic",GO:0035249,0.09228758,108.0978,478.3078,GRIK2,"Synaptic Transmission, Glutamatergic (GO:0035249)"
16,GO:0035507,regulation of myosin-light-chain-phosphatase activity,GO:0035507,0.09228758,144.1449,669.8068,NUAK1,Regulation Of Myosin-Light-Chain-Phosphatase Activity (GO:0035507)
17,GO:0003198,epithelial to mesenchymal transition involved in endocardial cushion formation,GO:0003198,0.09228758,144.1449,669.8068,SNAI2,Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation (GO:0003198)
18,GO:0048714,positive regulation of oligodendrocyte differentiation,GO:0048714,0.09228758,144.1449,669.8068,PTPRZ1,Positive Regulation Of Oligodendrocyte Differentiation (GO:0048714)
19,GO:0051782,negative regulation of cell division,GO:0051782,0.09410182,72.05072,294.7306,TXNIP,Negative Regulation Of Cell Division (GO:0051782)
20,GO:0061037,negative regulation of cartilage development,GO:0061037,0.09410182,72.05072,294.7306,SNAI2,Negative Regulation Of Cartilage Development (GO:0061037)
21,GO:0007215,glutamate receptor signaling pathway,GO:0007215,0.1016504,54.02717,207.5501,GRIK2,Glutamate Receptor Signaling Pathway (GO:0007215)
22,GO:0048864,stem cell development,GO:0048864,0.1016504,54.02717,207.5501,SNAI2,Stem Cell Development (GO:0048864)
23,GO:1901099,negative regulation of signal transduction in absence of ligand,GO:1901099,0.1020707,48.01932,179.4663,SNAI2,Negative Regulation Of Signal Transduction In Absence Of Ligand (GO:1901099)
24,GO:0043518,"negative regulation of DNA damage response, signal transduction by p53 class mediator",GO:0043518,0.1020707,48.01932,179.4663,SNAI2,"Negative Regulation Of DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0043518)"
25,GO:0031641,regulation of myelination,GO:0031641,0.1047747,33.23077,113.1675,PTPRZ1,Regulation Of Myelination (GO:0031641)
