,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:2000242,negative regulation of reproductive process,GO:2000242,0.07590671,70.99286,287.9192,AMH,Negative Regulation Of Reproductive Process (GO:2000242)
1,GO:0001782,B cell homeostasis,GO:0001782,0.07590671,70.99286,287.9192,TNFAIP3,B Cell Homeostasis (GO:0001782)
2,GO:0071503,response to heparin,GO:0071503,0.07590671,118.3452,527.6149,EGR1,Response To Heparin (GO:0071503)
3,GO:0090184,positive regulation of kidney development,GO:0090184,0.07590671,118.3452,527.6149,MYC,Positive Regulation Of Kidney Development (GO:0090184)
4,GO:0045475,locomotor rhythm,GO:0045475,0.07590671,177.5357,842.3268,EGR1,Locomotor Rhythm (GO:0045475)
5,GO:2000273,positive regulation of signaling receptor activity,GO:2000273,0.07590671,49.0321,334.8949,CCL2;HBEGF,Positive Regulation Of Signaling Receptor Activity (GO:2000273)
6,GO:0032489,regulation of Cdc42 protein signal transduction,GO:0032489,0.07590671,88.75,375.9919,APOC3,Regulation Of Cdc42 Protein Signal Transduction (GO:0032489)
7,GO:0070365,hepatocyte differentiation,GO:0070365,0.07590671,118.3452,527.6149,E2F7,Hepatocyte Differentiation (GO:0070365)
8,GO:0046885,regulation of hormone biosynthetic process,GO:0046885,0.07590671,118.3452,527.6149,EGR1,Regulation Of Hormone Biosynthetic Process (GO:0046885)
9,GO:0010738,regulation of protein kinase A signaling,GO:0010738,0.07590671,70.99286,287.9192,AMH,Regulation Of Protein Kinase A Signaling (GO:0010738)
10,GO:0071679,commissural neuron axon guidance,GO:0071679,0.07590671,70.99286,287.9192,RYK,Commissural Neuron Axon Guidance (GO:0071679)
11,GO:0110025,DNA strand resection involved in replication fork processing,GO:0110025,0.07590671,70.99286,287.9192,RBBP8,DNA Strand Resection Involved In Replication Fork Processing (GO:0110025)
12,GO:0033194,response to hydroperoxide,GO:0033194,0.07590671,88.75,375.9919,GPX3,Response To Hydroperoxide (GO:0033194)
