,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0042908,xenobiotic transport,GO:0042908,0.01748561,61.8875,629.5031,ABCB1;ABCC2;SLC47A1,Xenobiotic Transport (GO:0042908)
1,GO:0060070,canonical Wnt signaling pathway,GO:0060070,0.01748561,23.92736,239.2023,CDH3;WNT5B;WNT5A;LRP5,Canonical Wnt Signaling Pathway (GO:0060070)
2,GO:0034103,regulation of tissue remodeling,GO:0034103,0.08758316,46.38407,305.67,GPNMB;THBS4,Regulation Of Tissue Remodeling (GO:0034103)
3,GO:0062009,secondary palate development,GO:0062009,0.08758316,54.12022,370.0317,TGFBR3;WNT5A,Secondary Palate Development (GO:0062009)
4,GO:0010464,regulation of mesenchymal cell proliferation,GO:0010464,0.08758316,40.58197,258.5439,WNT5A;LRP5,Regulation Of Mesenchymal Cell Proliferation (GO:0010464)
5,GO:0071711,basement membrane organization,GO:0071711,0.08758316,54.12022,370.0317,HMCN1;CTSS,Basement Membrane Organization (GO:0071711)
6,GO:0002526,acute inflammatory response,GO:0002526,0.08758316,40.58197,258.5439,CEBPB;VNN1,Acute Inflammatory Response (GO:0002526)
7,GO:0051785,positive regulation of nuclear division,GO:0051785,0.08758316,64.95082,462.5033,PDGFRB;LRP5,Positive Regulation Of Nuclear Division (GO:0051785)
8,GO:0070374,positive regulation of ERK1 and ERK2 cascade,GO:0070374,0.08758316,10.59672,75.26631,PDGFRB;GPNMB;ICAM1;CCL26,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)
9,GO:0050679,positive regulation of epithelial cell proliferation,GO:0050679,0.08758316,10.76873,77.10024,CDH3;WNT5A;THBS4;CCL26,Positive Regulation Of Epithelial Cell Proliferation (GO:0050679)
10,GO:2000147,positive regulation of cell motility,GO:2000147,0.08758316,6.435246,41.2946,PDGFRB;GPNMB;WNT5B;FERMT3;CCL26,Positive Regulation Of Cell Motility (GO:2000147)
11,GO:0045598,regulation of fat cell differentiation,GO:0045598,0.1036008,12.98947,79.73473,CEBPB;WNT5A;LRP5,Regulation Of Fat Cell Differentiation (GO:0045598)
12,GO:0050672,negative regulation of lymphocyte proliferation,GO:0050672,0.1061782,32.45902,194.626,CEBPB;GPNMB,Negative Regulation Of Lymphocyte Proliferation (GO:0050672)
13,GO:0050868,negative regulation of T cell activation,GO:0050868,0.1071205,29.50522,172.1059,CEBPB;GPNMB,Negative Regulation Of T Cell Activation (GO:0050868)
14,GO:0001910,regulation of leukocyte mediated cytotoxicity,GO:0001910,0.1139083,inf,inf,ICAM1,Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001910)
15,GO:0001889,liver development,GO:0001889,0.1139083,18.01821,89.57179,TGFBR3;CEBPB,Liver Development (GO:0001889)
16,GO:0042220,response to cocaine,GO:0042220,0.1139083,inf,inf,TGM2,Response To Cocaine (GO:0042220)
17,GO:0071300,cellular response to retinoic acid,GO:0071300,0.1139083,19.08004,96.78321,WNT5B;WNT5A,Cellular Response To Retinoic Acid (GO:0071300)
18,GO:0030097,hemopoiesis,GO:0030097,0.1139083,8.348305,41.45771,TGFBR3;CEBPB;WNT5A,Hemopoiesis (GO:0030097)
19,GO:0032642,regulation of chemokine production,GO:0032642,0.1139083,21.62842,114.4874,C5;WNT5A,Regulation Of Chemokine Production (GO:0032642)
