Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	2.914001e-07	8.159203e-06	0	0	1.188929e+01	1.789169e+02	PDGFRB;COMP;TGFBR3;FAP;MGP;WNT5A;HTRA1;THBS2;TGM2
MSigDB_Hallmark_2020	KRAS Signaling Up	2.773702e-03	3.883183e-02	0	0	7.481242e+00	4.404635e+01	RBP4;ABCB1;GPNMB;CTSS
MSigDB_Hallmark_2020	Complement	7.708083e-03	6.522201e-02	0	0	5.531073e+00	2.691136e+01	CEBPB;APOBEC3G;CP;CTSS
MSigDB_Hallmark_2020	Estrogen Response Early	9.317430e-03	6.522201e-02	0	0	5.222474e+00	2.441960e+01	OLFML3;NAV2;DHRS2;TGM2
MSigDB_Hallmark_2020	Xenobiotic Metabolism	4.520055e-02	2.531231e-01	0	0	3.978455e+00	1.231987e+01	RBP4;VNN1;ABCC2
MSigDB_Hallmark_2020	Hypoxia	5.646258e-02	2.634920e-01	0	0	3.620370e+00	1.040559e+01	ALDOB;CP;TGM2
MSigDB_Hallmark_2020	Inflammatory Response	8.691061e-02	2.763197e-01	0	0	4.242450e+00	1.036378e+01	NDP;ICAM1
MSigDB_Hallmark_2020	Allograft Rejection	8.691061e-02	2.763197e-01	0	0	4.242450e+00	1.036378e+01	CTSS;ICAM1
MSigDB_Hallmark_2020	Coagulation	8.881703e-02	2.763197e-01	0	0	4.186928e+00	1.013729e+01	COMP;HTRA1
MSigDB_Hallmark_2020	Notch Signaling	1.466781e-01	2.926114e-01	0	0	6.643817e+00	1.275291e+01	WNT5A
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	1.574525e-01	2.926114e-01	0	0	6.131514e+00	1.133491e+01	WNT5B
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	1.597154e-01	2.926114e-01	0	0	2.894403e+00	5.309382e+00	ABCB1;TGM2
MSigDB_Hallmark_2020	Fatty Acid Metabolism	1.686435e-01	2.926114e-01	0	0	2.792587e+00	4.970717e+00	VNN1;ACADL
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	1.731401e-01	2.926114e-01	0	0	2.744290e+00	4.812535e+00	CEBPB;ICAM1
MSigDB_Hallmark_2020	Apoptosis	1.731401e-01	2.926114e-01	0	0	2.744290e+00	4.812535e+00	PDGFRB;TGFBR3
MSigDB_Hallmark_2020	UV Response Up	1.731401e-01	2.926114e-01	0	0	2.744290e+00	4.812535e+00	ABCB1;ICAM1
MSigDB_Hallmark_2020	UV Response Dn	1.776569e-01	2.926114e-01	0	0	2.697617e+00	4.661215e+00	PDGFRB;TGFBR3
MSigDB_Hallmark_2020	Apical Junction	1.913159e-01	2.976026e-01	0	0	2.566557e+00	4.244647e+00	CDH3;ICAM1
MSigDB_Hallmark_2020	Glycolysis	2.635041e-01	3.883218e-01	0	0	2.050021e+00	2.734085e+00	SRD5A3;ALDOB
MSigDB_Hallmark_2020	KRAS Signaling Dn	3.126988e-01	4.377784e-01	0	0	2.739711e+00	3.184954e+00	C5
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	4.065304e-01	5.222132e-01	0	0	1.957188e+00	1.761659e+00	VAV3
MSigDB_Hallmark_2020	Pperoxisome	4.103104e-01	5.222132e-01	0	0	1.933124e+00	1.722106e+00	ABCB1
MSigDB_Hallmark_2020	Unfolded Protein Response	4.877275e-01	5.766225e-01	0	0	1.520782e+00	1.091919e+00	CEBPB
MSigDB_Hallmark_2020	Myogenesis	4.942479e-01	5.766225e-01	0	0	1.491783e+00	1.051287e+00	NAV2
MSigDB_Hallmark_2020	Interferon Gamma Response	5.376589e-01	5.978226e-01	0	0	1.315860e+00	8.165321e-01	ICAM1
MSigDB_Hallmark_2020	Estrogen Response Late	5.551210e-01	5.978226e-01	0	0	1.252432e+00	7.371429e-01	DHRS2
MSigDB_Hallmark_2020	heme Metabolism	5.985759e-01	6.207454e-01	0	0	1.109496e+00	5.693953e-01	ADIPOR1
MSigDB_Hallmark_2020	Adipogenesis	6.470584e-01	6.470584e-01	0	0	9.705297e-01	4.224897e-01	ACADL
