,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0006357,regulation of transcription by RNA polymerase II,GO:0006357,0.004430026,4.406572,51.14073,KDM6B;FST;ZBTB38;LIF;ARID5A;NFATC2;ARID3B;DICER1;TRAK1;MED12L;RELB;KLF5;NRIP1;MAFF;FOSB;ATF3;E2F7,Regulation Of Transcription By RNA Polymerase II (GO:0006357)
1,GO:0045944,positive regulation of transcription by RNA polymerase II,GO:0045944,0.06789218,4.477876,36.64199,KDM6B;KLF5;ZBTB38;NRIP1;MAFF;LIF;ATF3;MED12L;E2F7;RELB,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)
2,GO:0048333,mesodermal cell differentiation,GO:0048333,0.0728501,88.18667,679.65,KDM6B;ITGA2,Mesodermal Cell Differentiation (GO:0048333)
3,GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0000122,0.1046582,4.269822,28.40074,FST;NRIP1;MAFF;ARID5A;FOSB;DICER1;ATF3;E2F7,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)
4,GO:0032101,regulation of response to external stimulus,GO:0032101,0.1276791,9.884358,53.45452,PTGS2;CD55;MGLL,Regulation Of Response To External Stimulus (GO:0032101)
5,GO:0007160,cell-matrix adhesion,GO:0007160,0.1276791,10.50639,58.53539,TIAM1;COL13A1;ITGA2,Cell-Matrix Adhesion (GO:0007160)
6,GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,GO:0007189,0.1276791,24.4642,135.6166,ADGRG6;ADM,Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189)
7,GO:2000698,positive regulation of epithelial cell differentiation involved in kidney development,GO:2000698,0.1276791,inf,inf,LIF,Positive Regulation Of Epithelial Cell Differentiation Involved In Kidney Development (GO:2000698)
8,GO:0062013,positive regulation of small molecule metabolic process,GO:0062013,0.1276791,22.01333,117.861,PRKCE;ADM,Positive Regulation Of Small Molecule Metabolic Process (GO:0062013)
9,GO:0031622,positive regulation of fever generation,GO:0031622,0.1276791,inf,inf,PTGS2,Positive Regulation Of Fever Generation (GO:0031622)
10,GO:0033139,regulation of peptidyl-serine phosphorylation of STAT protein,GO:0033139,0.1276791,inf,inf,LIF,Regulation Of Peptidyl-Serine Phosphorylation Of STAT Protein (GO:0033139)
11,GO:0006639,acylglycerol metabolic process,GO:0006639,0.1276791,22.01333,117.861,APOC3;MGLL,Acylglycerol Metabolic Process (GO:0006639)
12,GO:0019369,arachidonic acid metabolic process,GO:0019369,0.1276791,27.52778,158.3966,PTGS2;MGLL,Arachidonic Acid Metabolic Process (GO:0019369)
13,GO:0030575,nuclear body organization,GO:0030575,0.1289308,26.95109,85.66934,USPL1,Nuclear Body Organization (GO:0030575)
14,GO:0070076,histone lysine demethylation,GO:0070076,0.1289308,35.94203,123.1164,KDM6B,Histone Lysine Demethylation (GO:0070076)
15,GO:0006929,substrate-dependent cell migration,GO:0006929,0.1289308,35.94203,123.1164,ITGA2,Substrate-Dependent Cell Migration (GO:0006929)
16,GO:0038065,collagen-activated signaling pathway,GO:0038065,0.1289308,43.13478,154.3046,ITGA2,Collagen-Activated Signaling Pathway (GO:0038065)
17,GO:0032364,intracellular oxygen homeostasis,GO:0032364,0.1289308,53.92391,202.6075,WNT7B,Intracellular Oxygen Homeostasis (GO:0032364)
18,GO:0046885,regulation of hormone biosynthetic process,GO:0046885,0.1289308,71.9058,286.0503,STC2,Regulation Of Hormone Biosynthetic Process (GO:0046885)
19,GO:0035809,regulation of urine volume,GO:0035809,0.1289308,107.8696,459.9021,ADM,Regulation Of Urine Volume (GO:0035809)
20,GO:0038061,non-canonical NF-kappaB signal transduction,GO:0038061,0.1289308,19.13623,97.62708,DICER1;RELB,NIK/NF-kappaB Signaling (GO:0038061)
21,GO:0048311,mitochondrion distribution,GO:0048311,0.1289308,30.80435,101.4752,TRAK1,Mitochondrion Distribution (GO:0048311)
22,GO:0070922,RISC complex assembly,GO:0070922,0.1289308,35.94203,123.1164,DICER1,RISC Complex Assembly (GO:0070922)
23,GO:0016926,protein desumoylation,GO:0016926,0.1289308,35.94203,123.1164,USPL1,Protein Desumoylation (GO:0016926)
24,GO:1904491,protein localization to ciliary transition zone,GO:1904491,0.1289308,107.8696,459.9021,TCTN2,Protein Localization To Ciliary Transition Zone (GO:1904491)
25,GO:0090287,regulation of cellular response to growth factor stimulus,GO:0090287,0.1289308,26.95109,85.66934,FST,Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090287)
