"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0006355","GO:0006355",2,"GO:0006355",3.672448179517,3456,"regulation of DNA-templated transcription","regulation of DNA-templated transcription",0.828105936073059,0.435666666666667,0
"GO:0045893","GO:0045893",1,"GO:0045893",3.672448179517,1687,"positive regulation of DNA-templated transcription","positive regulation of DNA-templated transcription",0.806860273972603,0.2595,0
"GO:2000351","GO:2000351",3,"GO:2000351",2.99365121169417,61,"regulation of endothelial cell apoptotic process","regulation of endothelial cell apoptotic process",0.926972602739726,0.243333333333333,0
"GO:0043410","GO:0043410",4,"GO:0043410",2.78647958677645,474,"positive regulation of MAPK cascade","positive regulation of MAPK cascade",0.802720547945206,0.2365,0
"GO:0006954","GO:0006954",5,"GO:0006954",2.72576684875375,886,"inflammatory response","inflammatory response",0.922649315068493,0.328444444444444,0
"GO:2000352","GO:2000352",3,"GO:2000351",2.49181354295528,36,"negative regulation of endothelial cell apoptotic process","regulation of endothelial cell apoptotic process",0.903079452054795,0.251,0.965
"GO:0140467","GO:0140467",6,"GO:0140467",2.42772241706445,42,"integrated stress response signaling","integrated stress response signaling",0.922754337899543,0.5275,0
"GO:0070374","GO:0070374",4,"GO:0043410",2.09474962304488,218,"positive regulation of ERK1 and ERK2 cascade","positive regulation of MAPK cascade",0.817106849315068,0.226125,0.912
"GO:0030856","GO:0030856",8,"GO:0030856",2.08998681165293,171,"regulation of epithelial cell differentiation","regulation of epithelial cell differentiation",0.830344292237443,0.295,0
"GO:0090287","GO:0090287",7,"GO:0090287",2.08998681165293,357,"regulation of cellular response to growth factor stimulus","regulation of cellular response to growth factor stimulus",0.86972602739726,0.219684210526316,0
"GO:1904036","GO:1904036",3,"GO:2000351",2.07174511146861,64,"negative regulation of epithelial cell apoptotic process","regulation of endothelial cell apoptotic process",0.899478538812785,0.255166666666667,0.924
"GO:2000147","GO:2000147",9,"GO:2000147",2.07174511146861,600,"positive regulation of cell motility","positive regulation of cell motility",0.875625570776256,0.2275,0
"GO:0010799","GO:0010799",10,"GO:0010799",1.98193268482037,45,"regulation of peptidyl-threonine phosphorylation","regulation of peptidyl-threonine phosphorylation",0.863746118721461,0.366666666666667,0
"GO:0070372","GO:0070372",4,"GO:0043410",1.98193268482037,313,"regulation of ERK1 and ERK2 cascade","positive regulation of MAPK cascade",0.842243835616438,0.2145,0.87
"GO:0045604","GO:0045604",11,"GO:0045604",1.93633832294057,60,"regulation of epidermal cell differentiation","regulation of epidermal cell differentiation",0.841356164383562,0.217857142857143,0
"GO:0036003","GO:0036003",12,"GO:0036003",1.83713909607236,18,"positive regulation of transcription from RNA polymerase II promoter in response to stress","positive regulation of transcription from RNA polymerase II promoter in response to stress",0.819098630136986,0.2925,0
"GO:0150077","GO:0150077",5,"GO:0006954",1.80187786438373,41,"regulation of neuroinflammatory response","inflammatory response",0.875516894977169,0.350888888888889,0.75
"GO:1902895","GO:1902895",14,"GO:1902895",1.80187786438373,52,"positive regulation of miRNA transcription","positive regulation of miRNA transcription",0.853315068493151,0.3223,0
"GO:0048246","GO:0048246",15,"GO:0048246",1.80187786438373,41,"macrophage chemotaxis","macrophage chemotaxis",0.88896803652968,0.317,0
"GO:1905517","GO:1905517",15,"GO:0048246",1.80187786438373,61,"macrophage migration","macrophage chemotaxis",0.95294703196347,0.302166666666667,0.966
"GO:0031347","GO:0031347",13,"GO:0031347",1.80187786438373,817,"regulation of defense response","regulation of defense response",0.849244748858447,0.270666666666667,0
"GO:1905332","GO:1905332",17,"GO:1905332",1.75571595033862,36,"positive regulation of morphogenesis of an epithelium","positive regulation of morphogenesis of an epithelium",0.860082191780822,0.6335,0
"GO:0019221","GO:0019221",16,"GO:0019221",1.75571595033862,513,"cytokine-mediated signaling pathway","cytokine-mediated signaling pathway",0.838464840182648,0.260666666666667,0
"GO:0046885","GO:0046885",19,"GO:0046885",1.68071900836497,24,"regulation of hormone biosynthetic process","regulation of hormone biosynthetic process",0.895155251141552,0.542,0
"GO:0090184","GO:0090184",20,"GO:0090184",1.68071900836497,10,"positive regulation of kidney development","positive regulation of kidney development",0.855466666666667,0.534666666666667,0
"GO:2000630","GO:2000630",14,"GO:1902895",1.68071900836497,64,"positive regulation of miRNA metabolic process","positive regulation of miRNA transcription",0.855254794520548,0.3168,0.986
"GO:2000425","GO:2000425",21,"GO:2000425",1.68071900836497,10,"regulation of apoptotic cell clearance","regulation of apoptotic cell clearance",0.900441095890411,0.314785714285714,0
"GO:1902533","GO:1902533",22,"GO:1902533",1.68071900836497,1016,"positive regulation of intracellular signal transduction","positive regulation of intracellular signal transduction",0.790859360730594,0.307,0
"GO:1902746","GO:1902746",8,"GO:0030856",1.68071900836497,9,"regulation of lens fiber cell differentiation","regulation of epithelial cell differentiation",0.858756164383562,0.283,0.807
"GO:1902747","GO:1902747",8,"GO:0030856",1.68071900836497,6,"negative regulation of lens fiber cell differentiation","regulation of epithelial cell differentiation",0.838644748858447,0.282222222222222,0.788
"GO:0030098","GO:0030098",18,"GO:0030098",1.68071900836497,429,"lymphocyte differentiation","lymphocyte differentiation",0.87311598173516,0.277705882352941,0
"GO:0030510","GO:0030510",7,"GO:0090287",1.68071900836497,121,"regulation of BMP signaling pathway","regulation of cellular response to growth factor stimulus",0.845729680365297,0.242631578947368,0.905
"GO:0030334","GO:0030334",9,"GO:2000147",1.68071900836497,1040,"regulation of cell migration","positive regulation of cell motility",0.906756164383562,0.2285,0.92
"GO:0030335","GO:0030335",9,"GO:2000147",1.68071900836497,575,"positive regulation of cell migration","positive regulation of cell motility",0.875891324200913,0.227142857142857,0.99
"GO:0090101","GO:0090101",23,"GO:0090101",1.60878780962453,179,"negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",0.819695890410959,0.26475,0
"GO:0071347","GO:0071347",16,"GO:0019221",1.59349149867186,111,"cellular response to interleukin-1","cytokine-mediated signaling pathway",0.913463926940639,0.341277777777778,0.749
"GO:0032101","GO:0032101",24,"GO:0032101",1.5654941690458,1130,"regulation of response to external stimulus","regulation of response to external stimulus",0.855037442922374,0.369,0
