Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Cytokine Production (GO:0001817)	8.620583e-04	7.526277e-02	0	0	1.046505e+01	7.384339e+01	C1QTNF3;GPNMB;TRIL;SNAI2
GO_Biological_Process_2023	Basement Membrane Organization (GO:0071711)	8.790462e-04	7.526277e-02	0	0	6.006061e+01	4.226268e+02	HMCN1;CTSS
GO_Biological_Process_2023	Negative Regulation Of Endopeptidase Activity (GO:0010951)	1.105637e-03	7.526277e-02	0	0	1.663805e+01	1.132607e+02	SERPIND1;SERPINA10;SERPINA5
GO_Biological_Process_2023	Negative Regulation Of Peptidase Activity (GO:0010466)	1.105637e-03	7.526277e-02	0	0	1.663805e+01	1.132607e+02	SERPIND1;SERPINA10;SERPINA5
GO_Biological_Process_2023	Cardiac Epithelial To Mesenchymal Transition (GO:0060317)	1.126058e-03	7.526277e-02	0	0	5.147532e+01	3.494677e+02	TGFBR3;SNAI2
GO_Biological_Process_2023	Regulation Of Tissue Remodeling (GO:0034103)	1.126058e-03	7.526277e-02	0	0	5.147532e+01	3.494677e+02	GPNMB;THBS4
GO_Biological_Process_2023	Extracellular Matrix Organization (GO:0030198)	1.317392e-03	7.526277e-02	0	0	9.279245e+00	6.154089e+01	POSTN;COL3A1;HMCN1;CTSS
GO_Biological_Process_2023	Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus (GO:0061178)	1.402412e-03	7.526277e-02	0	0	4.503636e+01	2.958692e+02	EPHA5;LRP5
GO_Biological_Process_2023	Acute Inflammatory Response (GO:0002526)	1.402412e-03	7.526277e-02	0	0	4.503636e+01	2.958692e+02	VNN1;CNTN1
GO_Biological_Process_2023	Regulation Of Endopeptidase Activity (GO:0052548)	2.257574e-03	1.090408e-01	0	0	1.275581e+01	7.772710e+01	SERPIND1;SERPINA10;SERPINA5
GO_Biological_Process_2023	Regulation Of Osteoblast Differentiation (GO:0045667)	2.868260e-03	1.179211e-01	0	0	1.166548e+01	6.829033e+01	RIOX1;LRP5;SNAI2
GO_Biological_Process_2023	Regulation Of Endothelial Cell Proliferation (GO:0001936)	3.035264e-03	1.179211e-01	0	0	1.142130e+01	6.621447e+01	ANGPT1;CNTN1;THBS4
GO_Biological_Process_2023	Peptide Cross-Linking (GO:0018149)	3.212814e-03	1.179211e-01	0	0	2.770070e+01	1.590189e+02	COL3A1;F13A1
GO_Biological_Process_2023	Regulation Of Angiogenesis (GO:0045765)	3.418004e-03	1.179211e-01	0	0	7.051932e+00	4.004579e+01	GPNMB;CNTN1;EMILIN2;THBS4
GO_Biological_Process_2023	Regulation Of Chemokine Production (GO:0032642)	4.130976e-03	1.247038e-01	0	0	2.400242e+01	1.317551e+02	C5;SNAI2
GO_Biological_Process_2023	Regulation Of Cell Adhesion Mediated By Integrin (GO:0033628)	4.130976e-03	1.247038e-01	0	0	2.400242e+01	1.317551e+02	SNAI2;FERMT3
GO_Biological_Process_2023	Positive Regulation Of Blood Coagulation (GO:0030194)	4.630360e-03	1.315567e-01	0	0	2.250000e+01	1.209402e+02	CNTN1;EMILIN2
GO_Biological_Process_2023	Negative Regulation Of Osteoblast Differentiation (GO:0045668)	5.708185e-03	1.452904e-01	0	0	1.999596e+01	1.032962e+02	RIOX1;LRP5
GO_Biological_Process_2023	Negative Regulation Of Neuron Migration (GO:2001223)	5.715359e-03	1.452904e-01	0	0	inf	inf	COL3A1
GO_Biological_Process_2023	Negative Regulation Of Immune System Process (GO:0002683)	6.286012e-03	1.518072e-01	0	0	1.894163e+01	9.602322e+01	COL3A1;TYRO3
GO_Biological_Process_2023	Positive Regulation Of Cell Motility (GO:2000147)	7.476943e-03	1.646105e-01	0	0	5.594054e+00	2.738810e+01	GPNMB;CNTN1;SNAI2;FERMT3
GO_Biological_Process_2023	Platelet Aggregation (GO:0070527)	9.552257e-03	1.646105e-01	0	0	1.498788e+01	6.970829e+01	TYRO3;FERMT3
GO_Biological_Process_2023	Substrate Adhesion-Dependent Cell Spreading (GO:0034446)	1.027886e-02	1.646105e-01	0	0	1.438691e+01	6.585846e+01	TYRO3;FERMT3
GO_Biological_Process_2023	Positive Regulation Of ATP-dependent Activity (GO:0032781)	1.027886e-02	1.646105e-01	0	0	1.438691e+01	6.585846e+01	RGN;ALDOB
GO_Biological_Process_2023	Negative Regulation Of Macrophage Migration (GO:1905522)	1.139866e-02	1.646105e-01	0	0	1.770536e+02	7.921837e+02	C5
GO_Biological_Process_2023	Activation Of Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0007171)	1.139866e-02	1.646105e-01	0	0	1.770536e+02	7.921837e+02	ANGPT1
GO_Biological_Process_2023	Regulation Of Skeletal Muscle Satellite Cell Proliferation (GO:0014842)	1.139866e-02	1.646105e-01	0	0	1.770536e+02	7.921837e+02	ANGPT1
GO_Biological_Process_2023	Regulation Of Vitamin D Biosynthetic Process (GO:0060556)	1.139866e-02	1.646105e-01	0	0	1.770536e+02	7.921837e+02	SNAI2
GO_Biological_Process_2023	Positive Regulation Of T Cell Differentiation In Thymus (GO:0033089)	1.139866e-02	1.646105e-01	0	0	1.770536e+02	7.921837e+02	VNN1
GO_Biological_Process_2023	Response To Gonadotropin (GO:0034698)	1.139866e-02	1.646105e-01	0	0	1.770536e+02	7.921837e+02	TGFBR3
GO_Biological_Process_2023	Regulation Of Acrosome Reaction (GO:0060046)	1.139866e-02	1.646105e-01	0	0	1.770536e+02	7.921837e+02	SERPINA10
GO_Biological_Process_2023	Positive Regulation Of Defense Response To Bacterium (GO:1900426)	1.139866e-02	1.646105e-01	0	0	1.770536e+02	7.921837e+02	EMILIN2
GO_Biological_Process_2023	Proteolysis (GO:0006508)	1.145855e-02	1.646105e-01	0	0	4.913711e+00	2.195947e+01	CNTN1;HTRA1;HABP2;CTSS
GO_Biological_Process_2023	Homotypic Cell-Cell Adhesion (GO:0034109)	1.180310e-02	1.646105e-01	0	0	1.331852e+01	5.912613e+01	TYRO3;FERMT3
GO_Biological_Process_2023	Epithelial To Mesenchymal Transition (GO:0001837)	1.512782e-02	1.646105e-01	0	0	1.159531e+01	4.859848e+01	TGFBR3;SNAI2
GO_Biological_Process_2023	Regulation Of Cell Migration (GO:0030334)	1.684755e-02	1.646105e-01	0	0	3.599434e+00	1.469847e+01	GPNMB;CNTN1;EMILIN2;SNAI2;FERMT3
GO_Biological_Process_2023	Gastrulation With Mouth Forming Second (GO:0001702)	1.705004e-02	1.646105e-01	0	0	8.851786e+01	3.604095e+02	LRP5
GO_Biological_Process_2023	Heart Trabecula Formation (GO:0060347)	1.705004e-02	1.646105e-01	0	0	8.851786e+01	3.604095e+02	TGFBR3
GO_Biological_Process_2023	Hexose Catabolic Process (GO:0019320)	1.705004e-02	1.646105e-01	0	0	8.851786e+01	3.604095e+02	LRP5
