Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	1.569045e-06	3.451899e-05	0	0	1.156818e+01	1.546092e+02	COMP;TGFBR3;POSTN;COL3A1;FAP;MGP;HTRA1;SNAI2
MSigDB_Hallmark_2020	KRAS Signaling Up	1.806998e-04	1.987698e-03	0	0	1.073864e+01	9.255280e+01	SPON1;RBP4;GPNMB;F13A1;CTSS
MSigDB_Hallmark_2020	Angiogenesis	3.723758e-04	2.730756e-03	0	0	2.498485e+01	1.972705e+02	POSTN;COL3A1;SERPINA5
MSigDB_Hallmark_2020	Coagulation	1.047770e-03	5.762733e-03	0	0	9.902893e+00	6.794466e+01	COMP;PROS1;RGN;HTRA1
MSigDB_Hallmark_2020	KRAS Signaling Dn	4.587965e-03	2.018705e-02	0	0	9.781746e+00	5.266804e+01	EPHA5;C5;SERPINA10
MSigDB_Hallmark_2020	UV Response Dn	3.172117e-02	1.104713e-01	0	0	4.612994e+00	1.591839e+01	TGFBR3;COL3A1;SNAI2
MSigDB_Hallmark_2020	Xenobiotic Metabolism	3.514997e-02	1.104713e-01	0	0	4.423216e+00	1.480951e+01	RBP4;VNN1;PROS1
MSigDB_Hallmark_2020	Complement	1.578885e-01	3.417171e-01	0	0	2.919225e+00	5.388500e+00	CP;CTSS
MSigDB_Hallmark_2020	Estrogen Response Late	1.639244e-01	3.417171e-01	0	0	2.848291e+00	5.150706e+00	SERPINA5;MICB
MSigDB_Hallmark_2020	Apical Junction	1.639244e-01	3.417171e-01	0	0	2.848291e+00	5.150706e+00	LAMB3;CNTN1
MSigDB_Hallmark_2020	Estrogen Response Early	1.720370e-01	3.417171e-01	0	0	2.758844e+00	4.855693e+00	OLFML3;MICB
MSigDB_Hallmark_2020	Hypoxia	1.863912e-01	3.417171e-01	0	0	2.614973e+00	4.392914e+00	ALDOB;CP
MSigDB_Hallmark_2020	Adipogenesis	2.387959e-01	4.041162e-01	0	0	2.203275e+00	3.155411e+00	FABP4;ANGPT1
MSigDB_Hallmark_2020	Interferon Alpha Response	3.429168e-01	5.303760e-01	0	0	2.441468e+00	2.613024e+00	PROCR
MSigDB_Hallmark_2020	Allograft Rejection	3.616200e-01	5.303760e-01	0	0	2.281772e+00	2.320930e+00	CTSS
MSigDB_Hallmark_2020	Myogenesis	4.602216e-01	5.461465e-01	0	0	1.652628e+00	1.282517e+00	COL3A1
MSigDB_Hallmark_2020	Fatty Acid Metabolism	4.906219e-01	5.461465e-01	0	0	1.508621e+00	1.074261e+00	VNN1
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	4.964969e-01	5.461465e-01	0	0	1.482748e+00	1.038188e+00	LAMB3
MSigDB_Hallmark_2020	UV Response Up	4.964969e-01	5.461465e-01	0	0	1.482748e+00	1.038188e+00	TYRO3
MSigDB_Hallmark_2020	Apoptosis	4.964969e-01	5.461465e-01	0	0	1.482748e+00	1.038188e+00	TGFBR3
MSigDB_Hallmark_2020	p53 Pathway	5.620095e-01	5.887719e-01	0	0	1.229125e+00	7.082665e-01	PROCR
MSigDB_Hallmark_2020	Glycolysis	5.986222e-01	5.986222e-01	0	0	1.109986e+00	5.695614e-01	ALDOB
