term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0042908,0.03618896,47.51923,447.5271,ABCB1;ABCC2;SLC47A1,Xenobiotic Transport (GO:0042908)
GO:0060070,0.03618896,18.30056,164.8939,CDH3;RYK;WNT7B;WNT5A,Canonical Wnt Signaling Pathway (GO:0060070)
GO:0072337,0.03618896,31.66667,266.8524,SLC47A1;SLC16A9;SLC7A2,Modified Amino Acid Transport (GO:0072337)
GO:0043030,0.03618896,29.22781,240.4028,WNT5A;IL31RA;GPR137B,Regulation Of Macrophage Activation (GO:0043030)
GO:0051055,0.03618896,27.13736,218.0987,ACADL;FBXW7;NR0B1,Negative Regulation Of Lipid Biosynthetic Process (GO:0051055)
GO:0001895,0.03618896,25.32564,199.0691,AZGP1;CDH3;PIP,Retina Homeostasis (GO:0001895)
GO:1904953,0.03618896,125.1899,983.6865,RYK;WNT5A,Wnt Signaling Pathway Involved In Midbrain Dopaminergic Neuron Differentiation (GO:1904953)
GO:1902043,0.03618896,125.1899,983.6865,PMAIP1;TIMP3,Positive Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902043)
GO:1904948,0.03618896,125.1899,983.6865,RYK;WNT5A,Midbrain Dopaminergic Neuron Differentiation (GO:1904948)
GO:0044242,0.03834276,23.74038,182.6676,FAAH;ACADL;SMPDL3B,Cellular Lipid Catabolic Process (GO:0044242)
GO:1905114,0.04076895,22.34163,168.4049,WNT7B;WNT5A;NDP,Cell Surface Receptor Signaling Pathway Involved In Cell-Cell Signaling (GO:1905114)
GO:0060071,0.04989703,19.98583,144.8706,TIAM1;RYK;WNT5A,"Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:0060071)"
GO:0070486,0.06197618,62.58228,435.0617,S100A9;JAM2,Leukocyte Aggregation (GO:0070486)
GO:0035567,0.09300981,14.59467,93.77844,TIAM1;RYK;WNT5A,Non-Canonical Wnt Signaling Pathway (GO:0035567)
GO:0045671,0.09300981,41.71308,264.3876,FBXW7;GPR137B,Negative Regulation Of Osteoclast Differentiation (GO:0045671)
GO:0032370,0.09300981,41.71308,264.3876,ABCA3;ABCB4,Positive Regulation Of Lipid Transport (GO:0032370)
GO:2000050,0.1119575,35.75045,217.799,TIAM1;ZNRF3,Regulation Of Non-Canonical Wnt Signaling Pathway (GO:2000050)
GO:0015718,0.1205121,12.23449,72.93486,ABCC2;ABCB4;SLC16A9,Monocarboxylic Acid Transport (GO:0015718)
GO:0035627,0.1245571,31.27848,183.7402,ABCB1;ABCB4,Ceramide Transport (GO:0035627)
GO:0001501,0.1271282,7.289054,42.29552,COL13A1;WNT5A;COL19A1;PTHLH,Skeletal System Development (GO:0001501)
GO:0035270,0.1307859,27.80028,157.8759,NKX2-1;NR0B1,Endocrine System Development (GO:0035270)
GO:0032801,0.1307859,27.80028,157.8759,ZNRF3;SNX25,Receptor Catabolic Process (GO:0032801)
GO:1903305,0.1405159,25.01772,137.6444,SYT1;RAB3D,Regulation Of Regulated Secretory Pathway (GO:1903305)
GO:0010232,0.1405159,10.24428,56.29144,ABCB1;ABCC2;SLC7A2,Vascular Transport (GO:0010232)
GO:0015914,0.1405159,9.973684,54.10464,ABCB1;ABCB4;ABCA3,Phospholipid Transport (GO:0015914)
GO:0150104,0.1405159,9.973684,54.10464,ABCB1;ABCC2;SLC7A2,Transport Across Blood-Brain Barrier (GO:0150104)
GO:0010604,0.1405159,4.197622,22.67714,FGF5;CDH3;PIP;WNT5A;NKX2-1;DKK1,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)
GO:0016101,0.1442063,22.74108,121.4393,RDH10;DHRS3,Diterpenoid Metabolic Process (GO:0016101)
GO:0016055,0.1463948,9.473077,50.11194,RYK;WNT7B;WNT5A,Wnt Signaling Pathway (GO:0016055)
GO:0043062,0.1473008,9.020147,46.56141,COL13A1;SPINT1;COL19A1,Extracellular Structure Organization (GO:0043062)
GO:0007169,0.1473008,4.650076,23.75066,SHC4;FGF5;TIAM1;RYK;IL31RA,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)
