,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,GO:0098742,0.0002087783,17.53654,254.5723,NLGN1;LRFN4;SLITRK2;DSG2;FGFRL1;ROBO1;ADGRL3,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)
1,GO:0050808,synapse organization,GO:0050808,0.0002087783,17.19755,247.5958,NLGN1;NLGN2;LRFN4;SLITRK2;NRCAM;PDZRN3;ADGRL3,Synapse Organization (GO:0050808)
2,GO:2000463,positive regulation of excitatory postsynaptic potential,GO:2000463,0.008727698,inf,inf,NLGN1;NLGN2,Positive Regulation Of Excitatory Postsynaptic Potential (GO:2000463)
3,GO:0007399,nervous system development,GO:0007399,0.01127541,5.399442,49.43344,NLGN1;NLGN2;PTPRZ1;FABP7;NRCAM;NRG1;CDON;ROBO1;ADGRL3,Nervous System Development (GO:0007399)
4,GO:0120034,positive regulation of plasma membrane bounded cell projection assembly,GO:0120034,0.01201836,10.36814,87.85681,NLGN1;TGFB3;CDC42EP3;PLCE1;BBS4,Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120034)
5,GO:0043534,blood vessel endothelial cell migration,GO:0043534,0.01201836,33.25926,283.9088,EFNB2;SOX18;ROBO1,Blood Vessel Endothelial Cell Migration (GO:0043534)
6,GO:1902414,protein localization to cell junction,GO:1902414,0.01591303,28.13675,228.4036,NLGN1;NLGN2;CGNL1,Protein Localization To Cell Junction (GO:1902414)
7,GO:0097090,presynaptic membrane organization,GO:0097090,0.01603501,120.5732,938.6353,NLGN1;NLGN2,Presynaptic Membrane Organization (GO:0097090)
8,GO:0051966,"regulation of synaptic transmission, glutamatergic",GO:0051966,0.01603501,24.38025,189.0277,NLGN1;NLGN2;PLPPR4,"Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)"
9,GO:0051962,positive regulation of nervous system development,GO:0051962,0.02707208,16.61111,112.2842,NLGN1;NLGN2;SLITRK2,Positive Regulation Of Nervous System Development (GO:0051962)
10,GO:2000311,regulation of AMPA receptor activity,GO:2000311,0.03146863,48.21463,315.732,NLGN1;NLGN2,Regulation Of AMPA Receptor Activity (GO:2000311)
11,GO:0097485,neuron projection guidance,GO:0097485,0.03621122,8.624561,55.01697,EFNB2;KIF5A;NRCAM;UNC5C,Neuron Projection Guidance (GO:0097485)
12,GO:1902116,negative regulation of organelle assembly,GO:1902116,0.03731451,14.04986,88.80802,KIF24;EVI5L;MDM1,Negative Regulation Of Organelle Assembly (GO:1902116)
13,GO:1904706,negative regulation of vascular associated smooth muscle cell proliferation,GO:1904706,0.0373364,40.1748,251.7459,TGFB3;PDCD4,Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706)
14,GO:0051004,regulation of lipoprotein lipase activity,GO:0051004,0.0373364,40.1748,251.7459,SORT1;PCSK5,Regulation Of Lipoprotein Lipase Activity (GO:0051004)
15,GO:0051056,regulation of small GTPase mediated signal transduction,GO:0051056,0.04866751,7.556923,44.77656,PLCE1;DOCK2;CGNL1;FGD1,Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056)
16,GO:0051146,striated muscle cell differentiation,GO:0051146,0.06230713,26.77507,150.1427,SORT1;NRG1,Striated Muscle Cell Differentiation (GO:0051146)
17,GO:0030879,mammary gland development,GO:0030879,0.06816424,24.09512,130.8534,TGFB3;NRG1,Mammary Gland Development (GO:0030879)
