Protein_Group	Genes	48h_vs_0h_logFC	48h_vs_0h_pval	Removed?	Contaminant?
A0A0U1RRE5	NBDY	0.731493461357175	0.00509617367033644	No	No
A0A2R8Y4M4	LOC122513141	0.709177922979002	3.04586777731e-05	No	No
A5A3E0	POTEF	1.19175909953876	2.15606126399562e-07	No	No
O00499	BIN1	0.720500399187728	3.98444217952277e-10	No	No
O14682	ENC1	1.44953030918053	5.57111424871435e-11	No	No
O14904	WNT9A	1.13546694005721	2.4222280102918e-06	No	No
O14910	LIN7A	0.970904789639942	1.94680576416091e-10	No	No
O15240	VGF	1.02754168518992	2.444190643637e-08	No	No
O43194	GPR39	0.925958503822066	3.82098015657863e-07	No	No
O43301	HSPA12A	0.71584243738676	0.00361238671013595	No	No
O43312	MTSS1	0.787110554038222	2.41408632617095e-09	No	No
O43548	TGM5	1.27696617263969	0.00699188567131931	No	No
O43897	TLL1	2.24227735010891	1.86253360000973e-15	No	No
O43916	CHST1	1.83722778649571	5.21667595343865e-15	No	No
O60258	FGF17	0.864139528203786	0.000725013365672741	No	No
O60462	NRP2	1.03412018845751	1.88908488757351e-17	No	No
O75157	TSC22D2	0.785615966734564	1.21041524866966e-08	No	No
O75167	PHACTR2	1.12921410572539	6.79806408668408e-08	No	No
O75293	GADD45B	1.11330123267884	4.89899425864412e-11	No	No
O75342	ALOX12B	1.66575918615284	0.00045996410484236	No	No
O76024	WFS1	0.832785640918427	8.79338067269103e-21	No	No
O76081	RGS20	0.707348504336284	0.000115384612643005	No	No
O95025	SEMA3D	0.879440290695189	4.27216619085494e-05	No	No
O95359	TACC2	1.07226348388693	5.8090413737982e-08	No	No
O95409	ZIC2	1.62640429488355	1.24488640320879e-16	No	No
O95450	ADAMTS2	0.751900333447889	3.56562025981059e-19	No	No
O95502	NPTXR	0.941570767116193	6.10247105485199e-09	No	No
O95817	BAG3	1.1499371762352	2.72726950229251e-11	No	No
P00740	F9	1.95247682549341	9.64063377643293e-08	No	No
P00749	PLAU	0.938847500890784	5.31581541468473e-06	No	No
P01619	IGKV3-20	5.89221203791896	4.52914935613517e-07	No	No
P01833	PIGR	3.47224639517902	0.00368585045857275	No	No
P01876	IGHA1	3.34713715079578	0.00903432435052708	No	No
P02766	TTR	3.32646640922749	2.98180697284086e-05	No	No
P05106	ITGB3	1.44140528070262	1.13887555531849e-13	No	No
P06727	APOA4	1.19881064680074	0.000121869424705019	No	No
P07093	SERPINE2	1.36030179073587	3.22549509718657e-16	No	No
P08138	NGFR	1.28267625833454	7.4973134397046e-08	No	No
P08253	MMP2	0.733859427506346	4.21974785258878e-18	No	No
P08887	IL6R	0.780391764749972	5.1744663238307e-06	No	No
P0DKB5	TPBGL	0.844698608716151	0.000128213509084256	No	No
P0DP57	SLURP2	1.05658469753406	0.00168362905968333	No	No
P10909	CLU	0.739933172161813	2.1352572566901e-10	No	No
P11473	VDR	0.850936162531589	1.42752268601634e-05	No	No
P11532	DMD	3.70649501858405	9.58991287657864e-22	No	No
P12109	COL6A1	1.20564857211446	5.59640418100627e-26	No	No
P12110	COL6A2	0.719197595075336	2.9018501403055e-17	No	No
P12821	ACE	1.46702327366502	1.13813042903731e-19	No	No
P14921	ETS1	0.724908039399121	4.73111757061615e-13	No	No
P15018	LIF	0.843235862066344	1.26792348932132e-08	No	No
P15104	GLUL	0.973572593122274	0.000341469460031508	No	No
P15407	FOSL1	0.765432216426955	3.15586430543297e-07	No	No
P15692	VEGFA	1.06315917816481	4.07052693994426e-09	No	No
P17676	CEBPB	1.11780707741814	7.36091873878799e-11	No	No
P18827	SDC1	1.44471723684649	6.96849573095524e-13	No	No
P18848	ATF4	1.0808320429892	0.000506296568311309	No	No
P20810	CAST	0.80005035220643	0.00043164398949757	No	No
P23975	SLC6A2	1.31227460210979	2.44619868648437e-06	No	No
P24385	CCND1	0.834879990016656	2.30049232820302e-19	No	No
P26012	ITGB8	0.850093335498904	1.08101615195985e-06	No	No
P28360	MSX1	0.943121299421254	1.39437395432384e-10	No	No
P29317	EPHA2	0.885910125838027	3.70303616409814e-23	No	No
P29373	CRABP2	1.16901574254334	2.70949383300522e-15	No	No
P30281	CCND3	1.14617091511724	9.54317119791633e-11	No	No
P30989	NTSR1	1.11153277451033	3.54645297890337e-09	No	No
P31277	HOXD11	1.28395415405274	9.12783042095971e-06	No	No
P33241	LSP1	2.20079696376051	1.90234776057147e-11	No	No
P34969	HTR7	1.19333401643121	0.000296953129454694	No	No
P36021	SLC16A2	1.3065035210692	2.04514610727504e-13	No	No
P36402	TCF7	1.02643662014516	4.39717782978646e-09	No	No
P36406	TRIM23	0.752872110053904	0.00250475922683423	No	No
P38936	CDKN1A	1.00441274915653	3.1448419846166e-09	No	No
P41217	CD200	0.745719807159084	0.00411025848799003	No	No
P41236	PPP1R2	0.70774558760877	4.26731136011233e-06	No	No
P41271	NBL1	1.60715991392257	9.1476085446777e-06	No	No
P46527	CDKN1B	1.31576715245652	1.30684011268018e-09	No	No
P48029	SLC6A8	0.936748828317729	3.54826821255029e-15	No	No
P48436	SOX9	0.909217240989349	4.49359141137712e-11	No	No
P48742	LHX1	1.00576272652838	1.6868288130861e-14	No	No
