Protein_Group	Genes	Ctrl_OE_Y+_vs_Ctrl_OE_Y-_logFC	Ctrl_OE_Y+_vs_Ctrl_OE_Y-_pval	Removed?	is_contaminant
O00622	CCN1	1.638634185	7.42e-06	No	No
O15054	KDM6B	1.541988846	0.001638864	No	No
O43187	IRAK2	1.884311728	0.007568162	No	No
O43520	ATP8B1	1.655576479	6.93e-05	No	No
O60478	GPR137B	2.021151915	0.008122698	No	No
O60675	MAFK	1.186944267	1.79e-07	No	No
O75911	DHRS3	1.595345169	2.71e-17	No	No
O76061	STC2	1.990079248	2.26e-12	No	No
O94907	DKK1	1.875842491	0.000191962	No	No
O95057	DIRAS1	2.108686428	0.005657063	No	No
O95477	ABCA1	1.131806714	0.007891036	No	No
P00488	F13A1	1.206169053	0.001570666	No	No
P00742	F10	1.948178735	5.14e-05	No	No
P01100	FOS	2.051235417	6.27e-07	No	No
P01106	MYC	1.767274746	2.73e-07	No	No
P02656	APOC3	3.366182099	2.95e-16	No	No
P06702	S100A9	2.202489531	0.000512061	No	No
P10646	TFPI	1.531572326	1.34e-05	No	No
P10914	IRF1	1.632595436	2.37e-08	No	No
P12034	FGF5	4.920357975	4.51e-24	No	No
P12272	PTHLH	2.188730797	0.001093873	No	No
P12273	PIP	2.032821087	1.48e-05	No	No
P13500	CCL2	1.0814482	0.008289282	No	No
P13929	ENO3	1.298496008	0.009429788	No	No
P15018	LIF	1.455750874	2.35e-10	No	No
P15036	ETS2	1.286452499	1.27e-09	No	No
P17275	JUNB	1.153471286	1.4e-05	No	No
P17676	CEBPB	1.115596252	0.000120519	No	No
P18146	EGR1	5.776945213	3.54e-25	No	No
P18847	ATF3	2.88561795	8.98e-10	No	No
P19883	FST	2.805867012	1.83e-06	No	No
P20809	IL11	1.232088396	0.000731048	No	No
P21439	ABCB4	2.616280875	0.001904703	No	No
P21580	TNFAIP3	1.315981718	2.06e-06	No	No
P22352	GPX3	2.349288547	3.12e-11	No	No
P25311	AZGP1	1.971732311	0.000753296	No	No
P26022	PTX3	1.372775277	1.34e-06	No	No
P29279	CCN2	1.625235777	9.73e-11	No	No
P35625	TIMP3	1.374560948	0.009422749	No	No
P38936	CDKN1A	3.213653564	0.000455533	No	No
P41182	BCL6	1.493794365	8.93e-05	No	No
P46695	IER3	1.33988996	0.000134557	No	No
