Protein_Group	Genes	Piezo1_KO_Y+_vs_Piezo1_KO_Y-_logFC	Piezo1_KO_Y+_vs_Piezo1_KO_Y-_pval	Removed?	is_contaminant
O60765	ZNF354A	1.369924056	0.003382803	No	No
O75563	SKAP2	1.137602443	0.001110538	No	No
O75911	DHRS3	0.988877695	2.68e-11	No	No
P01106	MYC	0.969039366	0.00077057	No	No
P02656	APOC3	2.316849141	5.53e-12	No	No
P03971	AMH	3.855265423	0.005941427	No	No
P05154	SERPINA5	1.799180365	0.003438713	No	No
P13500	CCL2	1.226268222	0.000990955	No	No
P15018	LIF	1.172902655	4.65e-09	No	No
P18146	EGR1	1.266905825	8.34e-05	No	No
P18847	ATF3	1.935905647	1.05e-06	No	No
P21580	TNFAIP3	0.992151601	4.11e-05	No	No
P22352	GPX3	2.086540806	3.91e-11	No	No
P34925	RYK	1.350102205	0.007092002	No	No
P63252	KCNJ2	1.013211411	0.00120547	No	No
Q01201	RELB	4.337886967	0.004093483	No	No
Q14586	ZNF267	1.1284297	0.008860662	No	No
Q7RTY1	SLC16A9	1.187252643	8.12e-05	No	No
Q8TAT5	NEIL3	1.440292318	0.000188584	No	No
Q8WTP8	AEN	0.841161353	2.7e-05	No	No
Q96AV8	E2F7	0.915982009	0.000302302	No	No
Q99075	HBEGF	1.436850031	0.001776208	No	No
Q99708	RBBP8	0.903836439	0.002669694	No	No
Q9HCJ5	ZSWIM6	2.584769602	0.004525112	No	No
Q9HCM7	FBRSL1	1.728328527	0.004167544	No	No
Q9NR82	KCNQ5	0.874210025	0.008884421	No	No
Q9NW97	TMEM51	1.930923758	1.6e-05	No	No
Q9UHQ7	TCEAL9	1.19490967	0.003457675	No	No
Q9Y5W3	KLF2	2.288645409	0.000769402	No	No
O14544	SOCS6	-1.334911433	9.35e-05	No	No
O75094	SLIT3	-1.349499326	0.009117653	No	No
O75592	MYCBP2	-0.90575557	0.000654325	No	No
P05062	ALDOB	-1.832629457	0.000254264	No	No
P0CG12	DERPC	-0.930172142	0.00388858	No	No
Q00604	NDP	-1.072184697	0.004135498	No	No
Q08999	RBL2	-1.918767926	0.002065878	No	No
Q15389	ANGPT1	-1.77269209	0.001105918	No	No
Q2M3G4	SHROOM1	-0.980869585	0.005728544	No	No
Q5T7B8	KIF24	-3.327938955	0.008243	No	No
Q7L0X0	TRIL	-1.918380844	0.007786985	No	No
Q8IW35	CEP97	-1.219780919	0.001790117	No	No
Q8N1I0	DOCK4	-0.87399468	0.002673329	No	No
Q8N441	FGFRL1	-1.017172305	4.15e-06	No	No
Q8N584	TTC39C	-2.152447674	0.00290006	No	No
Q96NU1	SAMD11	-2.839516645	0.000232911	No	No
Q9BVG3	TRIM62	-3.317254115	0.001457407	No	No
