Protein_Group	Genes	Piezo1_KO_Y-_vs_Ctrl_KO_Y-_logFC	Piezo1_KO_Y-_vs_Ctrl_KO_Y-_pval	Removed?	is_contaminant
O00519	FAAH	1.878396114	0.004149635	No	No
O60687	SRPX2	1.511661648	0.000248247	No	No
O75197	LRP5	2.061976091	0.000493348	No	No
O95497	VNN1	1.229941226	0.000338986	No	No
P00450	CP	1.223803892	0.000507115	No	No
P01031	C5	1.183299553	0.000899726	No	No
P02753	RBP4	1.112746753	0.000739891	No	No
P05062	ALDOB	1.332257481	0.009909914	No	No
P05362	ICAM1	1.230180219	1.7e-12	No	No
P05546	SERPIND1	1.113759045	0.002625225	No	No
P08183	ABCB1	1.607332256	0.004114047	No	No
P08493	MGP	2.474569174	1.22e-08	No	No
P09619	PDGFRB	2.243101852	0.005324354	No	No
P17676	CEBPB	1.152133607	3.42e-05	No	No
P21579	SYT1	1.122517271	5.34e-07	No	No
P21980	TGM2	1.478132337	0.007968646	No	No
P22223	CDH3	1.933219039	0.000339578	No	No
P25774	CTSS	1.162071673	6.89e-05	No	No
P28330	ACADL	2.309522756	0.006884317	No	No
P35442	THBS2	1.898092425	2.49e-06	No	No
P35443	THBS4	1.292982932	0.009250423	No	No
P41221	WNT5A	1.345568781	0.000618326	No	No
P47929	LGALS7B	1.569555189	0.004259425	No	No
P49747	COMP	1.820704865	0.000583967	No	No
P51793	CLCN4	2.152116494	1.63e-05	No	No
P51843	NR0B1	4.093354702	6.78e-05	No	No
Q00604	NDP	1.268067882	0.001508914	No	No
Q03167	TGFBR3	1.203198427	0.001686996	No	No
Q12884	FAP	1.62498699	0.007617012	No	No
Q13268	DHRS2	1.749707709	0.000841971	No	No
Q14956	GPNMB	1.109791918	7.87e-05	No	No
Q15198	PDGFRL	3.079937058	0.001265903	No	No
Q3KP31	ZNF791	1.301971359	0.003655268	No	No
Q5VT66	MTARC1	1.907435117	0.00069938	No	No
Q86UX7	FERMT3	1.367449045	0.004357006	No	No
Q8IVL1	NAV2	1.119041478	0.000220547	No	No
Q8N3X6	LCORL	1.163823297	0.007197686	No	No
Q8N584	TTC39C	2.014576019	0.008087271	No	No
Q8N8L6	ARL10	1.216279539	0.008156626	No	No
Q8N9Z2	CCDC71L	1.308717781	5.27e-08	No	No
Q8NCL4	GALNT6	1.170439373	4.27e-11	No	No
Q8NI17	IL31RA	1.672122783	0.007583898	No	No
Q92743	HTRA1	1.36656078	1.07e-06	No	No
Q92784	DPF3	1.378936583	0.000451818	No	No
Q92887	ABCC2	5.00495386	7.13e-10	No	No
Q92954	PRG4	1.401755939	0.008956388	No	No
Q96A54	ADIPOR1	1.369765966	0.00091283	No	No
Q96FL8	SLC47A1	1.828879474	0.001130618	No	No
Q96RW7	HMCN1	2.262400837	7.41e-06	No	No
Q99988	GDF15	1.498938353	0.001329347	No	No
Q9BSA9	TMEM175	1.457007875	0.003799919	No	No
Q9BX59	TAPBPL	1.756094185	0.001117508	No	No
Q9BZ72	PITPNM2	1.558855945	0.000991365	No	No
Q9H1J7	WNT5B	1.223055844	0.000385359	No	No
Q9H3E2	SNX25	2.652576797	0.00496622	No	No
Q9H6B4	CLMP	1.223052964	8.3e-06	No	No
Q9H6W3	RIOX1	1.762542402	0.001039013	No	No
Q9H8P0	SRD5A3	1.646473324	8.23e-06	No	No
Q9HC16	APOBEC3G	2.940948959	2.46e-05	No	No
Q9HCL0	PCDH18	1.3807489	0.002873651	No	No
Q9NRN5	OLFML3	1.206276753	0.004233445	No	No
Q9UKW4	VAV3	3.622809508	0.006608983	No	No
Q9Y258	CCL26	1.669927919	3.52e-10	No	No
O00750	PIK3C2B	-2.864105961	0.006549173	No	No
O14682	ENC1	-1.675649525	1.25e-07	No	No
O15169	AXIN1	-2.151360545	0.008494867	No	No
O60765	ZNF354A	-1.284371895	0.009060592	No	No
O75128	COBL	-1.544732874	0.009670212	No	No
P00966	ASS1	-1.377331714	7.96e-05	No	No
P14136	GFAP	-2.139236246	8.1e-05	No	No
Q00987	MDM2	-1.577194848	0.001072569	No	No
Q01826	SATB1	-2.193838367	0.007094448	No	No
Q02156	PRKCE	-1.686329691	0.009433351	No	No
Q09019	DMWD	-1.278806518	0.000919867	No	No
Q14135	VGLL4	-1.375446972	0.008845141	No	No
Q15173	PPP2R5B	-1.737669764	0.001018986	No	No
Q15788	NCOA1	-2.575609695	0.005896388	No	No
Q1ZZU3	SWI5	-1.205037211	3.77e-05	No	No
Q5T7W7	TSTD2	-3.084314657	1.36e-07	No	No
Q68DA7	FMN1	-2.679910657	0.007779284	No	No
Q6NTE8	MRNIP	-1.495720205	0.00907499	No	No
Q6ZVK8	NUDT18	-3.278908827	0.00052684	No	No
Q86T82	USP37	-1.385848097	0.000171922	No	No
Q86XN7	PROSER1	-1.134309192	0.002123533	No	No
Q8IUZ5	PHYKPL	-1.716592452	0.003650107	No	No
Q8IX07	ZFPM1	-1.674045703	0.003540147	No	No
Q8IYM9	TRIM22	-1.321336043	1.6e-05	No	No
Q8IZL2	MAML2	-1.143936411	0.001887798	No	No
Q8N3J2	METTL4	-1.187810633	0.001191852	No	No
Q8N7P1	PLD5	-3.011252922	0.000738926	No	No
Q8NEF3	CCDC112	-3.036237123	0.001145456	No	No
Q8TE57	ADAMTS16	-2.690264399	0.003506525	No	No
Q8WXB1	METTL21A	-1.444314507	0.003596867	No	No
Q92508	PIEZO1	-6.185704625	3.9199999999999996e-48	No	No
Q92824	PCSK5	-1.351368215	0.004306505	No	No
Q92834	RPGR	-1.699293421	0.006541896	No	No
Q96A73	KIAA1191	-1.231586934	0.00015153	No	No
Q96HH4	TMEM169	-1.504770832	8.72e-05	No	No
Q96S38	RPS6KC1	-2.018765431	0.007147837	No	No
Q99501	GAS2L1	-1.486636207	0.000158141	No	No
Q99708	RBBP8	-1.115729952	0.000554215	No	No
Q9BW30	TPPP3	-1.600428309	0.002854082	No	No
Q9H0H3	KLHL25	-1.142133359	0.008948087	No	No
Q9H3R0	KDM4C	-1.611379451	0.000196774	No	No
Q9H9V9	JMJD4	-3.358489879	0.000122853	No	No
Q9NSB8	HOMER2	-1.495362544	0.002269147	No	No
Q9P1T7	MDFIC	-5.702113456	0.00014575	No	No
Q9UGP5	POLL	-1.583380902	0.005097463	No	No
Q9UIK4	DAPK2	-1.28675805	0.000377611	No	No
Q9UJU3	ZNF112	-1.81704004	0.008498449	No	No
Q9UL42	PNMA2	-2.559086741	3.55e-08	No	No
Q9UMD9	COL17A1	-6.738857812	7.39e-20	No	No
