Protein_Group	Genes	Piezo1_OE_Y+_vs_Ctrl_OE_Y+_logFC	Piezo1_OE_Y+_vs_Ctrl_OE_Y+_pval	Removed?	is_contaminant
O15151	MDM4	1.070511441	0.002153522	No	No
P07225	PROS1	1.339228782	0.001331411	No	No
P08183	ABCB1	1.765461474	0.002867231	No	No
P19883	FST	2.501518247	1.5e-05	No	No
P29034	S100A2	1.077144211	0.001518272	No	No
P35354	PTGS2	2.274777065	0.000478544	No	No
P47929	LGALS7B	2.61418651	1.56e-05	No	No
P54259	ATN1	1.142688205	0.002580405	No	No
Q12840	KIF5A	1.981890657	0.000118292	No	No
Q13275	SEMA3F	2.508807871	0.000700207	No	No
Q13394	MAB21L1	1.506488435	0.002933897	No	No
Q14126	DSG2	1.674320499	0.003482197	No	No
Q2KHR3	QSER1	1.272048018	0.004382998	No	No
Q5D0E6	DALRD3	1.816285282	0.008958488	No	No
Q5JTD0	TJAP1	1.427307638	0.000774447	No	No
Q5VT66	MTARC1	1.744746937	0.002935332	No	No
Q6NXT1	ANKRD54	0.950213516	0.006704569	No	No
Q8NEP9	ZNF555	2.285946069	0.007926469	No	No
Q8NFH8	REPS2	2.543788277	0.003796534	No	No
Q92508	PIEZO1	2.009276166	4.54e-20	No	No
Q96C03	MIEF2	1.048628712	0.009214061	No	No
Q99611	SEPHS2	1.880151942	0.001177794	No	No
Q9BY66	KDM5D	1.629574353	0.000669114	No	No
Q9BZD2	SLC29A3	2.046855691	0.007054388	No	No
Q9NP87	POLM	3.898165892	0.003073669	No	No
Q9NWT8	AURKAIP1	1.245625576	0.003675383	No	No
Q9UPY3	DICER1	1.142739367	0.002797111	No	No
O00548	DLL1	-1.670201804	0.001872801	No	No
O15540	FABP7	-0.972805115	0.002206387	No	No
O60285	NUAK1	-2.738420681	0.000881312	No	No
O75473	LGR5	-3.445625446	0.000252	No	No
O95136	S1PR2	-0.96280965	0.002721427	No	No
P01100	FOS	-1.050655962	0.006007197	No	No
P02452	COL1A1	-1.196116815	0.002487117	No	No
P02458	COL2A1	-1.071071493	6.81e-08	No	No
P08493	MGP	-1.227019891	0.002997581	No	No
P11473	VDR	-2.380999344	0.00889839	No	No
P12273	PIP	-1.565439009	0.00058926	No	No
P17936	IGFBP3	-1.054449107	0.009610103	No	No
P18146	EGR1	-1.23110401	0.000520849	No	No
P18847	ATF3	-1.74503004	4.85e-05	No	No
P24593	IGFBP5	-1.336034051	0.005239714	No	No
P33402	GUCY1A2	-1.116366927	0.001763674	No	No
P52799	EFNB2	-1.240970318	1.81e-06	No	No
P54756	EPHA5	-1.201275968	0.001889347	No	No
P81605	DCD	-1.27291052	0.000106151	No	No
Q13268	DHRS2	-1.514287098	0.005424918	No	No
Q16288	NTRK3	-1.035752997	2.66e-05	No	No
Q4KMG0	CDON	-1.583876828	0.005260095	No	No
Q5T7W7	TSTD2	-1.692362222	0.002922157	No	No
Q6UX71	PLXDC2	-1.231687165	0.001015412	No	No
Q8IX30	SCUBE3	-1.992739298	0.000285309	No	No
Q8N3I7	BBS5	-1.142219693	5.26e-07	No	No
Q8WVF1	OSCP1	-1.275772801	0.000140859	No	No
Q8WXI4	ACOT11	-1.467969633	0.0051957	No	No
Q969H0	FBXW7	-2.473390729	0.000125267	No	No
Q96A54	ADIPOR1	-1.2028653	0.005119008	No	No
Q9BQ89	FAM110A	-1.348130534	0.009618882	No	No
Q9H4E5	RHOJ	-1.962386797	0.002326851	No	No
Q9HAR2	ADGRL3	-2.907950249	0.008582132	No	No
Q9NQ88	TIGAR	-1.720324132	0.004440333	No	No
Q9NV58	RNF19A	-2.624907932	0.00503615	No	No
Q9UL42	PNMA2	-1.146546904	0.009510536	No	No
Q9UPQ7	PDZRN3	-1.605300156	0.006443853	No	No
Q9Y6N7	ROBO1	-1.015776802	3.59e-09	No	No
