Protein_Group	Genes	Ctrl_Piezo1_KO_YODA1+_vs_Ctrl_Piezo1_KO_YODA1-_logFC	Ctrl_Piezo1_KO_YODA1+_vs_Ctrl_Piezo1_KO_YODA1-_pval
A6NNL5	C15orf61	1.78721147614325	0.0018033840018782
A6QL63	BTBD11	3.72034487165951	0.0030741945553187
O00141	SGK1	4.44749802120267	0.0002672567345941
O15054	KDM6B	1.87780720454286	0.0001657558409645
O43520	ATP8B1	2.39242767354535	5.92385606213535e-08
O43597	SPRY2	4.47813422042307	0.0019505576927286
O60237	PPP1R12B	1.51121375242152	0.0065474291940171
O60675	MAFK	1.06422438990302	1.81777819212653e-06
O75840	KLF7	1.20445288617157	0.0022660543848577
O75911	DHRS3	1.30445361463153	8.57874149613637e-14
O95633	FSTL3	1.12459814418907	0.0086993536705714
P00742	F10	1.33906197735631	0.0039743021142681
P01106	MYC	1.27218327086853	0.0001018180930837
P02656	APOC3	2.97156556898963	4.08525745035275e-14
P08174	CD55	1.05463701026243	1.58731516410668e-05
P15018	LIF	1.38732656686023	9.70063205363387e-10
P18146	EGR1	5.64499555805337	1.14849935190031e-24
P18847	ATF3	2.50406931080897	3.93471860793802e-08
P19883	FST	2.65986327952711	5.06622563776849e-06
P20809	IL11	1.59085897517712	2.22566524327927e-05
P21580	TNFAIP3	1.22895219373487	7.44776526916053e-06
P22352	GPX3	2.39569727161888	1.65699945707542e-11
P24385	CCND1	1.04721299037927	1.15106464522782e-05
P29508	SERPINB3	1.3353722787878	0.0078761626000946
P35318	ADM	3.09717612676787	0.0003564137035079
P35442	THBS2	1.0584413835711	0.007899602108778
P41182	BCL6	1.47285656906812	0.0001091197058615
P47929	LGALS7B	1.87715395424745	0.0013098488120148
P52569	SLC7A2	1.55172525715233	1.30766212152234e-14
P53539	FOSB	1.95922451550485	8.74404167143489e-08
P53805	RCAN1	1.68215950752295	1.57672106835977e-05
P57087	JAM2	1.37257639526629	0.0060600535112494
P57682	KLF3	1.04291916252967	3.08170689297384e-05
P58335	ANTXR2	1.0961334861785	7.99247583145588e-05
P61587	RND3	1.12094229033206	1.21334535627924e-13
P62079	TSPAN5	1.12892216244007	0.000541862526265
P63252	KCNJ2	1.14394754106185	0.0010876445460155
P86452	ZBED6	1.6514211078591	3.21220611198949e-05
