Protein_Group	Genes	Piezo1_OE_YODA1+_vs_Ctrl_Piezo1_OE_YODA1+_logFC	Piezo1_OE_YODA1+_vs_Ctrl_Piezo1_OE_YODA1+_pval
O15151	MDM4	1.07051144107968	0.0021535216215535
P07225	PROS1	1.33922878179963	0.0013314113172354
P08183	ABCB1	1.7654614742815	0.0028672306102627
P19883	FST	2.50151824714394	1.49847715125757e-05
P29034	S100A2	1.07714421128993	0.0015182721415379
P35354	PTGS2	2.27477706475906	0.0004785442333179
P47929	LGALS7B	2.61418651006075	1.56048866611788e-05
P54259	ATN1	1.14268820542377	0.0025804052534236
Q12840	KIF5A	1.98189065726118	0.0001182920739889
Q13275	SEMA3F	2.50880787127848	0.0007002069531736
Q13394	MAB21L1	1.50648843549189	0.0029338972398848
Q14126	DSG2	1.6743204987137	0.003482197363266
Q2KHR3	QSER1	1.27204801831608	0.0043829978305327
Q5D0E6	DALRD3	1.81628528154369	0.0089584875916483
Q5JTD0	TJAP1	1.42730763814034	0.0007744473509171
Q5VT66	MTARC1	1.74474693742891	0.0029353324972878
Q6NXT1	ANKRD54	0.950213516407945	0.0067045690455336
Q8NEP9	ZNF555	2.28594606893053	0.0079264694359092
Q8NFH8	REPS2	2.54378827698334	0.0037965344298293
Q92508	PIEZO1	2.00927616608816	4.5368260895325404e-20
Q96C03	MIEF2	1.04862871223376	0.009214060935299
Q99611	SEPHS2	1.88015194234357	0.0011777937646773
Q9BY66	KDM5D	1.62957435342205	0.0006691139803638
Q9BZD2	SLC29A3	2.04685569129089	0.0070543876443669
Q9NP87	POLM	3.89816589156227	0.003073668751947
Q9NWT8	AURKAIP1	1.24562557569268	0.0036753825141905
Q9UPY3	DICER1	1.14273936670575	0.002797111337555
O00548	DLL1	-1.67020180391591	0.0018728011073519
O15540	FABP7	-0.972805115198899	0.0022063868394155
O60285	NUAK1	-2.73842068104697	0.0008813120151791
O75473	LGR5	-3.44562544582252	0.0002520002905516
O95136	S1PR2	-0.962809649858883	0.0027214273080004
P01100	FOS	-1.05065596234615	0.0060071966763206
P02452	COL1A1	-1.19611681514634	0.0024871169243818
P02458	COL2A1	-1.0710714933475	6.80932012613876e-08
P08493	MGP	-1.2270198909748	0.0029975805783601
P11473	VDR	-2.38099934392405	0.0088983904579863
P12273	PIP	-1.56543900944375	0.0005892595719243
P17936	IGFBP3	-1.05444910717349	0.0096101027641443
P18146	EGR1	-1.23110401035273	0.0005208494131712
P18847	ATF3	-1.74503004025155	4.8468710288501e-05
P24593	IGFBP5	-1.33603405057721	0.0052397138297307
P33402	GUCY1A2	-1.11636692718096	0.0017636744071106
P52799	EFNB2	-1.24097031758287	1.81099744585415e-06
P54756	EPHA5	-1.20127596843302	0.0018893468896218
P81605	DCD	-1.27291052023586	0.0001061511626549
Q13268	DHRS2	-1.51428709771347	0.0054249184123626
Q16288	NTRK3	-1.03575299690363	2.66223192985008e-05
Q4KMG0	CDON	-1.5838768284918	0.0052600953991801
Q5T7W7	TSTD2	-1.69236222201255	0.0029221569234395
Q6UX71	PLXDC2	-1.2316871646691	0.0010154119252842
Q8IX30	SCUBE3	-1.99273929802206	0.0002853086447078
Q8N3I7	BBS5	-1.14221969297649	5.26290762258731e-07
Q8WVF1	OSCP1	-1.27577280080288	0.0001408586201337
Q8WXI4	ACOT11	-1.46796963258199	0.0051956997515755
Q969H0	FBXW7	-2.47339072924065	0.0001252670390598
Q96A54	ADIPOR1	-1.20286529975971	0.0051190083004764
Q9BQ89	FAM110A	-1.34813053368016	0.0096188822594445
Q9H4E5	RHOJ	-1.96238679743219	0.002326851218846
Q9HAR2	ADGRL3	-2.90795024905393	0.0085821317940911
Q9NQ88	TIGAR	-1.72032413182712	0.0044403334896238
Q9NV58	RNF19A	-2.62490793151551	0.0050361497629359
Q9UL42	PNMA2	-1.14654690403571	0.0095105356016926
Q9UPQ7	PDZRN3	-1.60530015614671	0.0064438530343563
Q9Y6N7	ROBO1	-1.01577680160241	3.59172455587393e-09
