,parent,parentTerm,term,ES,NES,fdr,Gene %,Genes,description
0,GO:0019395,fatty acid oxidation,GO:0019395,-0.7357296441254961,-1.981810037434699,0.0401494817333667,4.41%,ECHDC2;CYP4V2;ADIPOQ;PHYH;PEX2,GO_Biological_Process_2023__Fatty Acid Oxidation (GO:0019395)
1,GO:1902116,negative regulation of organelle assembly,GO:1902116,-0.7260552235066666,-1.843964016643109,0.2226471259759426,9.58%,KIF24;MPHOSPH9;CEP97;EVI5L;FEZ1;TESK1;TBC1D7;MDM1;TCHP,GO_Biological_Process_2023__Negative Regulation Of Organelle Assembly (GO:1902116)
2,GO:0009062,fatty acid catabolic process,GO:0009062,-0.6175361967431785,-1.7461260761273871,0.5654385344115811,5.36%,ECHDC2;FAAH;ADIPOQ;PHYH;PEX2;ACADL,GO_Biological_Process_2023__Fatty Acid Catabolic Process (GO:0009062)
3,GO:1902018,negative regulation of cilium assembly,GO:1902018,-0.8198317278649815,-1.7549887298735367,0.597314789605951,6.24%,KIF24;MPHOSPH9;CEP97;EVI5L;TESK1;TBC1D7,GO_Biological_Process_2023__Negative Regulation Of Cilium Assembly (GO:1902018)
4,GO:0006306,DNA methylation,GO:0006306,0.7281915984550806,1.641865869256961,0.6030417252996,2.56%,FOS;METTL4,GO_Biological_Process_2023__DNA Methylation (GO:0006306)
5,GO:0048524,positive regulation of viral process,GO:0048524,0.6506961154667964,1.6453501886895758,0.6161134389982909,2.18%,MDFIC;TYRO3,GO_Biological_Process_2023__Positive Regulation Of Viral Process (GO:0048524)
6,GO:0008333,endosome to lysosome transport,GO:0008333,-0.6308647327038768,-1.7293792304103242,0.6240115878494364,23.94%,HOOK2;TRAK1;EPG5;CACNG4;RILP;SORT1;LYST;VPS11;DTX3L;VIPAS39;VPS16;KIF13A;MTM1;PLEKHF2;ATG14;UBXN6;VPS4B;VPS18;VPS33A;VPS39;RHOB;AP3D1;VPS41;VPS33B,GO_Biological_Process_2023__Endosome To Lysosome Transport (GO:0008333)
7,GO:0032873,negative regulation of stress-activated MAPK cascade,GO:0032873,0.6820655045629168,1.6464909706104158,0.6250707283966074,2.55%,DACT1;MYC;SH3RF2,GO_Biological_Process_2023__Negative Regulation Of Stress-Activated MAPK Cascade (GO:0032873)
8,GO:0030888,regulation of B cell proliferation,GO:0030888,0.717772474058571,1.5702167547854375,0.631404821055457,5.53%,AMH;TNFRSF21;CD320,GO_Biological_Process_2023__Regulation Of B Cell Proliferation (GO:0030888)
9,GO:0009301,snRNA transcription,GO:0009301,0.765300965580774,1.5737187381277649,0.6341152165258855,13.52%,USPL1;SNAPC4;ELL2;SNAPC1;SNAPC3;ELL,GO_Biological_Process_2023__snRNA Transcription (GO:0009301)
10,GO:0030001,metal ion transport,GO:0030001,0.6160325451963228,1.647262980448553,0.6373818561328388,7.49%,SGK1;KCNJ2;NDFIP2;SLC9B2;NDFIP1;SLC41A2;KCNH1;SELENOK;CALCRL,GO_Biological_Process_2023__Metal Ion Transport (GO:0030001)
11,GO:0032480,negative regulation of type I interferon production,GO:0032480,0.6238498303930052,1.5703914715950276,0.6397277318637479,4.50%,RELB;GPATCH3,GO_Biological_Process_2023__Negative Regulation Of Type I Interferon Production (GO:0032480)
12,GO:0006639,acylglycerol metabolic process,GO:0006639,0.6825261098966497,1.5976921444404972,0.639969358966607,8.99%,APOC3;APOA2;APOE;ABHD2;DGKD;DGKH,GO_Biological_Process_2023__Acylglycerol Metabolic Process (GO:0006639)
13,GO:0060395,SMAD protein signal transduction,GO:0060395,0.6722321930273469,1.5765439336354414,0.6399818534930212,5.93%,FOS;GDF6;TGFB3;JUN;SMAD3,GO_Biological_Process_2023__SMAD Protein Signal Transduction (GO:0060395)
14,GO:0048640,negative regulation of developmental growth,GO:0048640,0.7115389158535382,1.5744815521713391,0.6400275553971243,3.31%,WWC3;CDKN1A;FGFR3;RNF6;WWC1,GO_Biological_Process_2023__Negative Regulation Of Developmental Growth (GO:0048640)
15,GO:0040036,regulation of fibroblast growth factor receptor signaling pathway,GO:0040036,0.7863228915885324,1.6262315633221331,0.6430172850987368,8.25%,SPRY2;SHISA2;SPRY4,GO_Biological_Process_2023__Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway (GO:0040036)
16,GO:0048568,embryonic organ development,GO:0048568,0.5979320909419791,1.623092440023302,0.6449284636623999,14.75%,FGFR2;KIT;STIL;ZFPM1;TBX2;TEAD3;COBL;KITLG;KDR;COL2A1;RARB;TGFBR2;WNT7B;PBX3;PDGFA;HOXB7;STRA6;BMPR1A;MFSD2A;TGFB2;POLR2D;PCSK5,GO_Biological_Process_2023__Embryonic Organ Development (GO:0048568)
17,GO:0048146,positive regulation of fibroblast proliferation,GO:0048146,0.7258122280762763,1.6009553124125917,0.6463627048721822,3.51%,AMH;CDKN1A;MYC;SPHK1,GO_Biological_Process_2023__Positive Regulation Of Fibroblast Proliferation (GO:0048146)
18,GO:0010799,regulation of peptidyl-threonine phosphorylation,GO:0010799,0.6816985093776148,1.64833534946865,0.6479843443938613,5.82%,CEMIP;SPRY2;AXIN1;SPHK1;SPRED2,GO_Biological_Process_2023__Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799)
19,GO:0071478,cellular response to radiation,GO:0071478,0.6298874651276439,1.576791956514823,0.6485447861389482,15.96%,CDKN1A;RAD9A;SWI5;BRCA2;NSMCE3;LIG4;FIGNL1;ECT2;SIRT1;BLM;ERCC4;HUS1;BRCA1,GO_Biological_Process_2023__Cellular Response To Radiation (GO:0071478)
20,GO:1903670,regulation of sprouting angiogenesis,GO:1903670,0.6987810963692508,1.6071616352684268,0.6499300740608523,5.20%,KLF2;DLL1;KLF4;RHOJ,GO_Biological_Process_2023__Regulation Of Sprouting Angiogenesis (GO:1903670)
21,GO:0033673,negative regulation of kinase activity,GO:0033673,0.5954868828774218,1.5980038750010364,0.64994497060068,0.01%,PPM1E,GO_Biological_Process_2023__Negative Regulation Of Kinase Activity (GO:0033673)
22,GO:0018206,peptidyl-methionine modification,GO:0018206,0.7459886949786334,1.6119688692280263,0.6503555192383278,0.24%,APOA2,GO_Biological_Process_2023__Peptidyl-Methionine Modification (GO:0018206)
23,GO:0003281,ventricular septum development,GO:0003281,0.6612470055322276,1.5640214724519494,0.6507411078959089,13.82%,MDM4;ZFPM1;SOX4;CITED2;TGFBR2;TGFBR1;STRA6;BMPR1A;NOTCH1;SOX11;BMPR2;HES1;TGFB2;SLIT2,GO_Biological_Process_2023__Ventricular Septum Development (GO:0003281)
24,GO:0044843,cell cycle G1/S phase transition,GO:0044843,0.6132735261390273,1.6093577503777152,0.6512549898384574,9.15%,CDKN1A;PLK2;DBF4;MYC;CCND1;LATS2;CCNA2;USP37;CDC7;CCNE2;RPS6KB1,GO_Biological_Process_2023__Cell Cycle G1/S Phase Transition (GO:0044843)
25,GO:0007605,sensory perception of sound,GO:0007605,0.6344880223766936,1.602207426748116,0.6518054932527735,9.00%,CEMIP;ZNF354A;KIT;ROR1;WHRN;COL2A1;EYA1;TPRN,GO_Biological_Process_2023__Sensory Perception Of Sound (GO:0007605)
26,GO:0003203,endocardial cushion morphogenesis,GO:0003203,0.7635182361302799,1.5778700941959949,0.6529499006146969,13.51%,MDM4;TBX2;TGFBR2;APC;BMPR1A;NOTCH1;TGFB2,GO_Biological_Process_2023__Endocardial Cushion Morphogenesis (GO:0003203)
27,GO:0038061,non-canonical NF-kappaB signal transduction,GO:0038061,0.6514575230187372,1.5880447057785594,0.6560670512287483,9.01%,RELB;TNFRSF10B;NFKB2;CARD10;TNFRSF10A;DICER1;BTRC,GO_Biological_Process_2023__NIK/NF-kappaB Signaling (GO:0038061)
28,GO:0051281,positive regulation of release of sequestered calcium ion into cytosol,GO:0051281,0.7776581127065245,1.6129190262702529,0.6584270603784972,3.05%,CEMIP;F2,GO_Biological_Process_2023__Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281)
29,GO:0071466,cellular response to xenobiotic stimulus,GO:0071466,0.759270112681143,1.6495092545013283,0.6585733775030257,1.49%,PPM1E;NKX3-1;MYC,GO_Biological_Process_2023__Cellular Response To Xenobiotic Stimulus (GO:0071466)
