Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Category
prerank,MSigDB_Hallmark_2020__TNF-alpha Signaling via NF-kB,0.6985008991106373,2.1496431540441447,0.0,0.0021689361988938,0.002,52/119,9.71%,FOS;RELB;SGK1;KLF2;ATF3;CDKN1A;HBEGF;PLK2;IER2;EGR1;CCL2;LIF;TNFAIP3;MYC;MAFF;TNIP1;PMEPA1;CCND1;FOSL1;PTGS2;JUNB;RNF19B;SPHK1;SNN;ETS2;FOSB;SERPINE1;KLF4;IL6ST;NFKB2;IRF1;SQSTM1;NFIL3;MCL1;JUN;KLF10;F3;SMAD3;SDC4;NFE2L2;PTX3;TNIP2;PHLDA2;IER3;TRAF1;CSF1;KDM6B;LDLR;FOSL2;SLC2A6;ABCA1;TSC22D1,MSigDB_Hallmark_2020
prerank,MSigDB_Hallmark_2020__UV Response Up,0.5819599354138407,1.804902437399201,0.0,1.0,0.909,16/119,8.11%,NPTXR;FOS;GPX3;ATF3;RRAD;PDLIM3;CHRNA5;TYRO3;JUNB;FOSB;IL6ST;IRF1;SQSTM1;COL2A1;HLA-F;STARD3,MSigDB_Hallmark_2020
prerank,MSigDB_Hallmark_2020__Androgen Response,0.59523405892279,1.7675893449856694,0.0036496350364963,1.0,0.97,19/82,13.03%,SGK1;CAMKK2;NKX3-1;KRT19;HERC3;PMEPA1;CCND1;ELK4;ABHD2;NCOA4;HMGCR;ELL2;TSC22D1;ANKH;ABCC4;ZMIZ1;SLC38A2;PTPN21;SRF,MSigDB_Hallmark_2020
prerank,MSigDB_Hallmark_2020__p53 Pathway,0.5440388106644573,1.7406270104586608,0.0,0.988709566265772,0.988,39/143,14.76%,FOS;ATF3;CDKN1A;RRAD;HBEGF;PLK2;VDR;LIF;MDM2;AEN;CSRNP2;RNF19B;SPHK1;ZMAT3;KLF4;TCN2;JUN;RAD9A;IER3;POLH;PDGFA;HMOX1;TSC22D1;ACVR1B;FOXO3;COQ8A;ZFP36L1;PTPRE;POM121;NOTCH1;TSPYL2;PCNA;WWP1;CCP110;NDRG1;CD82;KIF13B;PRMT2;PIDD1,MSigDB_Hallmark_2020
prerank,MSigDB_Hallmark_2020__Estrogen Response Late,0.4807469390539739,1.5045624876176935,0.0129629629629629,0.7234073028321032,1.0,17/127,5.35%,FOS;SGK1;SERPINA5;KRT19;SERPINA3;RBBP8;ABCA3;PDLIM3;FGFR3;STIL;CCND1;NRIP1;ABHD2;MAPK13;KLF4;IL6ST;FOXC1,MSigDB_Hallmark_2020
prerank,MSigDB_Hallmark_2020__Inflammatory Response,0.4887432365830084,1.4543848869767682,0.0469924812030075,0.7303520122565383,1.0,21/78,9.81%,ADM;CDKN1A;HBEGF;CCL2;LIF;KCNJ2;MYC;SPHK1;SERPINE1;IRF1;SLC7A2;OSMR;F3;ITGB3;SGMS2;CALCRL;CSF1;SELENOS;LDLR;ABCA1;ACVR1B,MSigDB_Hallmark_2020
prerank,MSigDB_Hallmark_2020__Reactive Oxygen Species Pathway,0.5532298814048917,1.4399038469825702,0.0615671641791044,0.6899587142103824,1.0,8/41,11.94%,GPX3;GPX4;JUNB;SBNO2;FTL;SELENOS;CDKN2D;TXNRD1,MSigDB_Hallmark_2020
prerank,MSigDB_Hallmark_2020__Estrogen Response Early,0.4457104534142161,1.4097059686662514,0.0278745644599303,0.700874479770973,1.0,20/131,5.80%,FOS;KRT19;CELSR1;DHRS3;MYC;RBBP8;ABCA3;PDLIM3;CCND1;MAST4;NRIP1;WWC1;ABHD2;PMAIP1;UGCG;KLF4;IL6ST;SLC7A2;FOXC1;KLF10,MSigDB_Hallmark_2020
prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,-0.4506736653384993,-1.3577995260015254,0.0665236051502145,0.952275604445765,1.0,23/73,17.11%,USP18;IRF9;RNF31;CMPK2;PARP9;UBA7;IFIH1;PARP14;STAT2;NMI;IFI44L;PROCR;UBE2L6;GBP2;TXNIP;DDX60;IFI44;GMPR;NCOA7;ISG20;TRIM5;BST2;IFI35,MSigDB_Hallmark_2020
prerank,MSigDB_Hallmark_2020__IL-2/STAT5 Signaling,0.433386156244776,1.34290984779412,0.0620437956204379,0.7319612880628444,1.0,29/113,13.99%,LIF;DHRS3;MYC;FAM126B;TNFRSF21;MAFF;GPX4;GABARAPL1;NFIL3;IFNGR1;NCS1;SPRED2;SPP1;ADAM19;LCLAT1;TRAF1;CSF1;LRIG1;SPRY4;NRP1;POU2F1;NCOA3;ST3GAL4;BCL2;BMPR2;P2RX4;TIAM1;IFITM3;NDRG1,MSigDB_Hallmark_2020
prerank,MSigDB_Hallmark_2020__Myogenesis,0.4355346636744608,1.3357772304821125,0.060665362035225,0.7419993216059529,1.0,27/107,16.44%,GPX3;CDKN1A;HBEGF;ACTN2;KLF5;SPHK1;KCNH1;TPM3;SMTN;WWTR1;IGFBP3;GABARAPL2;DENND2B;TAGLN;CKM;MEF2D;NOTCH1;TPM2;NAV2;DTNA;CNN3;IFRD1;SVIL;ABLIM1;SORBS1;APP;COL4A2,MSigDB_Hallmark_2020
