Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,MSigDB_Hallmark_2020__TNF-alpha Signaling via NF-kB,0.6985008991106373,2.1496431540441447,0.0,0.002168936198893873,0.002,52/119,9.71%,FOS;RELB;SGK1;KLF2;ATF3;CDKN1A;HBEGF;PLK2;IER2;EGR1;CCL2;LIF;TNFAIP3;MYC;MAFF;TNIP1;PMEPA1;CCND1;FOSL1;PTGS2;JUNB;RNF19B;SPHK1;SNN;ETS2;FOSB;SERPINE1;KLF4;IL6ST;NFKB2;IRF1;SQSTM1;NFIL3;MCL1;JUN;KLF10;F3;SMAD3;SDC4;NFE2L2;PTX3;TNIP2;PHLDA2;IER3;TRAF1;CSF1;KDM6B;LDLR;FOSL2;SLC2A6;ABCA1;TSC22D1
prerank,GO_Biological_Process_2023__Fatty Acid Oxidation (GO:0019395),-0.7357296441254961,-1.981810037434699,0.0,0.04014948173336671,0.039,5/39,4.41%,ECHDC2;CYP4V2;ADIPOQ;PHYH;PEX2
prerank,GO_Biological_Process_2023__Fatty Acid Beta-Oxidation (GO:0006635),-0.6769118684419504,-1.8732954725943904,0.002066115702479339,0.1925350146759176,0.311,4/44,5.36%,ECHDC2;ADIPOQ;PEX2;ACADL
prerank,GO_Biological_Process_2023__Peptidyl-Threonine Dephosphorylation (GO:0035970),0.8542358894029111,1.848241944730626,0.003929273084479371,1.0,0.765,1/12,0.01%,PPM1E
prerank,GO_Biological_Process_2023__Negative Regulation Of Organelle Assembly (GO:1902116),-0.7260552235066666,-1.843964016643109,0.0,0.2226471259759426,0.454,9/29,9.58%,KIF24;MPHOSPH9;CEP97;EVI5L;FEZ1;TESK1;TBC1D7;MDM1;TCHP
prerank,MSigDB_Hallmark_2020__UV Response Up,0.5819599354138407,1.804902437399201,0.0,1.0,0.909,16/119,8.11%,NPTXR;FOS;GPX3;ATF3;RRAD;PDLIM3;CHRNA5;TYRO3;JUNB;FOSB;IL6ST;IRF1;SQSTM1;COL2A1;HLA-F;STARD3
prerank,GO_Biological_Process_2023__Prostaglandin Biosynthetic Process (GO:0001516),0.872193602788664,1.8009662165063913,0.001968503937007874,1.0,0.918,3/10,3.67%,AMH;PTGS2;PRXL2B
prerank,GO_Biological_Process_2023__Triglyceride Metabolic Process (GO:0006641),0.7589973966582624,1.7948682417458588,0.002074688796680498,1.0,0.937,8/23,11.83%,APOC3;APOA2;APOE;LIPE;PNPLA4;APOB;LPIN2;SIRT1
prerank,MSigDB_Hallmark_2020__Androgen Response,0.59523405892279,1.7675893449856694,0.0036496350364963502,1.0,0.97,19/82,13.03%,SGK1;CAMKK2;NKX3-1;KRT19;HERC3;PMEPA1;CCND1;ELK4;ABHD2;NCOA4;HMGCR;ELL2;TSC22D1;ANKH;ABCC4;ZMIZ1;SLC38A2;PTPN21;SRF
prerank,GO_Biological_Process_2023__Amyloid Precursor Protein Metabolic Process (GO:0042982),0.8032093284508446,1.7664940671771125,0.003883495145631068,1.0,0.97,5/14,10.11%,APOE;TMCC2;BACE1;ADAM19;PSENEN
prerank,GO_Biological_Process_2023__Hydrogen Peroxide Catabolic Process (GO:0042744),0.877418382035337,1.7636566242771807,0.00199203187250996,0.9524341083392719,0.972,3/10,2.77%,GPX3;GPX1;HBB
prerank,GO_Biological_Process_2023__Negative Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120033),-0.7331625769636333,-1.758913582638714,0.0,0.7060377611634656,0.888,6/22,6.24%,KIF24;MPHOSPH9;CEP97;EVI5L;TESK1;TBC1D7
prerank,GO_Biological_Process_2023__Negative Regulation Of Cilium Assembly (GO:1902018),-0.8198317278649815,-1.7549887298735367,0.0039603960396039604,0.597314789605951,0.904,6/13,6.24%,KIF24;MPHOSPH9;CEP97;EVI5L;TESK1;TBC1D7
prerank,GO_Biological_Process_2023__Positive Regulation Of Cell Cycle (GO:0045787),0.6352433100049562,1.7475866452706543,0.0038314176245210726,1.0,0.981,13/53,9.15%,TGM1;NKX3-1;FGFR2;MDM2;CCDC57;CCND1;SPHK1;MARK4;CITED2;TBX3;CCPG1;FOXA1;RPS6KB1
prerank,GO_Biological_Process_2023__Fatty Acid Catabolic Process (GO:0009062),-0.6175361967431785,-1.7461260761273871,0.0020242914979757085,0.5654385344115811,0.938,6/52,5.36%,ECHDC2;FAAH;ADIPOQ;PHYH;PEX2;ACADL
prerank,MSigDB_Hallmark_2020__p53 Pathway,0.5440388106644573,1.7406270104586608,0.0,0.988709566265772,0.988,39/143,14.76%,FOS;ATF3;CDKN1A;RRAD;HBEGF;PLK2;VDR;LIF;MDM2;AEN;CSRNP2;RNF19B;SPHK1;ZMAT3;KLF4;TCN2;JUN;RAD9A;IER3;POLH;PDGFA;HMOX1;TSC22D1;ACVR1B;FOXO3;COQ8A;ZFP36L1;PTPRE;POM121;NOTCH1;TSPYL2;PCNA;WWP1;CCP110;NDRG1;CD82;KIF13B;PRMT2;PIDD1
prerank,GO_Biological_Process_2023__Endosome To Lysosome Transport (GO:0008333),-0.6308647327038768,-1.7293792304103242,0.00408997955010225,0.6240115878494364,0.972,24/45,23.94%,HOOK2;TRAK1;EPG5;CACNG4;RILP;SORT1;LYST;VPS11;DTX3L;VIPAS39;VPS16;KIF13A;MTM1;PLEKHF2;ATG14;UBXN6;VPS4B;VPS18;VPS33A;VPS39;RHOB;AP3D1;VPS41;VPS33B
prerank,GO_Biological_Process_2023__Ubiquinone Metabolic Process (GO:0006743),0.7976191326763642,1.724406429780947,0.015444015444015444,1.0,0.997,8/14,14.01%,COQ7;COQ4;COQ2;COQ5;COQ3;COQ6;COQ8A;UBIAD1
prerank,GO_Biological_Process_2023__Positive Regulation Of Calcium Ion Transmembrane Transport (GO:1904427),0.8054102570112677,1.7199322133872594,0.01160541586073501,1.0,0.997,3/13,3.05%,CEMIP;PPP3CC;F2
prerank,GO_Biological_Process_2023__Memory (GO:0007613),0.6945937633822712,1.7193025722961996,0.02208835341365462,0.9500774757385506,0.997,7/28,9.12%,SGK1;PLK2;APOE;RGS14;ATXN1L;BDNF;LDLR
prerank,GO_Biological_Process_2023__Regulation Of Lipid Metabolic Process (GO:0019216),0.7235287329650968,1.7181299189119164,0.011560693641618497,0.8909680057027616,0.997,5/25,5.21%,APOC3;SERPINA3;ABCA7;BBS4;SIRT6
prerank,GO_Biological_Process_2023__Quinone Biosynthetic Process (GO:1901663),0.823601714754266,1.7167274153193863,0.013618677042801557,0.8429209047634555,0.997,7/12,14.01%,COQ7;COQ4;COQ5;COQ3;COQ6;COQ8A;UBIAD1
prerank,GO_Biological_Process_2023__Integrated Stress Response Signaling (GO:0140467),0.7663673335527214,1.715440813965265,0.013806706114398421,0.800811912185347,0.997,6/18,6.47%,FOS;FOSL1;JUNB;NFE2L3;JUN;NFE2L2
prerank,GO_Biological_Process_2023__Ubiquinone Biosynthetic Process (GO:0006744),0.8070631757926428,1.7112036869270852,0.011695906432748537,0.7854100729641578,0.998,7/13,14.01%,COQ7;COQ4;COQ5;COQ3;COQ6;COQ8A;UBIAD1
prerank,GO_Biological_Process_2023__Carbohydrate Catabolic Process (GO:0016052),-0.6536128735294962,-1.70031055218577,0.00641025641025641,0.8002521700036954,0.992,19/29,23.73%,ALDOB;AMY2A;PGK2;MANBA;NEU1;PFKM;PKLR;PGM1;NAGA;ALDOC;DERA;MAN2C1;PFKL;PKM;CTBS;GPI;PGAM1;ENO1;GAPDH
prerank,"GO_Biological_Process_2023__DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)",0.6776688911540694,1.6994426833822138,0.018907563025210083,0.8322690180977766,0.999,16/30,19.02%,MDM4;CDKN1A;PLK2;MDM2;E2F7;TFAP4;PAXIP1;SP100;GTSE1;NDRG1;PIDD1;BCL3;FOXM1;MYO6;HIPK2;ATM
prerank,GO_Biological_Process_2023__Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571),0.7233468420124707,1.6945294192447014,0.01606425702811245,0.8264788463153494,0.999,5/22,2.57%,CDKN1A;PLK2;FBXO31;MDM2;CCND1
prerank,GO_Biological_Process_2023__Positive Regulation Of Mitotic Cell Cycle (GO:0045931),0.7262701524549493,1.6944735968914078,0.01717557251908397,0.785317574214499,0.999,9/24,13.18%,NKX3-1;MDM2;KLHL18;CCDC57;SPHK1;FOXA1;RPS6KB1;AURKA;HES1
prerank,GO_Biological_Process_2023__Atrioventricular Valve Morphogenesis (GO:0003181),0.8196102953445263,1.6892226041461715,0.017045454545454544,0.7872205575223381,0.999,8/10,13.51%,MDM4;ZFPM1;SOX4;TGFBR2;BMPR1A;NOTCH1;BMPR2;TGFB2
prerank,GO_Biological_Process_2023__Mononuclear Cell Differentiation (GO:1903131),0.8318254277076319,1.6868856243379051,0.014344262295081968,0.7674090623722686,0.999,1/10,0.04%,RELB
prerank,GO_Biological_Process_2023__Positive Regulation Of Transport (GO:0051050),0.6788327462148082,1.6867350811788286,0.00625,0.735175069851158,0.999,3/32,0.98%,SGK1;DLL1;APOE
prerank,GO_Biological_Process_2023__Regulation Of Brown Fat Cell Differentiation (GO:0090335),0.8026472464855364,1.6854381821137399,0.014141414141414142,0.7122696104825859,1.0,7/12,14.49%,METRNL;NAPEPLD;PTGS2;SIX1;SIRT1;RREB1;TFE3
prerank,GO_Biological_Process_2023__Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429),0.7504514187933374,1.6812730455845055,0.012048192771084338,0.7096325455540974,1.0,5/16,5.93%,KLF2;HBB;PTGS2;KLF4;SMAD3
prerank,GO_Biological_Process_2023__Anterograde Axonal Transport (GO:0008089),-0.6441868706783467,-1.6774524314065182,0.008032128514056224,0.946351672977891,0.999,21/33,27.25%,TRAK1;KIF5C;TRAK2;BLOC1S6;BLOC1S5;DTNBP1;KIF1C;KIF5A;KIF1B;KIF3A;HSPB1;AP3M1;KIF5B;NEFL;AP3M2;BLOC1S3;AP3D1;KIF3B;SPAST;BLOC1S1;RAB27B
prerank,GO_Biological_Process_2023__Receptor Signaling Pathway Via JAK-STAT (GO:0007259),-0.7168847707172914,-1.6766915403492006,0.008113590263691683,0.8596551532046539,0.999,11/18,18.68%,SOCS6;JAK2;IFNAR2;STAT2;PKD1;FER;IL31RA;STAT3;STAT1;STAMBP;STAT5B
prerank,GO_Biological_Process_2023__Smoothened Signaling Pathway (GO:0007224),-0.6922014491078147,-1.6745482715342617,0.017578125,0.8034044020406128,0.999,12/21,14.84%,TTBK2;HIPK1;GPC2;STK36;TTC26;DISP1;B9D1;GLI3;KIAA0586;GLI2;IFT27;ULK3
prerank,GO_Biological_Process_2023__Cellular Response To Virus (GO:0098586),-0.6607830896010756,-1.669147933235564,0.014344262295081968,0.7855002770940872,0.999,8/27,7.60%,MAPK11;JAK2;HIF1A;ZC3H12A;IRF5;IFIH1;RIOK3;IFNAR2
prerank,GO_Biological_Process_2023__Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138),0.6134388817027365,1.6675313567514845,0.01171875,0.7748941673663532,1.0,8/46,8.70%,AMH;SPRY2;LIF;AXIN1;IL11;TENM1;CAPRIN2;BDNF
prerank,GO_Biological_Process_2023__Prostaglandin Metabolic Process (GO:0006693),0.7828725525745017,1.6660877038779223,0.014314928425357873,0.7558742653145147,1.0,3/14,3.67%,AMH;PTGS2;PRXL2B
prerank,GO_Biological_Process_2023__Regulation Of Hippo Signaling (GO:0035330),0.7317266377978436,1.6620282830566309,0.023391812865497075,0.7569974644175133,1.0,7/18,15.49%,WWC3;VGLL4;WWC1;ARRDC3;FRMD6;SOX11;LIMD1
prerank,GO_Biological_Process_2023__Regulation Of ERK1 And ERK2 Cascade (GO:0070372),0.5364622530042856,1.660038794733572,0.0,0.743720743510368,1.0,23/106,6.92%,AMH;SPRY2;FGFR2;CCL2;APOE;MAP3K12;FGFR3;TNIP1;ROR1;RGS14;SEMA7A;MFAP3;CCNA2;FGA;TRAF7;TIMP3;KDR;CCN2;SPRED2;DENND2B;PRXL2C;CCL26;DDR1
prerank,GO_Biological_Process_2023__Cholesterol Efflux (GO:0033344),0.7653304511216793,1.659436995757324,0.012244897959183673,0.7225087967881972,1.0,4/14,1.97%,APOC3;APOA2;APOE;ABCA7
