Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Hedgehog Signaling	9.912013e-03	1.585922e-01	0	0	1.473621e+01	6.799301e+01	NRCAM;UNC5C
MSigDB_Hallmark_2020	Apoptosis	3.921061e-02	3.136849e-01	0	0	4.221552e+00	1.367280e+01	PLPPR4;PDCD4;TXNIP
MSigDB_Hallmark_2020	Interferon Alpha Response	7.757469e-02	4.137317e-01	0	0	4.543523e+00	1.161558e+01	PROCR;TXNIP
MSigDB_Hallmark_2020	Estrogen Response Late	1.913159e-01	7.091713e-01	0	0	2.566557e+00	4.244647e+00	PDCD4;SNX10
MSigDB_Hallmark_2020	p53 Pathway	2.283444e-01	7.091713e-01	0	0	2.271596e+00	3.354921e+00	PROCR;TXNIP
MSigDB_Hallmark_2020	Spermatogenesis	3.214066e-01	7.091713e-01	0	0	2.647849e+00	3.005437e+00	CDKN3
MSigDB_Hallmark_2020	Coagulation	3.950465e-01	7.091713e-01	0	0	2.033085e+00	1.888231e+00	MSRB2
MSigDB_Hallmark_2020	UV Response Dn	5.376589e-01	7.091713e-01	0	0	1.315860e+00	8.165321e-01	CDON
MSigDB_Hallmark_2020	Interferon Gamma Response	5.376589e-01	7.091713e-01	0	0	1.315860e+00	8.165321e-01	TXNIP
MSigDB_Hallmark_2020	Apical Junction	5.551210e-01	7.091713e-01	0	0	1.252432e+00	7.371429e-01	SDC3
MSigDB_Hallmark_2020	Hypoxia	5.854654e-01	7.091713e-01	0	0	1.150577e+00	6.159592e-01	SDC3
MSigDB_Hallmark_2020	Glycolysis	6.355074e-01	7.091713e-01	0	0	1.001952e+00	4.542164e-01	SDC3
MSigDB_Hallmark_2020	Adipogenesis	6.470584e-01	7.091713e-01	0	0	9.705297e-01	4.224897e-01	PDCD4
MSigDB_Hallmark_2020	mTORC1 Signaling	6.816536e-01	7.091713e-01	0	0	8.818412e-01	3.379513e-01	DHFR
MSigDB_Hallmark_2020	G2-M Checkpoint	7.015574e-01	7.091713e-01	0	0	8.340769e-01	2.956407e-01	CDKN3
MSigDB_Hallmark_2020	E2F Targets	7.091713e-01	7.091713e-01	0	0	8.163642e-01	2.805502e-01	CDKN3
