,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0043534,blood vessel endothelial cell migration,GO:0043534,0.0229593,57.51644,580.3058,EFNB2;SOX18;ROBO1,Blood Vessel Endothelial Cell Migration (GO:0043534)
1,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,GO:0098742,0.03373044,15.89211,135.8136,LRFN4;DSG2;FGFRL1;ROBO1,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)
2,GO:0097485,neuron projection guidance,GO:0097485,0.03373044,15.05111,125.6768,EFNB2;KIF5A;UNC5C;NRCAM,Neuron Projection Guidance (GO:0097485)
3,GO:0050818,regulation of coagulation,GO:0050818,0.03373044,137.7778,1146.093,PROCR;NRG1,Regulation Of Coagulation (GO:0050818)
4,GO:0038127,ERBB signaling pathway,GO:0038127,0.05594302,21.04894,156.7963,REPS2;PLCE1;NRG1,ERBB Signaling Pathway (GO:0038127)
5,GO:0045229,external encapsulating structure organization,GO:0045229,0.06069517,14.33124,91.85175,COL1A1;COL4A5;COL9A3,External Encapsulating Structure Organization (GO:0045229)
6,GO:0007399,nervous system development,GO:0007399,0.06069517,6.070684,43.0256,NLGN2;ENC1;NRG1;NRCAM;CDON;ROBO1,Nervous System Development (GO:0007399)
7,GO:0043062,extracellular structure organization,GO:0043062,0.06069517,15.01672,98.14272,COL1A1;COL4A5;COL9A3,Extracellular Structure Organization (GO:0043062)
8,GO:0030879,mammary gland development,GO:0030879,0.06069517,41.30417,266.5685,TGFB3;NRG1,Mammary Gland Development (GO:0030879)
9,GO:0045216,cell-cell junction organization,GO:0045216,0.06069517,17.05463,117.3357,NLGN2;TGFB3;DSG2,Cell-Cell Junction Organization (GO:0045216)
10,GO:0051155,positive regulation of striated muscle cell differentiation,GO:0051155,0.06069517,45.89815,304.4383,EFNB2;NRG1,Positive Regulation Of Striated Muscle Cell Differentiation (GO:0051155)
11,GO:1900746,regulation of vascular endothelial growth factor signaling pathway,GO:1900746,0.06069517,41.30417,266.5685,NRG1;ROBO1,Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746)
12,GO:0010717,regulation of epithelial to mesenchymal transition,GO:0010717,0.08951178,12.11661,72.16841,COL1A1;TGFB3;VASN,Regulation Of Epithelial To Mesenchymal Transition (GO:0010717)
13,GO:0042476,odontogenesis,GO:0042476,0.09429033,27.52222,158.1646,COL1A1;TGFB3,Odontogenesis (GO:0042476)
14,GO:0050919,negative chemotaxis,GO:0050919,0.09429033,25.79948,145.3081,UNC5C;ROBO1,Negative Chemotaxis (GO:0050919)
15,GO:0045666,positive regulation of neuron differentiation,GO:0045666,0.09429033,25.79948,145.3081,NRCAM;TCF4,Positive Regulation Of Neuron Differentiation (GO:0045666)
16,GO:1904262,negative regulation of TORC1 signaling,GO:1904262,0.1001003,24.27941,134.1239,SPAAR;SESN3,Negative Regulation Of TORC1 Signaling (GO:1904262)
17,GO:0120034,positive regulation of plasma membrane bounded cell projection assembly,GO:0120034,0.1001003,10.15202,55.64777,TGFB3;CDC42EP3;PLCE1,Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120034)
18,GO:0048523,negative regulation of cellular process,GO:0048523,0.101779,4.172988,22.07788,TGFB3;TXNIP;MDM4;NRG1;VGLL4;CDKN3,Negative Regulation Of Cellular Process (GO:0048523)
19,GO:0032101,regulation of response to external stimulus,GO:0032101,0.101779,9.250626,48.41401,EFNB2;SPAAR;NRG1,Regulation Of Response To External Stimulus (GO:0032101)
20,GO:0008285,negative regulation of cell population proliferation,GO:0008285,0.101779,4.923389,25.99663,TGFB3;MDM4;NRG1;VGLL4;CDKN3,Negative Regulation Of Cell Population Proliferation (GO:0008285)
21,GO:0048638,regulation of developmental growth,GO:0048638,0.101779,20.63125,107.9636,SPAAR;NRCAM,Regulation Of Developmental Growth (GO:0048638)
22,GO:0003281,ventricular septum development,GO:0003281,0.1168044,18.75189,94.91112,MDM4;ROBO1,Ventricular Septum Development (GO:0003281)
23,GO:0001954,positive regulation of cell-matrix adhesion,GO:0001954,0.1171429,17.93478,89.33717,ENC1;NRG1,Positive Regulation Of Cell-Matrix Adhesion (GO:0001954)
24,GO:0071230,cellular response to amino acid stimulus,GO:0071230,0.1171429,17.18576,84.28536,SPAAR;SESN3,Cellular Response To Amino Acid Stimulus (GO:0071230)
25,GO:0002692,negative regulation of cellular extravasation,GO:0002692,0.1176871,202.4898,932.4527,ENC1,Negative Regulation Of Cellular Extravasation (GO:0002692)
26,GO:0042749,regulation of circadian sleep/wake cycle,GO:0042749,0.1176871,202.4898,932.4527,PER3,Regulation Of Circadian Sleep/Wake Cycle (GO:0042749)
27,GO:1901678,iron coordination entity transport,GO:1901678,0.1176871,202.4898,932.4527,NRG1,Iron Coordination Entity Transport (GO:1901678)
28,GO:2000463,positive regulation of excitatory postsynaptic potential,GO:2000463,0.1176871,202.4898,932.4527,NLGN2,Positive Regulation Of Excitatory Postsynaptic Potential (GO:2000463)
29,GO:0007171,activation of transmembrane receptor protein tyrosine kinase activity,GO:0007171,0.1176871,202.4898,932.4527,NRG1,Activation Of Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0007171)
30,GO:0002040,sprouting angiogenesis,GO:0002040,0.1176871,16.49667,79.68877,EFNB2;ROBO1,Sprouting Angiogenesis (GO:0002040)
31,GO:0031214,biomineral tissue development,GO:0031214,0.1250952,101.2347,425.3809,COL1A1,Biomineral Tissue Development (GO:0031214)
32,GO:0045161,neuronal ion channel clustering,GO:0045161,0.1250952,101.2347,425.3809,NRCAM,Neuronal Ion Channel Clustering (GO:0045161)
33,GO:0002839,positive regulation of immune response to tumor cell,GO:0002839,0.1250952,67.48299,264.3107,NRG1,Positive Regulation Of Immune Response To Tumor Cell (GO:0002839)
34,GO:0050865,regulation of cell activation,GO:0050865,0.1250952,101.2347,425.3809,NRG1,Regulation Of Cell Activation (GO:0050865)
35,GO:0043588,skin development,GO:0043588,0.1250952,10.29479,40.98345,COL1A1;TXNIP,Skin Development (GO:0043588)
36,GO:0060312,regulation of blood vessel remodeling,GO:0060312,0.1250952,67.48299,264.3107,NRG1,Regulation Of Blood Vessel Remodeling (GO:0060312)
37,GO:0051838,cytolysis by host of symbiont cells,GO:0051838,0.1250952,101.2347,425.3809,NRG1,Cytolysis By Host Of Symbiont Cells (GO:0051838)
