Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Hedgehog Signaling	6.336586e-03	8.237562e-02	0	0	1.875189e+01	9.491112e+01	NRCAM;UNC5C
MSigDB_Hallmark_2020	Interferon Alpha Response	5.166918e-02	3.358497e-01	0	0	5.781690e+00	1.713053e+01	PROCR;TXNIP
MSigDB_Hallmark_2020	UV Response Dn	1.229496e-01	4.178767e-01	0	0	3.432773e+00	7.195025e+00	COL1A1;CDON
MSigDB_Hallmark_2020	Hypoxia	1.519460e-01	4.178767e-01	0	0	2.998468e+00	5.649805e+00	TGFB3;KIF5A
MSigDB_Hallmark_2020	p53 Pathway	1.607218e-01	4.178767e-01	0	0	2.890662e+00	5.284362e+00	PROCR;TXNIP
MSigDB_Hallmark_2020	Spermatogenesis	2.647338e-01	5.735899e-01	0	0	3.354762e+00	4.458581e+00	CDKN3
MSigDB_Hallmark_2020	Myogenesis	4.176493e-01	6.161606e-01	0	0	1.890065e+00	1.650241e+00	COL1A1
MSigDB_Hallmark_2020	Apoptosis	4.521129e-01	6.161606e-01	0	0	1.695780e+00	1.346150e+00	TXNIP
MSigDB_Hallmark_2020	Interferon Gamma Response	4.576591e-01	6.161606e-01	0	0	1.667177e+00	1.303117e+00	TXNIP
MSigDB_Hallmark_2020	Apical Junction	4.739697e-01	6.161606e-01	0	0	1.586816e+00	1.184736e+00	NLGN2
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	5.225122e-01	6.175144e-01	0	0	1.376214e+00	8.933101e-01	COL1A1
MSigDB_Hallmark_2020	G2-M Checkpoint	6.167358e-01	6.245116e-01	0	0	1.056774e+00	5.107541e-01	CDKN3
MSigDB_Hallmark_2020	E2F Targets	6.245116e-01	6.245116e-01	0	0	1.034332e+00	4.869485e-01	CDKN3
