,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:1902018,negative regulation of cilium assembly,GO:1902018,0.02806078,120.5455,1020.264,KIF24;CEP97,Negative Regulation Of Cilium Assembly (GO:1902018)
1,GO:0014842,regulation of skeletal muscle satellite cell proliferation,GO:0014842,0.08537202,622.1875,3535.328,ANGPT1,Regulation Of Skeletal Muscle Satellite Cell Proliferation (GO:0014842)
2,GO:0007171,activation of transmembrane receptor protein tyrosine kinase activity,GO:0007171,0.08537202,622.1875,3535.328,ANGPT1,Activation Of Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0007171)
3,GO:1902017,regulation of cilium assembly,GO:1902017,0.08537202,24.91321,138.5007,KIF24;CEP97,Regulation Of Cilium Assembly (GO:1902017)
4,GO:0050905,neuromuscular process,GO:0050905,0.0901763,103.6458,459.4968,MYCBP2,Neuromuscular Process (GO:0050905)
5,GO:0007033,vacuole organization,GO:0007033,0.0901763,124.3875,570.5263,NDP,Vacuole Organization (GO:0007033)
6,GO:0030388,"fructose 1,6-bisphosphate metabolic process",GO:0030388,0.0901763,103.6458,459.4968,ALDOB,"Fructose 1,6-Bisphosphate Metabolic Process (GO:0030388)"
7,GO:0002718,regulation of cytokine production involved in immune response,GO:0002718,0.0901763,88.83036,382.0243,TRIL,Regulation Of Cytokine Production Involved In Immune Response (GO:0002718)
8,GO:0006000,fructose metabolic process,GO:0006000,0.0901763,155.5,741.456,ALDOB,Fructose Metabolic Process (GO:0006000)
9,GO:0044314,protein K27-linked ubiquitination,GO:0044314,0.0901763,155.5,741.456,TRIM62,Protein K27-linked Ubiquitination (GO:0044314)
10,GO:0021952,central nervous system projection neuron axonogenesis,GO:0021952,0.0901763,88.83036,382.0243,MYCBP2,Central Nervous System Projection Neuron Axonogenesis (GO:0021952)
11,GO:1904752,regulation of vascular associated smooth muscle cell migration,GO:1904752,0.0901763,103.6458,459.4968,DOCK4,Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904752)
12,GO:0031396,regulation of protein ubiquitination,GO:0031396,0.0901763,14.6163,66.65,ANGPT1;MYCBP2,Regulation Of Protein Ubiquitination (GO:0031396)
13,GO:0042472,inner ear morphogenesis,GO:0042472,0.0937833,77.71875,325.146,TTC39C,Inner Ear Morphogenesis (GO:0042472)
14,GO:0007019,microtubule depolymerization,GO:0007019,0.0937833,69.07639,281.767,KIF24,Microtubule Depolymerization (GO:0007019)
15,GO:0032897,negative regulation of viral transcription,GO:0032897,0.0937833,69.07639,281.767,TRIM62,Negative Regulation Of Viral Transcription (GO:0032897)
16,GO:2000272,negative regulation of signaling receptor activity,GO:2000272,0.09512453,44.38393,163.2264,SOCS6,Negative Regulation Of Signaling Receptor Activity (GO:2000272)
