Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Fatty Acid Transport (GO:0015908)	9.256747e-04	9.228758e-02	0	0	5.311230e+01	3.709888e+02	FABP4;FABP7
GO_Biological_Process_2023	Nervous System Development (GO:0007399)	1.848909e-03	9.228758e-02	0	0	8.844545e+00	5.566014e+01	PTPRZ1;FABP7;PCDH1;ADGRL3
GO_Biological_Process_2023	Monocarboxylic Acid Transport (GO:0015718)	2.970737e-03	9.228758e-02	0	0	2.817330e+01	1.639389e+02	FABP4;FABP7
GO_Biological_Process_2023	Regulation Of Vitamin D Biosynthetic Process (GO:0060556)	4.807379e-03	9.228758e-02	0	0	4.325217e+02	2.308629e+03	SNAI2
GO_Biological_Process_2023	Regulation Of Circadian Sleep/Wake Cycle (GO:0042749)	4.807379e-03	9.228758e-02	0	0	4.325217e+02	2.308629e+03	PER3
GO_Biological_Process_2023	Regulation Of Circadian Sleep/Wake Cycle, Sleep (GO:0045187)	7.202769e-03	9.228758e-02	0	0	2.162391e+02	1.066770e+03	PER3
GO_Biological_Process_2023	Negative Regulation Of Vitamin Metabolic Process (GO:0046137)	7.202769e-03	9.228758e-02	0	0	2.162391e+02	1.066770e+03	SNAI2
GO_Biological_Process_2023	Synapse Organization (GO:0050808)	8.734736e-03	9.228758e-02	0	0	1.577671e+01	7.478869e+01	PDZRN3;ADGRL3
GO_Biological_Process_2023	Lipid Transport (GO:0006869)	8.734736e-03	9.228758e-02	0	0	1.577671e+01	7.478869e+01	FABP4;FABP7
GO_Biological_Process_2023	Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation (GO:0003198)	9.592636e-03	9.228758e-02	0	0	1.441449e+02	6.698068e+02	SNAI2
GO_Biological_Process_2023	Negative Regulation Of Steroid Biosynthetic Process (GO:0010894)	9.592636e-03	9.228758e-02	0	0	1.441449e+02	6.698068e+02	SNAI2
GO_Biological_Process_2023	Cell Migration Involved In Heart Development (GO:0060973)	9.592636e-03	9.228758e-02	0	0	1.441449e+02	6.698068e+02	SNAI2
GO_Biological_Process_2023	Regulation Of Myosin-Light-Chain-Phosphatase Activity (GO:0035507)	9.592636e-03	9.228758e-02	0	0	1.441449e+02	6.698068e+02	NUAK1
GO_Biological_Process_2023	Aromatic Compound Catabolic Process (GO:0019439)	9.592636e-03	9.228758e-02	0	0	1.441449e+02	6.698068e+02	TET2
GO_Biological_Process_2023	Positive Regulation Of Oligodendrocyte Differentiation (GO:0048714)	9.592636e-03	9.228758e-02	0	0	1.441449e+02	6.698068e+02	PTPRZ1
GO_Biological_Process_2023	Regulation Of Vitamin D Receptor Signaling Pathway (GO:0070562)	1.197699e-02	9.228758e-02	0	0	1.080978e+02	4.783078e+02	SNAI2
