Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	1.037197e-17	3.837628e-16	0	0	2.814943e+01	1.100852e+03	KDM6B;EGR1;SPHK1;LIF;TNFAIP3;KLF2;RCAN1;CCND1;BCL6;NFIL3;MYC;MAFF;FOSB;SGK1;ATF3;IER2;NFE2L2
MSigDB_Hallmark_2020	Inflammatory Response	1.764336e-06	3.264021e-05	0	0	1.424793e+01	1.887528e+02	MYC;SPHK1;LIF;ADM;CD55;SLC7A2;KCNJ2
MSigDB_Hallmark_2020	Estrogen Response Early	4.391846e-04	5.358588e-03	0	0	6.798609e+00	5.255726e+01	UGCG;CCND1;MYC;PMAIP1;DHRS3;SLC7A2
MSigDB_Hallmark_2020	Hypoxia	5.793068e-04	5.358588e-03	0	0	6.433465e+00	4.795298e+01	KLF7;NFIL3;MAFF;TNFAIP3;ADM;ATF3
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	1.569735e-03	1.161604e-02	0	0	6.474868e+00	4.180724e+01	NFIL3;MYC;MAFF;LIF;DHRS3
MSigDB_Hallmark_2020	Coagulation	2.895579e-03	1.785607e-02	0	0	7.378779e+00	4.312579e+01	KLF7;F10;MAFF;APOC3
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	4.764532e-03	2.405036e-02	0	0	4.942756e+00	2.642672e+01	SFRP4;POSTN;TNFAIP3;THBS2;FSTL3
MSigDB_Hallmark_2020	KRAS Signaling Up	5.200077e-03	2.405036e-02	0	0	6.209210e+00	3.265475e+01	TMEM158;LIF;SPRY2;TNFAIP3
MSigDB_Hallmark_2020	Cholesterol Homeostasis	1.124644e-02	4.522334e-02	0	0	6.948446e+00	3.118257e+01	NFIL3;ANTXR2;ATF3
MSigDB_Hallmark_2020	Apoptosis	1.222253e-02	4.522334e-02	0	0	4.792652e+00	2.110911e+01	CCND1;GPX3;PMAIP1;ATF3
MSigDB_Hallmark_2020	Complement	1.404146e-02	4.723038e-02	0	0	4.590610e+00	1.958235e+01	F10;MAFF;TNFAIP3;CD55
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	1.734656e-02	5.348521e-02	0	0	1.081973e+01	4.386708e+01	WNT5B;MYC
MSigDB_Hallmark_2020	Androgen Response	2.367772e-02	6.739044e-02	0	0	5.178797e+00	1.938538e+01	CCND1;DNAJB9;SGK1
MSigDB_Hallmark_2020	Myogenesis	4.650810e-02	1.229143e-01	0	0	3.923878e+00	1.203896e+01	GPX3;FST;SPHK1
MSigDB_Hallmark_2020	UV Response Up	6.024743e-02	1.486103e-01	0	0	3.513649e+00	9.870879e+00	GPX3;FOSB;ATF3
MSigDB_Hallmark_2020	p53 Pathway	9.265639e-02	2.142679e-01	0	0	2.904167e+00	6.908598e+00	SPHK1;LIF;ATF3
MSigDB_Hallmark_2020	Allograft Rejection	1.164476e-01	2.534448e-01	0	0	3.540735e+00	7.613693e+00	IL11;LIF
MSigDB_Hallmark_2020	Adipogenesis	1.240782e-01	2.550497e-01	0	0	2.535938e+00	5.292103e+00	BCL6;GPX3;DNAJB9
MSigDB_Hallmark_2020	G2-M Checkpoint	1.697611e-01	3.033449e-01	0	0	2.175627e+00	3.858177e+00	DBF4;CCND1;MYC
MSigDB_Hallmark_2020	Notch Signaling	1.721687e-01	3.033449e-01	0	0	5.559685e+00	9.781043e+00	CCND1
MSigDB_Hallmark_2020	Angiogenesis	1.721687e-01	3.033449e-01	0	0	5.559685e+00	9.781043e+00	POSTN
