Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	4.798202e-06	4.716632e-03	0	0	3.307575e+00	4.050876e+01	CEBPB;BHLHE41;ETS2;RELB;NFIL3;MYC;JUNB;IER2;KDM6B;EGR1;IL11;FST;NOG;LIF;NFATC2;FOS;DKK1;KLF5;BCL6;IRF1;MAFF;FOSB;MAFK;ATF3;NFE2L2
GO_Biological_Process_2023	Integrated Stress Response Signaling (GO:0140467)	1.309777e-05	5.725789e-03	0	0	3.526786e+01	3.965189e+02	CEBPB;FOS;JUNB;NFE2L2
GO_Biological_Process_2023	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	1.978813e-05	5.725789e-03	0	0	3.927181e+00	4.253305e+01	KDM6B;EGR1;IL11;CEBPB;LIF;FOS;ETS2;RELB;KLF5;MYC;IRF1;MAFF;JUNB;ATF3;IER2;NFE2L2
GO_Biological_Process_2023	Positive Regulation Of DNA-templated Transcription (GO:0045893)	2.554018e-05	5.725789e-03	0	0	3.427938e+00	3.625133e+01	KDM6B;EGR1;IL11;CEBPB;LIF;NFATC2;FOS;GDF6;ETS2;RELB;KLF5;NFIL3;MYC;IRF1;MAFF;JUNB;ATF3;IER2;NFE2L2
GO_Biological_Process_2023	Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	3.063607e-05	5.725789e-03	0	0	6.400220e+00	6.651961e+01	FGF5;EGR1;SFRP4;MYC;PIP;NOG;DKK1;SLC38A2;NFE2L2
GO_Biological_Process_2023	Inflammatory Response (GO:0006954)	3.494886e-05	5.725789e-03	0	0	1.110973e+01	1.140039e+02	CEBPB;IRAK2;CCL2;FOS;S100A9;RELB
GO_Biological_Process_2023	Regulation Of Gene Expression (GO:0010468)	4.303972e-05	5.975506e-03	0	0	3.519425e+00	3.538215e+01	KDM6B;EGR1;CEBPB;FBXW7;NOG;NFATC2;DKK1;PTHLH;FGF5;SFRP4;BCL6;NFIL3;STC2;MYC;PIP;SLC38A2;NFE2L2
GO_Biological_Process_2023	Regulation Of Endothelial Cell Apoptotic Process (GO:2000351)	5.176733e-05	5.975506e-03	0	0	2.349524e+01	2.318687e+02	IL11;TNFAIP3;CCL2;NFE2L2
GO_Biological_Process_2023	Regulation Of Cell Population Proliferation (GO:0042127)	5.542492e-05	5.975506e-03	0	0	4.169454e+00	4.086266e+01	IL11;CDKN1A;LIF;PTHLH;FGF5;SFRP4;AZGP1;BCL6;MYC;IRF1;EMILIN2;JUNB;HBEGF
GO_Biological_Process_2023	Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060393)	6.078846e-05	5.975506e-03	0	0	2.242500e+01	2.177044e+02	GDF15;NOG;GDF6;DKK1
GO_Biological_Process_2023	Positive Regulation Of MAPK Cascade (GO:0043410)	1.070569e-04	9.369133e-03	0	0	7.218034e+00	6.598835e+01	IL11;FBXW7;GDF15;DIRAS1;LIF;CCL2;CCN2
GO_Biological_Process_2023	Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	1.202160e-04	9.369133e-03	0	0	3.840595e+00	3.466605e+01	CEBPB;FST;NOG;BHLHE41;DKK1;ETS2;BCL6;NFIL3;MYC;MAFF;FOSB;MAFK;ATF3
GO_Biological_Process_2023	Positive Regulation Of miRNA Transcription (GO:1902895)	1.239051e-04	9.369133e-03	0	0	1.826296e+01	1.642935e+02	EGR1;KLF5;MYC;FOS
GO_Biological_Process_2023	Positive Regulation Of Morphogenesis Of An Epithelium (GO:1905332)	1.962278e-04	1.142218e-02	0	0	3.325926e+01	2.839088e+02	WNT5B;NOG;LIF
GO_Biological_Process_2023	Positive Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0045741)	2.091549e-04	1.142218e-02	0	0	2.411707e+02	2.043303e+03	FBXW7;HBEGF
GO_Biological_Process_2023	Macrophage Chemotaxis (GO:0048246)	2.091549e-04	1.142218e-02	0	0	2.411707e+02	2.043303e+03	KLF5;CCL2
GO_Biological_Process_2023	Macrophage Migration (GO:1905517)	2.091549e-04	1.142218e-02	0	0	2.411707e+02	2.043303e+03	KLF5;CCL2
