Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	1.101288e-30	4.405151e-29	0	0	4.721839e+01	3.257175e+03	CEBPB;CDKN1A;TNFAIP3;ETS2;RELB;NFIL3;MYC;CCL2;CCN1;JUNB;IER2;IER3;KDM6B;ABCA1;EGR1;LIF;FOS;RCAN1;BCL6;IRF1;MAFF;FOSB;PTX3;ATF3;NFE2L2;HBEGF
MSigDB_Hallmark_2020	Inflammatory Response	1.566553e-08	2.496639e-07	0	0	1.707826e+01	3.069271e+02	ABCA1;CDKN1A;IRAK2;MYC;IRF1;LIF;CCL2;KCNJ2;HBEGF
MSigDB_Hallmark_2020	Hypoxia	1.872479e-08	2.496639e-07	0	0	1.158257e+01	2.060935e+02	CDKN1A;NFIL3;STC2;MAFF;TNFAIP3;FOS;CCN2;CCN1;ENO3;ATF3;IER3
MSigDB_Hallmark_2020	Myogenesis	2.993676e-06	2.993676e-05	0	0	1.040936e+01	1.323967e+02	CDKN1A;KLF5;GPX3;STC2;FST;NAV2;ENO3;HBEGF
MSigDB_Hallmark_2020	p53 Pathway	2.554742e-05	1.978532e-04	0	0	7.605458e+00	8.042752e+01	CDKN1A;RRAD;FBXW7;LIF;FOS;ATF3;IER3;HBEGF
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	2.967798e-05	1.978532e-04	0	0	7.437834e+00	7.754020e+01	SFRP4;TNFAIP3;TIMP3;PTX3;CCN2;CCN1;DKK1;PTHLH
MSigDB_Hallmark_2020	Apoptosis	6.115236e-05	3.057618e-04	0	0	7.935877e+00	7.699500e+01	CDKN1A;GPX3;IRF1;TIMP3;PMAIP1;ATF3;IER3
MSigDB_Hallmark_2020	UV Response Up	6.115236e-05	3.057618e-04	0	0	7.935877e+00	7.699500e+01	GPX3;RRAD;IRF1;FOSB;FOS;JUNB;ATF3
MSigDB_Hallmark_2020	Estrogen Response Early	1.123386e-04	4.992828e-04	0	0	7.159091e+00	6.510472e+01	STC2;MYC;ABCA3;PMAIP1;FOS;NAV2;DHRS3
MSigDB_Hallmark_2020	KRAS Signaling Up	1.266199e-04	5.064797e-04	0	0	8.666667e+00	7.777745e+01	TMEM158;LIF;F13A1;TNFAIP3;TFPI;HBEGF
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	3.671517e-04	1.335097e-03	0	0	7.032351e+00	5.562404e+01	NFIL3;MYC;MAFF;LIF;ENO3;DHRS3
MSigDB_Hallmark_2020	Complement	6.029367e-04	2.009789e-03	0	0	6.369622e+00	4.722246e+01	CEBPB;F10;IRF1;MAFF;TNFAIP3;S100A9
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	1.457072e-03	4.483300e-03	0	0	1.522377e+01	9.943137e+01	WNT5B;MYC;DKK1
MSigDB_Hallmark_2020	Allograft Rejection	4.162607e-03	1.161837e-02	0	0	6.631757e+00	3.635273e+01	IL11;LIF;CCL2;IL27RA
MSigDB_Hallmark_2020	Coagulation	4.356889e-03	1.161837e-02	0	0	6.542667e+00	3.556592e+01	F10;MAFF;APOC3;TIMP3
MSigDB_Hallmark_2020	Unfolded Protein Response	1.176007e-02	2.940018e-02	0	0	4.845545e+00	2.152897e+01	CEBPB;STC2;CCL2;ATF3
MSigDB_Hallmark_2020	Interferon Gamma Response	1.889850e-02	4.199666e-02	0	0	4.176068e+00	1.657345e+01	CDKN1A;IRF1;CCL2;TNFAIP3
MSigDB_Hallmark_2020	UV Response Dn	1.889850e-02	4.199666e-02	0	0	4.176068e+00	1.657345e+01	MYC;CCN1;TFPI;RND3
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	4.651093e-02	9.791775e-02	0	0	6.160100e+00	1.889961e+01	GPX3;JUNB
MSigDB_Hallmark_2020	TGF-beta Signaling	5.496317e-02	1.099263e-01	0	0	5.584799e+00	1.620201e+01	NOG;JUNB
MSigDB_Hallmark_2020	Estrogen Response Late	9.159616e-02	1.743822e-01	0	0	2.916667e+00	6.971901e+00	ABCA3;FOS;S100A9
MSigDB_Hallmark_2020	Cholesterol Homeostasis	9.591021e-02	1.743822e-01	0	0	3.995528e+00	9.366889e+00	NFIL3;ATF3
MSigDB_Hallmark_2020	Bile Acid Metabolism	1.065195e-01	1.852513e-01	0	0	3.744284e+00	8.385050e+00	ABCA1;ABCA3
MSigDB_Hallmark_2020	Androgen Response	1.516506e-01	2.432193e-01	0	0	2.990549e+00	5.640702e+00	AZGP1;SLC38A2
MSigDB_Hallmark_2020	Pperoxisome	1.545875e-01	2.432193e-01	0	0	2.953327e+00	5.513848e+00	ABCB4;DHRS3
MSigDB_Hallmark_2020	Adipogenesis	1.580925e-01	2.432193e-01	0	0	2.252083e+00	4.154136e+00	ABCA1;BCL6;GPX3
MSigDB_Hallmark_2020	Hedgehog Signaling	1.839151e-01	2.724668e-01	0	0	5.168151e+00	8.751132e+00	ETS2
MSigDB_Hallmark_2020	Apical Surface	2.177961e-01	3.111373e-01	0	0	4.243115e+00	6.467339e+00	ATP8B1
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	2.753158e-01	3.797459e-01	0	0	3.208076e+00	4.137893e+00	IRF1
MSigDB_Hallmark_2020	Xenobiotic Metabolism	2.869780e-01	3.826374e-01	0	0	1.920732e+00	2.397745e+00	F10;ETS2
MSigDB_Hallmark_2020	Myc Targets V2	3.781067e-01	4.818058e-01	0	0	2.154217e+00	2.095146e+00	MYC
MSigDB_Hallmark_2020	Glycolysis	3.854447e-01	4.818058e-01	0	0	1.521732e+00	1.450755e+00	STC2;IER3
MSigDB_Hallmark_2020	mTORC1 Signaling	4.469700e-01	5.417818e-01	0	0	1.338294e+00	1.077680e+00	CDKN1A;NFIL3
MSigDB_Hallmark_2020	Interferon Alpha Response	4.619007e-01	5.434126e-01	0	0	1.642738e+00	1.268859e+00	IRF1
MSigDB_Hallmark_2020	E2F Targets	4.860791e-01	5.555189e-01	0	0	1.238411e+00	8.933702e-01	CDKN1A;MYC
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	5.016400e-01	5.573778e-01	0	0	1.458873e+00	1.006436e+00	CDKN1A
MSigDB_Hallmark_2020	Protein Secretion	5.384769e-01	5.821372e-01	0	0	1.311780e+00	8.120061e-01	ABCA1
MSigDB_Hallmark_2020	Fatty Acid Metabolism	6.304457e-01	6.636270e-01	0	0	1.015060e+00	4.682760e-01	ENO3
MSigDB_Hallmark_2020	G2-M Checkpoint	8.009025e-01	8.141778e-01	0	0	6.216996e-01	1.380273e-01	MYC
MSigDB_Hallmark_2020	Myc Targets V1	8.141778e-01	8.141778e-01	0	0	5.958323e-01	1.224891e-01	MYC
