Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	2.959619e-11	8.878857e-10	0	0	4.023000e+01	9.753110e+02	EGR1;MYC;LIF;CCL2;TNFAIP3;ATF3;KLF2;RELB;HBEGF
MSigDB_Hallmark_2020	Inflammatory Response	2.635586e-06	3.953380e-05	0	0	2.817066e+01	3.618917e+02	MYC;LIF;CCL2;KCNJ2;HBEGF
MSigDB_Hallmark_2020	p53 Pathway	7.284390e-04	7.284390e-03	0	0	1.128633e+01	8.153930e+01	LIF;AEN;ATF3;HBEGF
MSigDB_Hallmark_2020	KRAS Signaling Up	2.406492e-03	1.804869e-02	0	0	1.263333e+01	7.617376e+01	LIF;TNFAIP3;HBEGF
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	4.176203e-03	2.505722e-02	0	0	1.031538e+01	5.651132e+01	MYC;LIF;DHRS3
MSigDB_Hallmark_2020	Estrogen Response Early	6.306158e-03	3.153079e-02	0	0	8.848558e+00	4.482882e+01	MYC;RBBP8;DHRS3
MSigDB_Hallmark_2020	Allograft Rejection	2.138985e-02	9.167078e-02	0	0	9.617934e+00	3.697941e+01	LIF;CCL2
MSigDB_Hallmark_2020	Unfolded Protein Response	3.706432e-02	1.119310e-01	0	0	7.077310e+00	2.332045e+01	CCL2;ATF3
MSigDB_Hallmark_2020	Myogenesis	3.836007e-02	1.119310e-01	0	0	6.941093e+00	2.263309e+01	GPX3;HBEGF
MSigDB_Hallmark_2020	Apoptosis	4.649093e-02	1.119310e-01	0	0	6.221589e+00	1.909093e+01	GPX3;ATF3
MSigDB_Hallmark_2020	UV Response Up	4.649093e-02	1.119310e-01	0	0	6.221589e+00	1.909093e+01	GPX3;ATF3
MSigDB_Hallmark_2020	Interferon Gamma Response	4.790336e-02	1.119310e-01	0	0	6.115780e+00	1.858322e+01	CCL2;TNFAIP3
MSigDB_Hallmark_2020	Estrogen Response Late	5.223446e-02	1.119310e-01	0	0	5.818667e+00	1.717678e+01	RBBP8;SERPINA5
MSigDB_Hallmark_2020	Apical Junction	5.223446e-02	1.119310e-01	0	0	5.818667e+00	1.717678e+01	AMH;SKAP2
MSigDB_Hallmark_2020	Hypoxia	6.052451e-02	1.210490e-01	0	0	5.342048e+00	1.498288e+01	TNFAIP3;ATF3
MSigDB_Hallmark_2020	Angiogenesis	7.029668e-02	1.318063e-01	0	0	1.476190e+01	3.919331e+01	SERPINA5
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	7.570950e-02	1.336050e-01	0	0	1.362363e+01	3.516056e+01	MYC
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	1.127563e-01	1.879272e-01	0	0	8.842857e+00	1.929977e+01	GPX3
MSigDB_Hallmark_2020	Myc Targets V2	1.508577e-01	2.381963e-01	0	0	6.421429e+00	1.214561e+01	MYC
MSigDB_Hallmark_2020	Cholesterol Homeostasis	1.656516e-01	2.484774e-01	0	0	5.786300e+00	1.040301e+01	ATF3
MSigDB_Hallmark_2020	Coagulation	2.062288e-01	2.938579e-01	0	0	4.517399e+00	7.131929e+00	APOC3
MSigDB_Hallmark_2020	Pperoxisome	2.154958e-01	2.938579e-01	0	0	4.295296e+00	6.592481e+00	DHRS3
MSigDB_Hallmark_2020	UV Response Dn	2.984774e-01	3.808184e-01	0	0	2.923810e+00	3.535065e+00	MYC
MSigDB_Hallmark_2020	Complement	3.046547e-01	3.808184e-01	0	0	2.851626e+00	3.389375e+00	TNFAIP3
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	3.483774e-01	4.180528e-01	0	0	2.413547e+00	2.545010e+00	TNFAIP3
MSigDB_Hallmark_2020	Adipogenesis	3.803328e-01	4.388455e-01	0	0	2.156526e+00	2.084732e+00	GPX3
MSigDB_Hallmark_2020	mTORC1 Signaling	4.090227e-01	4.397661e-01	0	0	1.959470e+00	1.751736e+00	SKAP2
MSigDB_Hallmark_2020	G2-M Checkpoint	4.262980e-01	4.397661e-01	0	0	1.853343e+00	1.580192e+00	MYC
MSigDB_Hallmark_2020	E2F Targets	4.330707e-01	4.397661e-01	0	0	1.813988e+00	1.518044e+00	MYC
MSigDB_Hallmark_2020	Myc Targets V1	4.397661e-01	4.397661e-01	0	0	1.776239e+00	1.459202e+00	MYC
