Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Xenobiotic Transport (GO:0042908)	3.823601e-05	1.748561e-02	0	0	6.188750e+01	6.295031e+02	ABCB1;ABCC2;SLC47A1
GO_Biological_Process_2023	Canonical Wnt Signaling Pathway (GO:0060070)	4.553544e-05	1.748561e-02	0	0	2.392736e+01	2.392023e+02	CDH3;WNT5B;WNT5A;LRP5
GO_Biological_Process_2023	Cell Surface Receptor Signaling Pathway Involved In Cell-Cell Signaling (GO:1905114)	2.536685e-04	6.493914e-02	0	0	2.909706e+01	2.409086e+02	WNT5A;LRP5;NDP
GO_Biological_Process_2023	Regulation Of ERK1 And ERK2 Cascade (GO:0070372)	5.549578e-04	8.758316e-02	0	0	8.289385e+00	6.214235e+01	PDGFRB;TGFBR3;GPNMB;ICAM1;CCL26
GO_Biological_Process_2023	Positive Regulation Of Epithelial Cell Proliferation (GO:0050679)	7.773315e-04	8.758316e-02	0	0	1.076873e+01	7.710024e+01	CDH3;WNT5A;THBS4;CCL26
GO_Biological_Process_2023	Positive Regulation Of Nuclear Division (GO:0051785)	8.081018e-04	8.758316e-02	0	0	6.495082e+01	4.625033e+02	PDGFRB;LRP5
GO_Biological_Process_2023	Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)	8.228020e-04	8.758316e-02	0	0	1.059672e+01	7.526631e+01	PDGFRB;GPNMB;ICAM1;CCL26
GO_Biological_Process_2023	Basement Membrane Organization (GO:0071711)	1.073086e-03	8.758316e-02	0	0	5.412022e+01	3.700317e+02	HMCN1;CTSS
GO_Biological_Process_2023	Secondary Palate Development (GO:0062009)	1.073086e-03	8.758316e-02	0	0	5.412022e+01	3.700317e+02	TGFBR3;WNT5A
GO_Biological_Process_2023	Inflammatory Response (GO:0006954)	1.195143e-03	8.758316e-02	0	0	9.530266e+00	6.413382e+01	CEBPB;VNN1;WNT5A;CCL26
GO_Biological_Process_2023	Positive Regulation Of MAPK Cascade (GO:0043410)	1.337307e-03	8.758316e-02	0	0	6.748276e+00	4.465400e+01	PDGFRB;GPNMB;GDF15;ICAM1;CCL26
GO_Biological_Process_2023	Regulation Of Tissue Remodeling (GO:0034103)	1.374072e-03	8.758316e-02	0	0	4.638407e+01	3.056700e+02	GPNMB;THBS4
GO_Biological_Process_2023	Positive Regulation Of Cell Motility (GO:2000147)	1.633645e-03	8.758316e-02	0	0	6.435246e+00	4.129460e+01	PDGFRB;GPNMB;WNT5B;FERMT3;CCL26
GO_Biological_Process_2023	Acute Inflammatory Response (GO:0002526)	1.710609e-03	8.758316e-02	0	0	4.058197e+01	2.585439e+02	CEBPB;VNN1
GO_Biological_Process_2023	Regulation Of Mesenchymal Cell Proliferation (GO:0010464)	1.710609e-03	8.758316e-02	0	0	4.058197e+01	2.585439e+02	WNT5A;LRP5
GO_Biological_Process_2023	Regulation Of Fat Cell Differentiation (GO:0045598)	2.158350e-03	1.036008e-01	0	0	1.298947e+01	7.973473e+01	CEBPB;WNT5A;LRP5
GO_Biological_Process_2023	Wnt Signaling Pathway (GO:0016055)	2.476401e-03	1.061782e-01	0	0	1.233750e+01	7.403671e+01	WNT5B;WNT5A;LRP5
GO_Biological_Process_2023	Negative Regulation Of Lymphocyte Proliferation (GO:0050672)	2.488551e-03	1.061782e-01	0	0	3.245902e+01	1.946260e+02	CEBPB;GPNMB
GO_Biological_Process_2023	Positive Regulation Of Endothelial Cell Proliferation (GO:0001938)	2.822025e-03	1.071205e-01	0	0	1.174762e+01	6.896206e+01	WNT5A;THBS4;CCL26
GO_Biological_Process_2023	Negative Regulation Of T Cell Activation (GO:0050868)	2.929075e-03	1.071205e-01	0	0	2.950522e+01	1.721059e+02	CEBPB;GPNMB
GO_Biological_Process_2023	Negative Regulation Of T Cell Proliferation (GO:0042130)	2.929075e-03	1.071205e-01	0	0	2.950522e+01	1.721059e+02	CEBPB;GPNMB
GO_Biological_Process_2023	Positive Regulation Of Locomotion (GO:0040017)	3.911056e-03	1.139083e-01	0	0	2.496091e+01	1.383820e+02	PDGFRB;CCL26
GO_Biological_Process_2023	Regulation Of Endothelial Cell Proliferation (GO:0001936)	4.031790e-03	1.139083e-01	0	0	1.027292e+01	5.664019e+01	WNT5A;THBS4;CCL26
GO_Biological_Process_2023	Regulation Of Macrophage Activation (GO:0043030)	4.451656e-03	1.139083e-01	0	0	2.317564e+01	1.254840e+02	WNT5A;IL31RA
GO_Biological_Process_2023	Leukocyte Cell-Cell Adhesion (GO:0007159)	4.451656e-03	1.139083e-01	0	0	2.317564e+01	1.254840e+02	ICAM1;FERMT3
GO_Biological_Process_2023	Cellular Response To Salt (GO:1902075)	4.738144e-03	1.139083e-01	0	0	9.665686e+00	5.173182e+01	SYT1;WNT5A;TGM2
GO_Biological_Process_2023	Positive Regulation Of Cell Migration (GO:0030335)	4.857688e-03	1.139083e-01	0	0	4.939148e+00	2.631179e+01	PDGFRB;GPNMB;WNT5B;FERMT3;CCL26
GO_Biological_Process_2023	Regulation Of Angiogenesis (GO:0045765)	4.903174e-03	1.139083e-01	0	0	6.330912e+00	3.366698e+01	GPNMB;WNT5A;THBS2;THBS4
GO_Biological_Process_2023	Regulation Of Chemokine Production (GO:0032642)	5.024763e-03	1.139083e-01	0	0	2.162842e+01	1.144874e+02	C5;WNT5A
GO_Biological_Process_2023	Regulation Of Chemotaxis (GO:0050920)	5.024763e-03	1.139083e-01	0	0	2.162842e+01	1.144874e+02	PDGFRB;CCL26
GO_Biological_Process_2023	Negative Regulation Of Lipid Biosynthetic Process (GO:0051055)	5.024763e-03	1.139083e-01	0	0	2.162842e+01	1.144874e+02	ACADL;NR0B1
GO_Biological_Process_2023	Positive Regulation Of Mitotic Nuclear Division (GO:0045840)	5.629959e-03	1.139083e-01	0	0	2.027459e+01	1.050153e+02	PDGFRB;LRP5
GO_Biological_Process_2023	Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)	5.789809e-03	1.139083e-01	0	0	8.959091e+00	4.615415e+01	CDH3;HMCN1;ICAM1
GO_Biological_Process_2023	Vasculogenesis (GO:0001570)	6.266828e-03	1.139083e-01	0	0	1.908004e+01	9.678321e+01	PDGFRB;TGFBR3
GO_Biological_Process_2023	Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157)	6.266828e-03	1.139083e-01	0	0	1.908004e+01	9.678321e+01	HMCN1;ICAM1
GO_Biological_Process_2023	Male Gonad Development (GO:0008584)	6.266828e-03	1.139083e-01	0	0	1.908004e+01	9.678321e+01	WNT5A;NR0B1
