Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	9.115279e-06	4.430026e-03	0	0	4.406572e+00	5.114073e+01	KDM6B;FST;ZBTB38;LIF;ARID5A;NFATC2;ARID3B;DICER1;TRAK1;MED12L;RELB;KLF5;NRIP1;MAFF;FOSB;ATF3;E2F7
GO_Biological_Process_2023	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	2.793917e-04	6.789218e-02	0	0	4.477876e+00	3.664199e+01	KDM6B;KLF5;ZBTB38;NRIP1;MAFF;LIF;ATF3;MED12L;E2F7;RELB
GO_Biological_Process_2023	Mesodermal Cell Differentiation (GO:0048333)	4.496920e-04	7.285010e-02	0	0	8.818667e+01	6.796500e+02	KDM6B;ITGA2
GO_Biological_Process_2023	Mesoderm Formation (GO:0001707)	7.662792e-04	9.179575e-02	0	0	6.297778e+01	4.518003e+02	KDM6B;ITGA2
GO_Biological_Process_2023	Positive Regulation Of DNA-templated Transcription (GO:0045893)	9.444007e-04	9.179575e-02	0	0	3.558068e+00	2.478180e+01	KDM6B;KLF5;ZBTB38;NRIP1;MAFF;LIF;NFATC2;ATF3;MED12L;E2F7;RELB
GO_Biological_Process_2023	Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	1.292077e-03	1.046582e-01	0	0	4.269822e+00	2.840074e+01	FST;NRIP1;MAFF;ARID5A;FOSB;DICER1;ATF3;E2F7
GO_Biological_Process_2023	Acylglycerol Catabolic Process (GO:0046464)	1.908109e-03	1.276791e-01	0	0	3.671852e+01	2.299182e+02	APOC3;MGLL
GO_Biological_Process_2023	Negative Regulation Of DNA-templated Transcription (GO:0045892)	2.630881e-03	1.276791e-01	0	0	3.488823e+00	2.072513e+01	FST;ZBTB38;NRIP1;MAFF;ARID5A;FOSB;DICER1;ATF3;E2F7
GO_Biological_Process_2023	Arachidonic Acid Metabolic Process (GO:0019369)	3.169869e-03	1.276791e-01	0	0	2.752778e+01	1.583966e+02	PTGS2;MGLL
GO_Biological_Process_2023	Cell-Matrix Adhesion (GO:0007160)	3.805122e-03	1.276791e-01	0	0	1.050639e+01	5.853539e+01	TIAM1;COL13A1;ITGA2
GO_Biological_Process_2023	Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189)	3.912910e-03	1.276791e-01	0	0	2.446420e+01	1.356166e+02	ADGRG6;ADM
GO_Biological_Process_2023	Regulation Of Response To External Stimulus (GO:0032101)	4.480631e-03	1.276791e-01	0	0	9.884358e+00	5.345452e+01	PTGS2;CD55;MGLL
GO_Biological_Process_2023	Positive Regulation Of Peptidyl-Serine Phosphorylation Of STAT Protein (GO:0033141)	4.712660e-03	1.276791e-01	0	0	inf	inf	LIF
GO_Biological_Process_2023	Regulation Of Peptidyl-Serine Phosphorylation Of STAT Protein (GO:0033139)	4.712660e-03	1.276791e-01	0	0	inf	inf	LIF
GO_Biological_Process_2023	Positive Regulation Of Epithelial Cell Differentiation Involved In Kidney Development (GO:2000698)	4.712660e-03	1.276791e-01	0	0	inf	inf	LIF
GO_Biological_Process_2023	Positive Regulation Of Fever Generation (GO:0031622)	4.712660e-03	1.276791e-01	0	0	inf	inf	PTGS2
GO_Biological_Process_2023	Acylglycerol Metabolic Process (GO:0006639)	4.728857e-03	1.276791e-01	0	0	2.201333e+01	1.178610e+02	APOC3;MGLL
