,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0033632,regulation of cell-cell adhesion mediated by integrin,GO:0033632,0.06395652,206.6875,1824.231,PIEZO1;FERMT3,Regulation Of Cell-Cell Adhesion Mediated By Integrin (GO:0033632)
1,GO:0008544,epidermis development,GO:0008544,0.08729193,21.04894,156.7963,SPINT1;LAMB3;CCN2,Epidermis Development (GO:0008544)
2,GO:0015914,phospholipid transport,GO:0015914,0.12436,16.60414,113.0332,ABCB1;ABCA3;APOC3,Phospholipid Transport (GO:0015914)
3,GO:0030388,"fructose 1,6-bisphosphate metabolic process",GO:0030388,0.147658,33.73129,113.4869,ALDOB,"Fructose 1,6-Bisphosphate Metabolic Process (GO:0030388)"
4,GO:0007229,integrin-mediated signaling pathway,GO:0007229,0.147658,8.2275,29.46122,COL3A1;FERMT3,Integrin-Mediated Signaling Pathway (GO:0007229)
5,GO:0045229,external encapsulating structure organization,GO:0045229,0.147658,9.146296,34.47501,COL3A1;SPINT1,External Encapsulating Structure Organization (GO:0045229)
6,GO:1905719,protein localization to perinuclear region of cytoplasm,GO:1905719,0.147658,67.48299,264.3107,HOOK2,Protein Localization To Perinuclear Region Of Cytoplasm (GO:1905719)
7,GO:0045444,fat cell differentiation,GO:0045444,0.147658,10.29479,40.98345,C1QTNF3;GDF6,Fat Cell Differentiation (GO:0045444)
8,GO:0060046,regulation of acrosome reaction,GO:0060046,0.147658,202.4898,932.4527,SERPINA10,Regulation Of Acrosome Reaction (GO:0060046)
9,GO:0032781,positive regulation of ATP-dependent activity,GO:0032781,0.147658,16.49667,79.68877,RGN;ALDOB,Positive Regulation Of ATP-dependent Activity (GO:0032781)
10,GO:0018149,peptide cross-linking,GO:0018149,0.147658,31.76282,190.5481,COL3A1;F13A1,Peptide Cross-Linking (GO:0018149)
11,GO:0060173,limb development,GO:0060173,0.147658,31.76282,190.5481,COMP;DKK1,Limb Development (GO:0060173)
12,GO:0090136,epithelial cell-cell adhesion,GO:0090136,0.147658,25.29337,78.86526,THBS4,Epithelial Cell-Cell Adhesion (GO:0090136)
13,GO:0050820,positive regulation of coagulation,GO:0050820,0.147658,25.29337,78.86526,EMILIN2,Positive Regulation Of Coagulation (GO:0050820)
14,GO:0040014,regulation of multicellular organism growth,GO:0040014,0.147658,40.48163,142.3391,GDF15,Regulation Of Multicellular Organism Growth (GO:0040014)
15,GO:0042060,wound healing,GO:0042060,0.147658,7.341518,24.8095,COL3A1;SYTL4,Wound Healing (GO:0042060)
16,GO:0007160,cell-matrix adhesion,GO:0007160,0.147658,6.319231,19.69596,COL3A1;FERMT3,Cell-Matrix Adhesion (GO:0007160)
17,GO:0014812,muscle cell migration,GO:0014812,0.147658,33.73129,113.4869,THBS4,Muscle Cell Migration (GO:0014812)
18,GO:0051241,negative regulation of multicellular organismal process,GO:0051241,0.147658,4.884475,17.51234,GDF15;APOC3;DKK1,Negative Regulation Of Multicellular Organismal Process (GO:0051241)
19,GO:0034103,regulation of tissue remodeling,GO:0034103,0.147658,25.29337,78.86526,THBS4,Regulation Of Tissue Remodeling (GO:0034103)
