Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Cell-Cell Adhesion Mediated By Integrin (GO:0033632)	1.468593e-04	6.395652e-02	0	0	2.066875e+02	1.824231e+03	PIEZO1;FERMT3
GO_Biological_Process_2023	Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060393)	2.842512e-04	6.395652e-02	0	0	2.747456e+01	2.243477e+02	GDF15;GDF6;DKK1
GO_Biological_Process_2023	Epidermis Development (GO:0008544)	5.819462e-04	8.729193e-02	0	0	2.104894e+01	1.567963e+02	SPINT1;LAMB3;CCN2
GO_Biological_Process_2023	Phospholipid Transport (GO:0015914)	1.105422e-03	1.243600e-01	0	0	1.660414e+01	1.130332e+02	ABCB1;ABCA3;APOC3
GO_Biological_Process_2023	Triglyceride Homeostasis (GO:0070328)	2.157095e-03	1.476580e-01	0	0	3.441319e+01	2.112624e+02	C1QTNF3;APOC3
GO_Biological_Process_2023	Limb Development (GO:0060173)	2.481002e-03	1.476580e-01	0	0	3.176282e+01	1.905481e+02	COMP;DKK1
GO_Biological_Process_2023	Peptide Cross-Linking (GO:0018149)	2.481002e-03	1.476580e-01	0	0	3.176282e+01	1.905481e+02	COL3A1;F13A1
GO_Biological_Process_2023	SMAD Protein Signal Transduction (GO:0060395)	3.989125e-03	1.476580e-01	0	0	2.427941e+01	1.341239e+02	GDF15;GDF6
GO_Biological_Process_2023	Positive Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0010862)	3.989125e-03	1.476580e-01	0	0	2.427941e+01	1.341239e+02	GDF15;GDF6
GO_Biological_Process_2023	Negative Regulation Of Immune System Process (GO:0002683)	4.867717e-03	1.476580e-01	0	0	2.171930e+01	1.156581e+02	COL3A1;SMPDL3B
GO_Biological_Process_2023	Negative Regulation Of Neuron Migration (GO:2001223)	5.013470e-03	1.476580e-01	0	0	inf	inf	COL3A1
GO_Biological_Process_2023	Cell Junction Disassembly (GO:0150146)	5.013470e-03	1.476580e-01	0	0	inf	inf	DKK1
GO_Biological_Process_2023	Ceramide Biosynthetic Process (GO:0046513)	5.337415e-03	1.476580e-01	0	0	2.063125e+01	1.079636e+02	SAMD8;ST6GALNAC3
GO_Biological_Process_2023	Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178)	5.986866e-03	1.476580e-01	0	0	8.857057e+00	4.533208e+01	COL3A1;GDF15;GDF6
GO_Biological_Process_2023	Substrate Adhesion-Dependent Cell Spreading (GO:0034446)	7.981744e-03	1.476580e-01	0	0	1.649667e+01	7.968877e+01	RADIL;FERMT3
GO_Biological_Process_2023	Positive Regulation Of ATP-dependent Activity (GO:0032781)	7.981744e-03	1.476580e-01	0	0	1.649667e+01	7.968877e+01	RGN;ALDOB
GO_Biological_Process_2023	Regulation Of Receptor-Mediated Endocytosis (GO:0048259)	8.568369e-03	1.476580e-01	0	0	1.586058e+01	7.549124e+01	APOC3;DKK1
GO_Biological_Process_2023	Positive Regulation Of Exocytosis (GO:0045921)	9.797797e-03	1.476580e-01	0	0	1.472470e+01	6.811055e+01	RAB3D;SYTL4
GO_Biological_Process_2023	Synapse Pruning (GO:0098883)	1.000234e-02	1.476580e-01	0	0	2.024898e+02	9.324527e+02	DKK1
GO_Biological_Process_2023	Negative Regulation Of Macrophage Migration (GO:1905522)	1.000234e-02	1.476580e-01	0	0	2.024898e+02	9.324527e+02	C5
GO_Biological_Process_2023	Glycosylceramide Metabolic Process (GO:0006677)	1.000234e-02	1.476580e-01	0	0	2.024898e+02	9.324527e+02	ST6GALNAC3
GO_Biological_Process_2023	Regulation Of Very-Low-Density Lipoprotein Particle Remodeling (GO:0010901)	1.000234e-02	1.476580e-01	0	0	2.024898e+02	9.324527e+02	APOC3
