Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Coagulation	6.370024e-04	8.220797e-03	0	0	1.141797e+01	8.402185e+01	COMP;PROS1;RGN;APOC3
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	7.829330e-04	8.220797e-03	0	0	7.708432e+00	5.513428e+01	COMP;COL3A1;CCN2;CCN1;DKK1
MSigDB_Hallmark_2020	Hypoxia	4.938833e-03	3.457183e-02	0	0	6.352369e+00	3.373506e+01	ALDOB;CCN2;CCN1;CP
MSigDB_Hallmark_2020	KRAS Signaling Up	1.121479e-02	5.887767e-02	0	0	6.973759e+00	3.131581e+01	SPON1;ABCB1;F13A1
MSigDB_Hallmark_2020	Estrogen Response Late	2.559877e-02	1.075148e-01	0	0	5.044097e+00	1.848768e+01	ABCA3;MAPK13;MICB
MSigDB_Hallmark_2020	KRAS Signaling Dn	3.515427e-02	1.230399e-01	0	0	7.211988e+00	2.414580e+01	C5;SERPINA10
MSigDB_Hallmark_2020	Angiogenesis	1.182133e-01	2.258900e-01	0	0	8.417517e+00	1.797363e+01	COL3A1
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	1.196373e-01	2.258900e-01	0	0	3.492165e+00	7.414880e+00	LAMB3;CCN1
MSigDB_Hallmark_2020	UV Response Dn	1.229496e-01	2.258900e-01	0	0	3.432773e+00	7.195025e+00	COL3A1;CCN1
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	1.270554e-01	2.258900e-01	0	0	7.768446e+00	1.602733e+01	DKK1
MSigDB_Hallmark_2020	Xenobiotic Metabolism	1.313281e-01	2.258900e-01	0	0	3.292675e+00	6.684317e+00	VNN1;PROS1
MSigDB_Hallmark_2020	Apical Junction	1.330197e-01	2.258900e-01	0	0	3.266000e+00	6.588364e+00	LAMB3;MAPK13
MSigDB_Hallmark_2020	Estrogen Response Early	1.398366e-01	2.258900e-01	0	0	3.163437e+00	6.223367e+00	ABCA3;MICB
MSigDB_Hallmark_2020	Bile Acid Metabolism	2.830961e-01	4.246442e-01	0	0	3.095133e+00	3.905962e+00	ABCA3
MSigDB_Hallmark_2020	Pperoxisome	3.422289e-01	4.791204e-01	0	0	2.449228e+00	2.626248e+00	ABCB1
MSigDB_Hallmark_2020	Myogenesis	4.176493e-01	4.891692e-01	0	0	1.890065e+00	1.650241e+00	COL3A1
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	4.351386e-01	4.891692e-01	0	0	1.787719e+00	1.487544e+00	ABCB1
MSigDB_Hallmark_2020	Fatty Acid Metabolism	4.465111e-01	4.891692e-01	0	0	1.725369e+00	1.391150e+00	VNN1
MSigDB_Hallmark_2020	UV Response Up	4.521129e-01	4.891692e-01	0	0	1.695780e+00	1.346150e+00	ABCB1
MSigDB_Hallmark_2020	Complement	4.658754e-01	4.891692e-01	0	0	1.626016e+00	1.242012e+00	CP
MSigDB_Hallmark_2020	Glycolysis	5.508790e-01	5.508790e-01	0	0	1.269466e+00	7.569063e-01	ALDOB
