term,fdr,Odds Ratio,Combined Score,Genes,description
TNF-alpha Signaling via NF-kB,1.9481189999999997e-30,39.3675,2839.352,CEBPB;TNFAIP3;PTGS2;ETS2;ICAM1;RELB;CCND1;NFIL3;MYC;CCL2;CCN1;JUNB;IER2;IER3;KDM6B;EGR1;SPHK1;LIF;FOS;KLF2;RCAN1;BCL6;IRF1;MAFF;FOSB;SGK1;ATF3;NFE2L2;HBEGF,TNF-alpha Signaling via NF-kB
Hypoxia,5.200151e-09,11.57555,255.7619,TNFAIP3;ADM;FOS;ENO3;KLF7;NFIL3;STC2;MAFF;CCN2;CCN1;ATF3;TGM2;TMEM45A;IER3,Hypoxia
Inflammatory Response,2.120059e-06,12.77609,200.3166,IRAK2;SPHK1;IRF1;MYC;LIF;CCL2;ADM;ICAM1;HBEGF,Inflammatory Response
UV Response Up,0.0004628521,6.959593,69.63338,RRAD;GPX3;IRF1;FOSB;FOS;JUNB;ATF3;ICAM1,UV Response Up
KRAS Signaling Up,0.0005507459,7.802782,74.97202,TMEM158;LIF;TNFAIP3;SPRY2;TFPI;PTGS2;HBEGF,KRAS Signaling Up
Estrogen Response Early,0.0006108532,6.272881,58.47872,UGCG;CCND1;MAST4;STC2;MYC;NRIP1;FOS;TGM2,Estrogen Response Early
Myogenesis,0.0008446354,6.700784,58.43759,KLF5;GPX3;SPHK1;FST;STC2;ENO3;HBEGF,Myogenesis
p53 Pathway,0.0008446354,5.708251,49.72307,RRAD;SPHK1;LIF;AEN;FOS;ATF3;HBEGF;IER3,p53 Pathway
Epithelial Mesenchymal Transition,0.004879711,4.801453,32.83722,PDGFRB;SFRP4;TNFAIP3;CCN2;CCN1;FSTL3;TGM2,Epithelial Mesenchymal Transition
IL-2/STAT5 Signaling,0.005940968,5.311859,34.6993,NFIL3;MYC;MAFF;LIF;ENO3;TGM2,IL-2/STAT5 Signaling
Allograft Rejection,0.005940968,6.448235,41.53669,IL11;LIF;CCL2;ICAM1;IL27RA,Allograft Rejection
Apoptosis,0.006479564,5.026721,31.50632,PDGFRB;CCND1;GPX3;IRF1;ATF3;IER3,Apoptosis
UV Response Dn,0.006509189,4.938286,30.53423,PDGFRB;MYC;TFPI;CCN1;RND3;MGLL,UV Response Dn
Unfolded Protein Response,0.01693126,4.694231,24.18988,CEBPB;STC2;DNAJB9;CCL2;ATF3,Unfolded Protein Response
Interferon Gamma Response,0.02721938,4.040119,18.45441,IRF1;TNFAIP3;CCL2;PTGS2;ICAM1,Interferon Gamma Response
Coagulation,0.02721938,4.97219,22.50097,KLF7;F10;MAFF;APOC3,Coagulation
Complement,0.02721938,3.937056,17.59419,CEBPB;F10;IRF1;MAFF;TNFAIP3,Complement
Androgen Response,0.02721938,4.779487,21.02122,CCND1;DNAJB9;SGK1;SLC38A2,Androgen Response
Estrogen Response Late,0.02721938,3.839061,16.78805,CCND1;NRIP1;FOS;SGK1;MAPK13,Estrogen Response Late
Wnt-beta Catenin Signaling,0.07130717,7.356262,24.70673,WNT5B;MYC,Wnt-beta Catenin Signaling
Reactive Oxygen Species Pathway,0.1438701,4.708843,12.28016,GPX3;JUNB,Reactive Oxygen Species Pathway
TGF-beta Signaling,0.1612687,4.269072,10.44733,NOG;JUNB,TGF-beta Signaling
Adipogenesis,0.1837483,2.325247,5.283581,BCL6;GPX3;DNAJB9;MGLL,Adipogenesis
Cholesterol Homeostasis,0.2512787,3.054206,5.854029,NFIL3;ATF3,Cholesterol Homeostasis
Interferon Alpha Response,0.3111845,2.578123,4.285009,IRF1;TENT5A,Interferon Alpha Response
Hedgehog Signaling,0.3651798,3.961755,5.786984,ETS2,Hedgehog Signaling
Notch Signaling,0.3651798,3.796296,5.410104,CCND1,Notch Signaling
Apical Surface,0.4000926,3.252646,4.22007,ATP8B1,Apical Surface
G2-M Checkpoint,0.4672538,1.472611,1.582945,DBF4;CCND1;MYC,G2-M Checkpoint
IL-6/JAK/STAT3 Signaling,0.4672538,2.459209,2.639365,IRF1,IL-6/JAK/STAT3 Signaling
Fatty Acid Metabolism,0.4850411,1.584559,1.589482,ENO3;MGLL,Fatty Acid Metabolism
Xenobiotic Metabolism,0.5039424,1.468194,1.338799,F10;ETS2,Xenobiotic Metabolism
Apical Junction,0.5039424,1.456299,1.314103,ICAM1;MAPK13,Apical Junction
Myc Targets V2,0.5553224,1.651347,1.280484,MYC,Myc Targets V2
KRAS Signaling Dn,0.5575095,1.565453,1.15518,SGK1,KRAS Signaling Dn
Spermatogenesis,0.5575095,1.512963,1.080753,DBF4,Spermatogenesis
Glycolysis,0.5740476,1.163192,0.765028,STC2;IER3,Glycolysis
heme Metabolism,0.8573495,0.6339332,0.1457384,KLF3,heme Metabolism
mTORC1 Signaling,0.8877057,0.5038494,0.07445899,NFIL3,mTORC1 Signaling
E2F Targets,0.8877057,0.4664352,0.05827309,MYC,E2F Targets
Myc Targets V1,0.8877057,0.4567271,0.05440306,MYC,Myc Targets V1
