,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0042908,xenobiotic transport,GO:0042908,0.03618896,47.51923,447.5271,ABCB1;ABCC2;SLC47A1,Xenobiotic Transport (GO:0042908)
1,GO:0072337,modified amino acid transport,GO:0072337,0.03618896,31.66667,266.8524,SLC47A1;SLC16A9;SLC7A2,Modified Amino Acid Transport (GO:0072337)
2,GO:0001895,retina homeostasis,GO:0001895,0.03618896,25.32564,199.0691,AZGP1;CDH3;PIP,Retina Homeostasis (GO:0001895)
3,GO:1904953,Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation,GO:1904953,0.03618896,125.1899,983.6865,RYK;WNT5A,Wnt Signaling Pathway Involved In Midbrain Dopaminergic Neuron Differentiation (GO:1904953)
4,GO:1902043,positive regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO:1902043,0.03618896,125.1899,983.6865,PMAIP1;TIMP3,Positive Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902043)
5,GO:0051055,negative regulation of lipid biosynthetic process,GO:0051055,0.03618896,27.13736,218.0987,ACADL;FBXW7;NR0B1,Negative Regulation Of Lipid Biosynthetic Process (GO:0051055)
6,GO:0043030,regulation of macrophage activation,GO:0043030,0.03618896,29.22781,240.4028,WNT5A;IL31RA;GPR137B,Regulation Of Macrophage Activation (GO:0043030)
7,GO:0060070,canonical Wnt signaling pathway,GO:0060070,0.03618896,18.30056,164.8939,CDH3;RYK;WNT7B;WNT5A,Canonical Wnt Signaling Pathway (GO:0060070)
8,GO:0044242,cellular lipid catabolic process,GO:0044242,0.03834276,23.74038,182.6676,FAAH;ACADL;SMPDL3B,Cellular Lipid Catabolic Process (GO:0044242)
9,GO:0060071,"Wnt signaling pathway, planar cell polarity pathway",GO:0060071,0.04989703,19.98583,144.8706,TIAM1;RYK;WNT5A,"Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:0060071)"
10,GO:0070486,leukocyte aggregation,GO:0070486,0.06197618,62.58228,435.0617,S100A9;JAM2,Leukocyte Aggregation (GO:0070486)
11,GO:0045671,negative regulation of osteoclast differentiation,GO:0045671,0.09300981,41.71308,264.3876,FBXW7;GPR137B,Negative Regulation Of Osteoclast Differentiation (GO:0045671)
12,GO:0032370,positive regulation of lipid transport,GO:0032370,0.09300981,41.71308,264.3876,ABCA3;ABCB4,Positive Regulation Of Lipid Transport (GO:0032370)
13,GO:0015718,monocarboxylic acid transport,GO:0015718,0.1205121,12.23449,72.93486,ABCC2;ABCB4;SLC16A9,Monocarboxylic Acid Transport (GO:0015718)
14,GO:0001501,skeletal system development,GO:0001501,0.1271282,7.289054,42.29552,COL13A1;WNT5A;COL19A1;PTHLH,Skeletal System Development (GO:0001501)
15,GO:0032801,receptor catabolic process,GO:0032801,0.1307859,27.80028,157.8759,ZNRF3;SNX25,Receptor Catabolic Process (GO:0032801)
16,GO:0035270,endocrine system development,GO:0035270,0.1307859,27.80028,157.8759,NKX2-1;NR0B1,Endocrine System Development (GO:0035270)
17,GO:0150104,transport across blood-brain barrier,GO:0150104,0.1405159,9.973684,54.10464,ABCB1;ABCC2;SLC7A2,Transport Across Blood-Brain Barrier (GO:0150104)
18,GO:0010604,positive regulation of macromolecule metabolic process,GO:0010604,0.1405159,4.197622,22.67714,FGF5;CDH3;PIP;WNT5A;NKX2-1;DKK1,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)
19,GO:1903305,regulation of regulated secretory pathway,GO:1903305,0.1405159,25.01772,137.6444,SYT1;RAB3D,Regulation Of Regulated Secretory Pathway (GO:1903305)
20,GO:0016101,diterpenoid metabolic process,GO:0016101,0.1442063,22.74108,121.4393,RDH10;DHRS3,Diterpenoid Metabolic Process (GO:0016101)
