Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)	4.960071e-07	2.087783e-04	0	0	1.753654e+01	2.545723e+02	NLGN1;LRFN4;SLITRK2;DSG2;FGFRL1;ROBO1;ADGRL3
GO_Biological_Process_2023	Synapse Organization (GO:0050808)	5.589780e-07	2.087783e-04	0	0	1.719755e+01	2.475958e+02	NLGN1;NLGN2;LRFN4;SLITRK2;NRCAM;PDZRN3;ADGRL3
GO_Biological_Process_2023	Regulation Of Synapse Assembly (GO:0051963)	3.051675e-05	7.598671e-03	0	0	2.741944e+01	2.850864e+02	NLGN1;NLGN2;LRFN4;SLITRK2
GO_Biological_Process_2023	Synapse Assembly (GO:0007416)	6.078846e-05	8.727698e-03	0	0	2.242500e+01	2.177044e+02	NLGN1;NLGN2;NRCAM;ADGRL3
GO_Biological_Process_2023	Postsynaptic Density Organization (GO:0097106)	7.010199e-05	8.727698e-03	0	0	inf	inf	NLGN1;NLGN2
GO_Biological_Process_2023	Positive Regulation Of Excitatory Postsynaptic Potential (GO:2000463)	7.010199e-05	8.727698e-03	0	0	inf	inf	NLGN1;NLGN2
GO_Biological_Process_2023	Nervous System Development (GO:0007399)	1.056598e-04	1.127541e-02	0	0	5.399442e+00	4.943344e+01	NLGN1;NLGN2;PTPRZ1;FABP7;NRCAM;NRG1;CDON;ROBO1;ADGRL3
GO_Biological_Process_2023	Positive Regulation Of Cell Junction Assembly (GO:1901890)	1.407016e-04	1.201836e-02	0	0	1.760893e+01	1.561713e+02	NLGN1;NLGN2;SLITRK2;NRG1
GO_Biological_Process_2023	Positive Regulation Of Synapse Assembly (GO:0051965)	1.551208e-04	1.201836e-02	0	0	3.658889e+01	3.209324e+02	NLGN1;NLGN2;SLITRK2
GO_Biological_Process_2023	Blood Vessel Endothelial Cell Migration (GO:0043534)	1.962278e-04	1.201836e-02	0	0	3.325926e+01	2.839088e+02	EFNB2;SOX18;ROBO1
GO_Biological_Process_2023	Axonogenesis (GO:0007409)	1.995506e-04	1.201836e-02	0	0	7.930364e+00	6.756228e+01	EFNB2;SLITRK2;PLPPR4;KIF5A;NRCAM;UNC5C
GO_Biological_Process_2023	Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120034)	2.088851e-04	1.201836e-02	0	0	1.036814e+01	8.785681e+01	NLGN1;TGFB3;CDC42EP3;PLCE1;BBS4
GO_Biological_Process_2023	Postsynaptic Membrane Assembly (GO:0097104)	2.091549e-04	1.201836e-02	0	0	2.411707e+02	2.043303e+03	NLGN1;NLGN2
GO_Biological_Process_2023	Protein Localization To Cell Junction (GO:1902414)	2.982361e-04	1.591303e-02	0	0	2.813675e+01	2.284036e+02	NLGN1;NLGN2;CGNL1
GO_Biological_Process_2023	Neuron Cell-Cell Adhesion (GO:0007158)	4.160199e-04	1.603501e-02	0	0	1.205732e+02	9.386353e+02	NLGN1;NLGN2
GO_Biological_Process_2023	Postsynapse Assembly (GO:0099068)	4.160199e-04	1.603501e-02	0	0	1.205732e+02	9.386353e+02	NLGN1;NLGN2
GO_Biological_Process_2023	Presynaptic Membrane Assembly (GO:0097105)	4.160199e-04	1.603501e-02	0	0	1.205732e+02	9.386353e+02	NLGN1;NLGN2
GO_Biological_Process_2023	Presynaptic Membrane Organization (GO:0097090)	4.160199e-04	1.603501e-02	0	0	1.205732e+02	9.386353e+02	NLGN1;NLGN2
GO_Biological_Process_2023	Modulation Of Excitatory Postsynaptic Potential (GO:0098815)	4.160199e-04	1.603501e-02	0	0	1.205732e+02	9.386353e+02	NLGN1;NLGN2
GO_Biological_Process_2023	Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)	4.293176e-04	1.603501e-02	0	0	2.438025e+01	1.890277e+02	NLGN1;NLGN2;PLPPR4
GO_Biological_Process_2023	Axon Development (GO:0061564)	6.340494e-04	2.060442e-02	0	0	1.144884e+01	8.430218e+01	DHFR;SLITRK2;PLPPR4;NRCAM
GO_Biological_Process_2023	Cell Junction Assembly (GO:0034329)	6.872874e-04	2.060442e-02	0	0	1.118750e+01	8.147585e+01	NLGN1;NLGN2;NRCAM;ADGRL3
GO_Biological_Process_2023	Synaptic Membrane Adhesion (GO:0099560)	6.895722e-04	2.060442e-02	0	0	8.037398e+01	5.850775e+02	LRFN4;SLITRK2
GO_Biological_Process_2023	Positive Regulation Of Synaptic Transmission, GABAergic (GO:0032230)	6.895722e-04	2.060442e-02	0	0	8.037398e+01	5.850775e+02	NLGN1;NLGN2
GO_Biological_Process_2023	Positive Regulation Of Synaptic Transmission, Glutamatergic (GO:0051968)	6.895722e-04	2.060442e-02	0	0	8.037398e+01	5.850775e+02	NLGN1;NLGN2
GO_Biological_Process_2023	Negative Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120033)	7.907739e-04	2.271954e-02	0	0	1.923977e+01	1.374200e+02	KIF24;NRG1;EVI5L
GO_Biological_Process_2023	Postsynaptic Membrane Organization (GO:0001941)	1.028701e-03	2.478836e-02	0	0	6.027439e+01	4.146552e+02	NLGN1;NLGN2
GO_Biological_Process_2023	Presynapse Organization (GO:0099172)	1.028701e-03	2.478836e-02	0	0	6.027439e+01	4.146552e+02	NLGN1;NLGN2
GO_Biological_Process_2023	Regulation Of Presynapse Assembly (GO:1905606)	1.028701e-03	2.478836e-02	0	0	6.027439e+01	4.146552e+02	LRFN4;SLITRK2
GO_Biological_Process_2023	Regulation Of Presynapse Organization (GO:0099174)	1.028701e-03	2.478836e-02	0	0	6.027439e+01	4.146552e+02	LRFN4;SLITRK2
GO_Biological_Process_2023	Protein Localization To Synapse (GO:0035418)	1.028701e-03	2.478836e-02	0	0	6.027439e+01	4.146552e+02	NLGN1;NLGN2
GO_Biological_Process_2023	Positive Regulation Of Nervous System Development (GO:0051962)	1.159714e-03	2.707208e-02	0	0	1.661111e+01	1.122842e+02	NLGN1;NLGN2;SLITRK2
GO_Biological_Process_2023	Presynapse Assembly (GO:0099054)	1.432307e-03	3.146863e-02	0	0	4.821463e+01	3.157320e+02	NLGN1;NLGN2
GO_Biological_Process_2023	Regulation Of AMPA Receptor Activity (GO:2000311)	1.432307e-03	3.146863e-02	0	0	4.821463e+01	3.157320e+02	NLGN1;NLGN2
GO_Biological_Process_2023	Neuron Projection Guidance (GO:0097485)	1.696643e-03	3.621122e-02	0	0	8.624561e+00	5.501697e+01	EFNB2;KIF5A;NRCAM;UNC5C
GO_Biological_Process_2023	Negative Regulation Of Organelle Assembly (GO:1902116)	1.798289e-03	3.731451e-02	0	0	1.404986e+01	8.880802e+01	KIF24;EVI5L;MDM1
GO_Biological_Process_2023	Regulation Of Lipoprotein Lipase Activity (GO:0051004)	1.899308e-03	3.733640e-02	0	0	4.017480e+01	2.517459e+02	SORT1;PCSK5
GO_Biological_Process_2023	Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706)	1.899308e-03	3.733640e-02	0	0	4.017480e+01	2.517459e+02	TGFB3;PDCD4
GO_Biological_Process_2023	Cell Junction Maintenance (GO:0034331)	2.428632e-03	4.535471e-02	0	0	3.443206e+01	2.072957e+02	NLGN1;NLGN2
GO_Biological_Process_2023	Regulation Of Synaptic Transmission, GABAergic (GO:0032228)	2.428632e-03	4.535471e-02	0	0	3.443206e+01	2.072957e+02	NLGN1;NLGN2
GO_Biological_Process_2023	Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056)	2.671175e-03	4.866751e-02	0	0	7.556923e+00	4.477656e+01	PLCE1;DOCK2;CGNL1;FGD1
GO_Biological_Process_2023	Striated Muscle Cell Differentiation (GO:0051146)	3.670032e-03	6.230713e-02	0	0	2.677507e+01	1.501427e+02	SORT1;NRG1
GO_Biological_Process_2023	Positive Regulation Of Striated Muscle Cell Differentiation (GO:0051155)	3.670032e-03	6.230713e-02	0	0	2.677507e+01	1.501427e+02	EFNB2;NRG1
GO_Biological_Process_2023	Cell Migration Involved In Sprouting Angiogenesis (GO:0002042)	3.670032e-03	6.230713e-02	0	0	2.677507e+01	1.501427e+02	EFNB2;ROBO1
GO_Biological_Process_2023	Axon Guidance (GO:0007411)	4.162607e-03	6.816424e-02	0	0	6.631757e+00	3.635273e+01	EFNB2;KIF5A;NRCAM;UNC5C
GO_Biological_Process_2023	Synaptic Vesicle Localization (GO:0097479)	4.380031e-03	6.816424e-02	0	0	2.409512e+01	1.308534e+02	NLGN1;KIF5A
GO_Biological_Process_2023	Mammary Gland Development (GO:0030879)	4.380031e-03	6.816424e-02	0	0	2.409512e+01	1.308534e+02	TGFB3;NRG1
GO_Biological_Process_2023	Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746)	4.380031e-03	6.816424e-02	0	0	2.409512e+01	1.308534e+02	NRG1;ROBO1
GO_Biological_Process_2023	Cell-Cell Junction Organization (GO:0045216)	4.549463e-03	6.935611e-02	0	0	9.861862e+00	5.318252e+01	NLGN2;TGFB3;DSG2
GO_Biological_Process_2023	Regulation Of Neurotransmitter Receptor Activity (GO:0099601)	5.148200e-03	7.395587e-02	0	0	2.190244e+01	1.154063e+02	NLGN1;NLGN2
GO_Biological_Process_2023	Myotube Differentiation (GO:0014902)	5.148200e-03	7.395587e-02	0	0	2.190244e+01	1.154063e+02	SORT1;DOCK2
GO_Biological_Process_2023	Negative Regulation Of Cilium Assembly (GO:1902018)	5.148200e-03	7.395587e-02	0	0	2.190244e+01	1.154063e+02	KIF24;EVI5L
GO_Biological_Process_2023	Neuron Projection Morphogenesis (GO:0048812)	5.890600e-03	8.302412e-02	0	0	5.979878e+00	3.070307e+01	NLGN1;SLITRK2;PLPPR4;NRCAM
GO_Biological_Process_2023	Extracellular Structure Organization (GO:0043062)	6.340041e-03	8.770391e-02	0	0	8.683422e+00	4.394567e+01	COL4A6;COL4A5;COL9A3
GO_Biological_Process_2023	Regulation Of Trans-Synaptic Signaling (GO:0099177)	6.855034e-03	9.310382e-02	0	0	1.852908e+01	9.232619e+01	NLGN1;NLGN2
GO_Biological_Process_2023	External Encapsulating Structure Organization (GO:0045229)	7.158069e-03	9.380837e-02	0	0	8.287037e+00	4.093394e+01	COL4A6;COL4A5;COL9A3
GO_Biological_Process_2023	Regulation Of NIK/NF-kappaB Signaling (GO:1901222)	7.158069e-03	9.380837e-02	0	0	8.287037e+00	4.093394e+01	RTKN2;PDCD4;ADIPOR1
GO_Biological_Process_2023	Anterograde Trans-Synaptic Signaling (GO:0098916)	7.589455e-03	9.558481e-02	0	0	8.102058e+00	3.954611e+01	NLGN1;NLGN2;KIF5A
GO_Biological_Process_2023	Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667)	7.589455e-03	9.558481e-02	0	0	8.102058e+00	3.954611e+01	SLITRK2;PLPPR4;NRCAM
GO_Biological_Process_2023	Negative Regulation Of Intracellular Signal Transduction (GO:1902532)	7.677494e-03	9.558481e-02	0	0	4.375617e+00	2.130690e+01	NUAK1;RTKN2;ADIPOR1;CGNL1;VGLL4
GO_Biological_Process_2023	Modulation Of Chemical Synaptic Transmission (GO:0050804)	8.035924e-03	9.840714e-02	0	0	7.925121e+00	3.822946e+01	NLGN1;NLGN2;PLPPR4
GO_Biological_Process_2023	Regulation Of Excitatory Synapse Assembly (GO:1904889)	8.422650e-03	9.986856e-02	0	0	inf	inf	LRFN4
GO_Biological_Process_2023	Regulation Of Superoxide Metabolic Process (GO:0090322)	8.422650e-03	9.986856e-02	0	0	inf	inf	DHFR
GO_Biological_Process_2023	Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662)	8.782630e-03	1.025098e-01	0	0	1.605528e+01	7.602144e+01	TGFB3;PDCD4
GO_Biological_Process_2023	Brain Development (GO:0007420)	9.288015e-03	1.067407e-01	0	0	5.210106e+00	2.437825e+01	NRCAM;PCDH18;BBS4;ADGRL3
GO_Biological_Process_2023	Negative Chemotaxis (GO:0050919)	9.826797e-03	1.095615e-01	0	0	1.505030e+01	6.957217e+01	UNC5C;ROBO1
GO_Biological_Process_2023	Negative Regulation Of Chemotaxis (GO:0050922)	9.826797e-03	1.095615e-01	0	0	1.505030e+01	6.957217e+01	NRG1;ROBO1
GO_Biological_Process_2023	Regulation Of Cilium Assembly (GO:1902017)	1.103761e-02	1.212514e-01	0	0	7.006410e+00	3.157401e+01	KIF24;EVI5L;BBS4
GO_Biological_Process_2023	Positive Regulation Of Filopodium Assembly (GO:0051491)	1.207114e-02	1.306833e-01	0	0	1.337534e+01	5.907803e+01	NLGN1;TGFB3
GO_Biological_Process_2023	Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705)	1.326947e-02	1.416042e-01	0	0	1.267009e+01	5.476380e+01	TGFB3;PDCD4
GO_Biological_Process_2023	Presynaptic Endocytosis (GO:0140238)	1.451734e-02	1.527388e-01	0	0	1.203537e+01	5.093862e+01	NLGN1;NLGN2
GO_Biological_Process_2023	Regulation Of Primary Metabolic Process (GO:0080090)	1.581387e-02	1.627416e-01	0	0	1.146109e+01	4.752764e+01	ADIPOR1;BBS4
GO_Biological_Process_2023	Negative Regulation Of Dendritic Spine Development (GO:0061000)	1.677524e-02	1.627416e-01	0	0	1.191325e+02	4.869961e+02	NLGN1
GO_Biological_Process_2023	Regulation Of Circadian Sleep/Wake Cycle (GO:0042749)	1.677524e-02	1.627416e-01	0	0	1.191325e+02	4.869961e+02	PER3
GO_Biological_Process_2023	Activation Of Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0007171)	1.677524e-02	1.627416e-01	0	0	1.191325e+02	4.869961e+02	NRG1
GO_Biological_Process_2023	Iron Coordination Entity Transport (GO:1901678)	1.677524e-02	1.627416e-01	0	0	1.191325e+02	4.869961e+02	NRG1
GO_Biological_Process_2023	Neurotransmitter-Gated Ion Channel Clustering (GO:0072578)	1.677524e-02	1.627416e-01	0	0	1.191325e+02	4.869961e+02	NLGN1
GO_Biological_Process_2023	Chemical Synaptic Transmission (GO:0007268)	1.802456e-02	1.726199e-01	0	0	5.776602e+00	2.319895e+01	NLGN1;NLGN2;KIF5A
GO_Biological_Process_2023	Regulation Of Lipid Metabolic Process (GO:0019216)	1.854932e-02	1.753968e-01	0	0	1.046235e+01	4.171677e+01	ADIPOR1;BBS4
GO_Biological_Process_2023	Regulation Of Lamellipodium Assembly (GO:0010591)	1.998652e-02	1.775322e-01	0	0	1.002541e+01	3.922638e+01	PLCE1;NRG1
GO_Biological_Process_2023	Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156)	1.998652e-02	1.775322e-01	0	0	1.002541e+01	3.922638e+01	DSG2;ROBO1
GO_Biological_Process_2023	Sprouting Angiogenesis (GO:0002040)	2.146888e-02	1.775322e-01	0	0	9.623415e+00	3.696499e+01	EFNB2;ROBO1
GO_Biological_Process_2023	BMP Signaling Pathway (GO:0030509)	2.146888e-02	1.775322e-01	0	0	9.623415e+00	3.696499e+01	TGFB3;PDCD4
GO_Biological_Process_2023	Regulation Of Monoatomic Ion Transmembrane Transporter Activity (GO:0032412)	2.146888e-02	1.775322e-01	0	0	9.623415e+00	3.696499e+01	NLGN1;NLGN2
GO_Biological_Process_2023	Membrane Assembly (GO:0071709)	2.146888e-02	1.775322e-01	0	0	9.623415e+00	3.696499e+01	NLGN1;NLGN2
GO_Biological_Process_2023	Plasma Membrane Bounded Cell Projection Assembly (GO:0120031)	2.278909e-02	1.775322e-01	0	0	3.283693e+00	1.241720e+01	RABL2B;KIF24;B9D1;BBS4;FGD1
GO_Biological_Process_2023	Synaptic Vesicle Endocytosis (GO:0048488)	2.299556e-02	1.775322e-01	0	0	9.252345e+00	3.490405e+01	NLGN1;NLGN2
GO_Biological_Process_2023	Positive Regulation Of NIK/NF-kappaB Signaling (GO:1901224)	2.299556e-02	1.775322e-01	0	0	9.252345e+00	3.490405e+01	RTKN2;PDCD4
GO_Biological_Process_2023	Blood Vessel Morphogenesis (GO:0048514)	2.456573e-02	1.775322e-01	0	0	8.908762e+00	3.301946e+01	EFNB2;SOX18
GO_Biological_Process_2023	Regulation Of Cellular Response To Insulin Stimulus (GO:1900076)	2.505832e-02	1.775322e-01	0	0	5.956024e+01	2.195718e+02	NCOA1
GO_Biological_Process_2023	Regulation Of Cellular Response To Oxidative Stress (GO:1900407)	2.505832e-02	1.775322e-01	0	0	5.956024e+01	2.195718e+02	DHFR
GO_Biological_Process_2023	Regulation Of Circadian Sleep/Wake Cycle, Sleep (GO:0045187)	2.505832e-02	1.775322e-01	0	0	5.956024e+01	2.195718e+02	PER3
GO_Biological_Process_2023	Excitatory Synapse Assembly (GO:1904861)	2.505832e-02	1.775322e-01	0	0	5.956024e+01	2.195718e+02	NLGN1
GO_Biological_Process_2023	Negative Regulation Of Lipoprotein Lipase Activity (GO:0051005)	2.505832e-02	1.775322e-01	0	0	5.956024e+01	2.195718e+02	SORT1
GO_Biological_Process_2023	Positive Regulation Of Neurotransmitter Secretion (GO:0001956)	2.505832e-02	1.775322e-01	0	0	5.956024e+01	2.195718e+02	NLGN1
GO_Biological_Process_2023	Heme Transport (GO:0015886)	2.505832e-02	1.775322e-01	0	0	5.956024e+01	2.195718e+02	NRG1
GO_Biological_Process_2023	Negative Regulation Of Secretion (GO:0051048)	2.505832e-02	1.775322e-01	0	0	5.956024e+01	2.195718e+02	NRG1
GO_Biological_Process_2023	Negative Regulation Of Vascular Associated Smooth Muscle Cell Differentiation (GO:1905064)	2.505832e-02	1.775322e-01	0	0	5.956024e+01	2.195718e+02	PDCD4
GO_Biological_Process_2023	Neuronal Ion Channel Clustering (GO:0045161)	2.505832e-02	1.775322e-01	0	0	5.956024e+01	2.195718e+02	NRCAM
GO_Biological_Process_2023	Regulation Of Striated Muscle Cell Differentiation (GO:0051153)	2.505832e-02	1.775322e-01	0	0	5.956024e+01	2.195718e+02	NRG1
GO_Biological_Process_2023	Cytolysis By Host Of Symbiont Cells (GO:0051838)	2.505832e-02	1.775322e-01	0	0	5.956024e+01	2.195718e+02	NRG1
GO_Biological_Process_2023	Positive Regulation Of Cardiac Muscle Cell Differentiation (GO:2000727)	2.505832e-02	1.775322e-01	0	0	5.956024e+01	2.195718e+02	EFNB2
GO_Biological_Process_2023	Negative Regulation Of Appetite (GO:0032099)	2.505832e-02	1.775322e-01	0	0	5.956024e+01	2.195718e+02	BBS4
GO_Biological_Process_2023	Sensory Perception Of Smell (GO:0007608)	2.505832e-02	1.775322e-01	0	0	5.956024e+01	2.195718e+02	BBS4
GO_Biological_Process_2023	Regulation Of Cell Activation (GO:0050865)	2.505832e-02	1.775322e-01	0	0	5.956024e+01	2.195718e+02	NRG1
GO_Biological_Process_2023	Cellular Response To BMP Stimulus (GO:0071773)	2.617857e-02	1.775322e-01	0	0	8.589721e+00	3.129076e+01	TGFB3;PDCD4
GO_Biological_Process_2023	Circulatory System Development (GO:0072359)	2.698347e-02	1.775322e-01	0	0	4.912412e+00	1.774624e+01	SOX18;PLCE1;PCSK5
GO_Biological_Process_2023	Synaptic Vesicle Recycling (GO:0036465)	2.783326e-02	1.775322e-01	0	0	8.292683e+00	2.970044e+01	NLGN1;NLGN2
GO_Biological_Process_2023	Regulation Of Filopodium Assembly (GO:0051489)	2.783326e-02	1.775322e-01	0	0	8.292683e+00	2.970044e+01	NLGN1;TGFB3
GO_Biological_Process_2023	Positive Regulation Of Synaptic Transmission (GO:0050806)	2.783326e-02	1.775322e-01	0	0	8.292683e+00	2.970044e+01	NLGN1;NLGN2
GO_Biological_Process_2023	Negative Regulation Of Neuron Projection Development (GO:0010977)	2.952901e-02	1.775322e-01	0	0	8.015447e+00	2.823347e+01	EFNB2;NLGN1
GO_Biological_Process_2023	Generation Of Neurons (GO:0048699)	3.073284e-02	1.775322e-01	0	0	4.658594e+00	1.622320e+01	IRX1;NRCAM;ADGRL3
GO_Biological_Process_2023	ERBB Signaling Pathway (GO:0038127)	3.126502e-02	1.775322e-01	0	0	7.756098e+00	2.687686e+01	PLCE1;NRG1
GO_Biological_Process_2023	Cellular Response To Glucose Starvation (GO:0042149)	3.126502e-02	1.775322e-01	0	0	7.756098e+00	2.687686e+01	NUAK1;SESN3
GO_Biological_Process_2023	Chordate Embryonic Development (GO:0043009)	3.126502e-02	1.775322e-01	0	0	7.756098e+00	2.687686e+01	TGFB3;PCSK5
GO_Biological_Process_2023	Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)	3.237267e-02	1.775322e-01	0	0	3.507194e+00	1.203122e+01	EFNB2;SORT1;COL4A6;NRG1
GO_Biological_Process_2023	Positive Regulation Of Immune Response To Tumor Cell (GO:0002839)	3.327244e-02	1.775322e-01	0	0	3.970281e+01	1.351097e+02	NRG1
GO_Biological_Process_2023	Negative Regulation Of Lipase Activity (GO:0060192)	3.327244e-02	1.775322e-01	0	0	3.970281e+01	1.351097e+02	SORT1
