term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0098742,0.0002087783,17.53654,254.5723,NLGN1;LRFN4;SLITRK2;DSG2;FGFRL1;ROBO1;ADGRL3,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)
GO:0050808,0.0002087783,17.19755,247.5958,NLGN1;NLGN2;LRFN4;SLITRK2;NRCAM;PDZRN3;ADGRL3,Synapse Organization (GO:0050808)
GO:0051963,0.007598671,27.41944,285.0864,NLGN1;NLGN2;LRFN4;SLITRK2,Regulation Of Synapse Assembly (GO:0051963)
GO:0007416,0.008727698,22.425,217.7044,NLGN1;NLGN2;NRCAM;ADGRL3,Synapse Assembly (GO:0007416)
GO:0097106,0.008727698,inf,inf,NLGN1;NLGN2,Postsynaptic Density Organization (GO:0097106)
GO:2000463,0.008727698,inf,inf,NLGN1;NLGN2,Positive Regulation Of Excitatory Postsynaptic Potential (GO:2000463)
GO:0007399,0.01127541,5.399442,49.43344,NLGN1;NLGN2;PTPRZ1;FABP7;NRCAM;NRG1;CDON;ROBO1;ADGRL3,Nervous System Development (GO:0007399)
GO:1901890,0.01201836,17.60893,156.1713,NLGN1;NLGN2;SLITRK2;NRG1,Positive Regulation Of Cell Junction Assembly (GO:1901890)
GO:0051965,0.01201836,36.58889,320.9324,NLGN1;NLGN2;SLITRK2,Positive Regulation Of Synapse Assembly (GO:0051965)
GO:0043534,0.01201836,33.25926,283.9088,EFNB2;SOX18;ROBO1,Blood Vessel Endothelial Cell Migration (GO:0043534)
GO:0007409,0.01201836,7.930364,67.56228,EFNB2;SLITRK2;PLPPR4;KIF5A;NRCAM;UNC5C,Axonogenesis (GO:0007409)
GO:0120034,0.01201836,10.36814,87.85681,NLGN1;TGFB3;CDC42EP3;PLCE1;BBS4,Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120034)
GO:0097104,0.01201836,241.1707,2043.303,NLGN1;NLGN2,Postsynaptic Membrane Assembly (GO:0097104)
GO:1902414,0.01591303,28.13675,228.4036,NLGN1;NLGN2;CGNL1,Protein Localization To Cell Junction (GO:1902414)
GO:0007158,0.01603501,120.5732,938.6353,NLGN1;NLGN2,Neuron Cell-Cell Adhesion (GO:0007158)
GO:0099068,0.01603501,120.5732,938.6353,NLGN1;NLGN2,Postsynapse Assembly (GO:0099068)
GO:0097105,0.01603501,120.5732,938.6353,NLGN1;NLGN2,Presynaptic Membrane Assembly (GO:0097105)
GO:0097090,0.01603501,120.5732,938.6353,NLGN1;NLGN2,Presynaptic Membrane Organization (GO:0097090)
GO:0098815,0.01603501,120.5732,938.6353,NLGN1;NLGN2,Modulation Of Excitatory Postsynaptic Potential (GO:0098815)
GO:0051966,0.01603501,24.38025,189.0277,NLGN1;NLGN2;PLPPR4,"Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)"
GO:0061564,0.02060442,11.44884,84.30218,DHFR;SLITRK2;PLPPR4;NRCAM,Axon Development (GO:0061564)
GO:0034329,0.02060442,11.1875,81.47585,NLGN1;NLGN2;NRCAM;ADGRL3,Cell Junction Assembly (GO:0034329)
GO:0099560,0.02060442,80.37398,585.0775,LRFN4;SLITRK2,Synaptic Membrane Adhesion (GO:0099560)
GO:0032230,0.02060442,80.37398,585.0775,NLGN1;NLGN2,"Positive Regulation Of Synaptic Transmission, GABAergic (GO:0032230)"
GO:0051968,0.02060442,80.37398,585.0775,NLGN1;NLGN2,"Positive Regulation Of Synaptic Transmission, Glutamatergic (GO:0051968)"
GO:0120033,0.02271954,19.23977,137.42,KIF24;NRG1;EVI5L,Negative Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120033)
GO:0001941,0.02478836,60.27439,414.6552,NLGN1;NLGN2,Postsynaptic Membrane Organization (GO:0001941)
GO:0099172,0.02478836,60.27439,414.6552,NLGN1;NLGN2,Presynapse Organization (GO:0099172)
GO:1905606,0.02478836,60.27439,414.6552,LRFN4;SLITRK2,Regulation Of Presynapse Assembly (GO:1905606)
GO:0099174,0.02478836,60.27439,414.6552,LRFN4;SLITRK2,Regulation Of Presynapse Organization (GO:0099174)
GO:0035418,0.02478836,60.27439,414.6552,NLGN1;NLGN2,Protein Localization To Synapse (GO:0035418)
GO:0051962,0.02707208,16.61111,112.2842,NLGN1;NLGN2;SLITRK2,Positive Regulation Of Nervous System Development (GO:0051962)
GO:0099054,0.03146863,48.21463,315.732,NLGN1;NLGN2,Presynapse Assembly (GO:0099054)
GO:2000311,0.03146863,48.21463,315.732,NLGN1;NLGN2,Regulation Of AMPA Receptor Activity (GO:2000311)
GO:0097485,0.03621122,8.624561,55.01697,EFNB2;KIF5A;NRCAM;UNC5C,Neuron Projection Guidance (GO:0097485)
GO:1902116,0.03731451,14.04986,88.80802,KIF24;EVI5L;MDM1,Negative Regulation Of Organelle Assembly (GO:1902116)
GO:0051004,0.0373364,40.1748,251.7459,SORT1;PCSK5,Regulation Of Lipoprotein Lipase Activity (GO:0051004)
GO:1904706,0.0373364,40.1748,251.7459,TGFB3;PDCD4,Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706)
GO:0034331,0.04535471,34.43206,207.2957,NLGN1;NLGN2,Cell Junction Maintenance (GO:0034331)
GO:0032228,0.04535471,34.43206,207.2957,NLGN1;NLGN2,"Regulation Of Synaptic Transmission, GABAergic (GO:0032228)"
GO:0051056,0.04866751,7.556923,44.77656,PLCE1;DOCK2;CGNL1;FGD1,Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056)
GO:0051146,0.06230713,26.77507,150.1427,SORT1;NRG1,Striated Muscle Cell Differentiation (GO:0051146)
GO:0051155,0.06230713,26.77507,150.1427,EFNB2;NRG1,Positive Regulation Of Striated Muscle Cell Differentiation (GO:0051155)
GO:0002042,0.06230713,26.77507,150.1427,EFNB2;ROBO1,Cell Migration Involved In Sprouting Angiogenesis (GO:0002042)
GO:0007411,0.06816424,6.631757,36.35273,EFNB2;KIF5A;NRCAM;UNC5C,Axon Guidance (GO:0007411)
GO:0097479,0.06816424,24.09512,130.8534,NLGN1;KIF5A,Synaptic Vesicle Localization (GO:0097479)
GO:0030879,0.06816424,24.09512,130.8534,TGFB3;NRG1,Mammary Gland Development (GO:0030879)
GO:1900746,0.06816424,24.09512,130.8534,NRG1;ROBO1,Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746)
GO:0045216,0.06935611,9.861862,53.18252,NLGN2;TGFB3;DSG2,Cell-Cell Junction Organization (GO:0045216)
GO:0099601,0.07395587,21.90244,115.4063,NLGN1;NLGN2,Regulation Of Neurotransmitter Receptor Activity (GO:0099601)
GO:0014902,0.07395587,21.90244,115.4063,SORT1;DOCK2,Myotube Differentiation (GO:0014902)
GO:1902018,0.07395587,21.90244,115.4063,KIF24;EVI5L,Negative Regulation Of Cilium Assembly (GO:1902018)
GO:0048812,0.08302412,5.979878,30.70307,NLGN1;SLITRK2;PLPPR4;NRCAM,Neuron Projection Morphogenesis (GO:0048812)
GO:0043062,0.08770391,8.683422,43.94567,COL4A6;COL4A5;COL9A3,Extracellular Structure Organization (GO:0043062)
GO:0099177,0.09310382,18.52908,92.32619,NLGN1;NLGN2,Regulation Of Trans-Synaptic Signaling (GO:0099177)
GO:0045229,0.09380837,8.287037,40.93394,COL4A6;COL4A5;COL9A3,External Encapsulating Structure Organization (GO:0045229)
GO:1901222,0.09380837,8.287037,40.93394,RTKN2;PDCD4;ADIPOR1,Regulation Of NIK/NF-kappaB Signaling (GO:1901222)
GO:0098916,0.09558481,8.102058,39.54611,NLGN1;NLGN2;KIF5A,Anterograde Trans-Synaptic Signaling (GO:0098916)
GO:0048667,0.09558481,8.102058,39.54611,SLITRK2;PLPPR4;NRCAM,Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667)
GO:1902532,0.09558481,4.375617,21.3069,NUAK1;RTKN2;ADIPOR1;CGNL1;VGLL4,Negative Regulation Of Intracellular Signal Transduction (GO:1902532)
GO:0050804,0.09840714,7.925121,38.22946,NLGN1;NLGN2;PLPPR4,Modulation Of Chemical Synaptic Transmission (GO:0050804)
GO:1904889,0.09986856,inf,inf,LRFN4,Regulation Of Excitatory Synapse Assembly (GO:1904889)
GO:0090322,0.09986856,inf,inf,DHFR,Regulation Of Superoxide Metabolic Process (GO:0090322)
GO:0048662,0.1025098,16.05528,76.02144,TGFB3;PDCD4,Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662)
GO:0007420,0.1067407,5.210106,24.37825,NRCAM;PCDH18;BBS4;ADGRL3,Brain Development (GO:0007420)
GO:0050919,0.1095615,15.0503,69.57217,UNC5C;ROBO1,Negative Chemotaxis (GO:0050919)
GO:0050922,0.1095615,15.0503,69.57217,NRG1;ROBO1,Negative Regulation Of Chemotaxis (GO:0050922)
GO:1902017,0.1212514,7.00641,31.57401,KIF24;EVI5L;BBS4,Regulation Of Cilium Assembly (GO:1902017)
GO:0051491,0.1306833,13.37534,59.07803,NLGN1;TGFB3,Positive Regulation Of Filopodium Assembly (GO:0051491)
GO:1904705,0.1416042,12.67009,54.7638,TGFB3;PDCD4,Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705)
GO:0140238,0.1527388,12.03537,50.93862,NLGN1;NLGN2,Presynaptic Endocytosis (GO:0140238)
GO:0080090,0.1627416,11.46109,47.52764,ADIPOR1;BBS4,Regulation Of Primary Metabolic Process (GO:0080090)
GO:0061000,0.1627416,119.1325,486.9961,NLGN1,Negative Regulation Of Dendritic Spine Development (GO:0061000)
