Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Hedgehog Signaling	1.715815e-02	1.878231e-01	0	0	1.093902e+01	4.447022e+01	NRCAM;UNC5C
MSigDB_Hallmark_2020	Apoptosis	1.788792e-02	1.878231e-01	0	0	4.249565e+00	1.709868e+01	SATB1;PLPPR4;PDCD4;TXNIP
MSigDB_Hallmark_2020	Hypoxia	1.104458e-01	7.731207e-01	0	0	2.675995e+00	5.895832e+00	TGFB3;SDC3;KIF5A
MSigDB_Hallmark_2020	KRAS Signaling Up	1.845085e-01	8.013824e-01	0	0	2.626106e+00	4.438275e+00	SATB1;DOCK2
MSigDB_Hallmark_2020	Notch Signaling	1.908053e-01	8.013824e-01	0	0	4.952309e+00	8.203508e+00	MAML2
MSigDB_Hallmark_2020	Apical Junction	2.901041e-01	8.109433e-01	0	0	1.905171e+00	2.357678e+00	NLGN2;SDC3
MSigDB_Hallmark_2020	Spermatogenesis	4.040075e-01	8.109433e-01	0	0	1.973695e+00	1.788803e+00	CDKN3
MSigDB_Hallmark_2020	Interferon Alpha Response	4.619007e-01	8.109433e-01	0	0	1.642738e+00	1.268859e+00	TXNIP
MSigDB_Hallmark_2020	Coagulation	4.887269e-01	8.109433e-01	0	0	1.515446e+00	1.084986e+00	MSRB2
MSigDB_Hallmark_2020	UV Response Dn	6.428858e-01	8.109433e-01	0	0	9.808233e-01	4.333161e-01	CDON
MSigDB_Hallmark_2020	Interferon Gamma Response	6.428858e-01	8.109433e-01	0	0	9.808233e-01	4.333161e-01	TXNIP
MSigDB_Hallmark_2020	Estrogen Response Late	6.607741e-01	8.109433e-01	0	0	9.335437e-01	3.868075e-01	PDCD4
MSigDB_Hallmark_2020	p53 Pathway	7.042619e-01	8.109433e-01	0	0	8.269981e-01	2.899496e-01	TXNIP
MSigDB_Hallmark_2020	heme Metabolism	7.042619e-01	8.109433e-01	0	0	8.269981e-01	2.899496e-01	ADIPOR1
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	7.117795e-01	8.109433e-01	0	0	8.096386e-01	2.752666e-01	SLIT3
MSigDB_Hallmark_2020	Glycolysis	7.400075e-01	8.109433e-01	0	0	7.468345e-01	2.248681e-01	SDC3
MSigDB_Hallmark_2020	Adipogenesis	7.509463e-01	8.109433e-01	0	0	7.234122e-01	2.072005e-01	PDCD4
MSigDB_Hallmark_2020	mTORC1 Signaling	7.829841e-01	8.109433e-01	0	0	6.573034e-01	1.608046e-01	DHFR
MSigDB_Hallmark_2020	G2-M Checkpoint	8.009025e-01	8.109433e-01	0	0	6.216996e-01	1.380273e-01	CDKN3
MSigDB_Hallmark_2020	E2F Targets	8.076533e-01	8.109433e-01	0	0	6.084965e-01	1.299885e-01	CDKN3
MSigDB_Hallmark_2020	Mitotic Spindle	8.109433e-01	8.109433e-01	0	0	6.020991e-01	1.261741e-01	DOCK2
