"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0098742","GO:0098742",1,"GO:0098742",3.68031464302613,279,"cell-cell adhesion via plasma-membrane adhesion molecules","cell-cell adhesion via plasma-membrane adhesion molecules",0.973172320217096,0.328,0
"GO:0050808","GO:0050808",2,"GO:0050808",3.68031464302613,483,"synapse organization","synapse organization",0.906982360922659,0.242814814814815,0
"GO:0051963","GO:0051963",2,"GO:0050808",2.11926235875044,114,"regulation of synapse assembly","synapse organization",0.788804613297151,0.23562962962963,0.856
"GO:2000463","GO:2000463",3,"GO:2000463",2.05910028982607,32,"positive regulation of excitatory postsynaptic potential","positive regulation of excitatory postsynaptic potential",0.816135685210312,0.395857142857143,0
"GO:0097106","GO:0097106",2,"GO:0050808",2.05910028982607,37,"postsynaptic density organization","synapse organization",0.918686567164179,0.362666666666667,0.771
"GO:0007416","GO:0007416",2,"GO:0050808",2.05910028982607,200,"synapse assembly","synapse organization",0.831970149253731,0.237481481481482,0.909
"GO:0007399","GO:0007399",4,"GO:0007399",1.94786765721052,2510,"nervous system development","nervous system development",0.889838534599729,0.304,0
"GO:0097104","GO:0097104",2,"GO:0050808",1.92015479119715,10,"postsynaptic membrane assembly","synapse organization",0.861712347354138,0.343333333333333,0.716
"GO:1901890","GO:1901890",2,"GO:0050808",1.92015479119715,106,"positive regulation of cell junction assembly","synapse organization",0.83359565807327,0.301703703703704,0.765
"GO:0007409","GO:0007409",4,"GO:0007399",1.92015479119715,448,"axonogenesis","nervous system development",0.81446540027137,0.2975,0.718
"GO:0051965","GO:0051965",2,"GO:0050808",1.92015479119715,63,"positive regulation of synapse assembly","synapse organization",0.760579375848033,0.266074074074074,0.802
"GO:0120034","GO:0120034",6,"GO:0120034",1.92015479119715,110,"positive regulation of plasma membrane bounded cell projection assembly","positive regulation of plasma membrane bounded cell projection assembly",0.823439620081411,0.2246,0
"GO:0043534","GO:0043534",5,"GO:0043534",1.92015479119715,181,"blood vessel endothelial cell migration","blood vessel endothelial cell migration",0.938236092265943,0.212142857142857,0
"GO:1902414","GO:1902414",7,"GO:1902414",1.79824711846839,108,"protein localization to cell junction","protein localization to cell junction",0.941237449118046,0.318,0
