Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Cilium-Dependent Cell Motility (GO:0060285)	5.519460e-04	2.805262e-01	0	0	1.041649e+02	7.814517e+02	RFX3;GAS8
GO_Biological_Process_2023	Canonical Wnt Signaling Pathway (GO:0060070)	4.628246e-03	2.805262e-01	0	0	9.837891e+00	5.288434e+01	FZD3;WNT10A;FRAT2
GO_Biological_Process_2023	Regulation Of Notch Signaling Pathway (GO:0008593)	6.284524e-03	2.805262e-01	0	0	8.741319e+00	4.431556e+01	EGFL7;PRAG1;NOS3
GO_Biological_Process_2023	Positive Regulation Of Neural Precursor Cell Proliferation (GO:2000179)	6.778026e-03	2.805262e-01	0	0	1.892221e+01	9.449884e+01	FZD3;TOX
GO_Biological_Process_2023	Nitric Oxide Biosynthetic Process (GO:0006809)	6.778026e-03	2.805262e-01	0	0	1.892221e+01	9.449884e+01	NOS3;CYP1B1
GO_Biological_Process_2023	Generation Of Neurons (GO:0048699)	7.506889e-03	2.805262e-01	0	0	5.556787e+00	2.718343e+01	WNT10A;FZD3;CEP85L;IER2
GO_Biological_Process_2023	Nitric Oxide Metabolic Process (GO:0046209)	7.857985e-03	2.805262e-01	0	0	1.734364e+01	8.405119e+01	NOS3;CYP1B1
GO_Biological_Process_2023	Gap Junction Assembly (GO:0016264)	9.701027e-03	2.805262e-01	0	0	inf	inf	GJC1
GO_Biological_Process_2023	Regulation Of Guanylate Cyclase Activity (GO:0031282)	9.701027e-03	2.805262e-01	0	0	inf	inf	NOS3
GO_Biological_Process_2023	Regulation Of Relaxation Of Cardiac Muscle (GO:1901897)	9.701027e-03	2.805262e-01	0	0	inf	inf	PDE4D
GO_Biological_Process_2023	Cilium Movement Involved In Cell Motility (GO:0060294)	9.701027e-03	2.805262e-01	0	0	inf	inf	GAS8
GO_Biological_Process_2023	Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0030071)	9.941765e-03	2.805262e-01	0	0	7.313227e+00	3.372137e+01	HECW2;DPF1;ANAPC11
GO_Biological_Process_2023	Wnt Signaling Pathway (GO:0016055)	1.054601e-02	2.805262e-01	0	0	7.146307e+00	3.253005e+01	PORCN;FZD3;WNT10A
GO_Biological_Process_2023	Collagen Fibril Organization (GO:0030199)	1.152403e-02	2.805262e-01	0	0	1.387079e+01	6.190978e+01	BMP1;CYP1B1
GO_Biological_Process_2023	Cellular Nitrogen Compound Biosynthetic Process (GO:0044271)	1.430877e-02	2.805262e-01	0	0	1.223651e+01	5.196701e+01	NOS3;CYP1B1
GO_Biological_Process_2023	Retinoid Metabolic Process (GO:0001523)	1.579913e-02	2.805262e-01	0	0	1.155556e+01	4.793013e+01	CYP4V2;CYP1B1
GO_Biological_Process_2023	Positive Regulation Of Vasculature Development (GO:1904018)	1.614118e-02	2.805262e-01	0	0	6.042067e+00	2.493188e+01	NOS3;CYP1B1;ANGPTL4
GO_Biological_Process_2023	Protein Palmitoylation (GO:0018345)	1.735300e-02	2.805262e-01	0	0	1.094628e+01	4.437612e+01	PORCN;ZDHHC9
GO_Biological_Process_2023	Arachidonic Acid Metabolic Process (GO:0019369)	1.896901e-02	2.805262e-01	0	0	1.039794e+01	4.122729e+01	FAAH2;CYP1B1
GO_Biological_Process_2023	Positive Regulation Of Gliogenesis (GO:0014015)	1.930894e-02	2.805262e-01	0	0	1.031122e+02	4.070033e+02	PRKCH
GO_Biological_Process_2023	AV Node Cell To Bundle Of His Cell Communication (GO:0086067)	1.930894e-02	2.805262e-01	0	0	1.031122e+02	4.070033e+02	GJC1
GO_Biological_Process_2023	Positive Regulation Of Interleukin-5 Production (GO:0032754)	1.930894e-02	2.805262e-01	0	0	1.031122e+02	4.070033e+02	PDE4D
GO_Biological_Process_2023	DNA Methylation Involved In Embryo Development (GO:0043045)	1.930894e-02	2.805262e-01	0	0	1.031122e+02	4.070033e+02	ZDBF2
GO_Biological_Process_2023	Tongue Development (GO:0043586)	1.930894e-02	2.805262e-01	0	0	1.031122e+02	4.070033e+02	WNT10A
GO_Biological_Process_2023	Negative Regulation Of Relaxation Of Muscle (GO:1901078)	1.930894e-02	2.805262e-01	0	0	1.031122e+02	4.070033e+02	PDE4D
GO_Biological_Process_2023	Host-Mediated Regulation Of Intestinal Microbiota Composition (GO:0048874)	1.930894e-02	2.805262e-01	0	0	1.031122e+02	4.070033e+02	SPRR2A
GO_Biological_Process_2023	Positive Regulation Of Purine Nucleotide Biosynthetic Process (GO:1900373)	1.930894e-02	2.805262e-01	0	0	1.031122e+02	4.070033e+02	NOS3
GO_Biological_Process_2023	Atrial Cardiac Muscle Cell Action Potential (GO:0086014)	1.930894e-02	2.805262e-01	0	0	1.031122e+02	4.070033e+02	GJC1
GO_Biological_Process_2023	Atrial Cardiac Muscle Cell To AV Node Cell Signaling (GO:0086026)	1.930894e-02	2.805262e-01	0	0	1.031122e+02	4.070033e+02	GJC1
GO_Biological_Process_2023	Regulation Of Type B Pancreatic Cell Proliferation (GO:0061469)	1.930894e-02	2.805262e-01	0	0	1.031122e+02	4.070033e+02	NR4A3
GO_Biological_Process_2023	Response To Catecholamine (GO:0071869)	1.930894e-02	2.805262e-01	0	0	1.031122e+02	4.070033e+02	NR4A3
GO_Biological_Process_2023	Regulation Of Actin Filament-Based Movement (GO:1903115)	1.930894e-02	2.805262e-01	0	0	1.031122e+02	4.070033e+02	PDE4D
GO_Biological_Process_2023	Icosanoid Metabolic Process (GO:0006690)	2.064585e-02	2.805262e-01	0	0	9.901816e+00	3.842143e+01	FAAH2;CYP1B1
GO_Biological_Process_2023	Regulation Of Heart Contraction (GO:0008016)	2.238221e-02	2.805262e-01	0	0	9.450797e+00	3.590820e+01	DES;PDE4D
GO_Biological_Process_2023	Microtubule Bundle Formation (GO:0001578)	2.238221e-02	2.805262e-01	0	0	9.450797e+00	3.590820e+01	NCKAP5L;GAS8
GO_Biological_Process_2023	Endothelial Cell Migration (GO:0043542)	2.417680e-02	2.805262e-01	0	0	9.038996e+00	3.364641e+01	NOS3;CYP1B1
GO_Biological_Process_2023	Positive Regulation Of Angiogenesis (GO:0045766)	2.507920e-02	2.805262e-01	0	0	5.062500e+00	1.865894e+01	NOS3;CYP1B1;ANGPTL4
GO_Biological_Process_2023	Regulation Of JUN Kinase Activity (GO:0043506)	2.602836e-02	2.805262e-01	0	0	8.661512e+00	3.160212e+01	MAP4K2;HIPK3
GO_Biological_Process_2023	Epoxygenase P450 Pathway (GO:0019373)	2.882457e-02	2.805262e-01	0	0	5.155102e+01	1.828271e+02	CYP1B1
GO_Biological_Process_2023	Sympathetic Ganglion Development (GO:0061549)	2.882457e-02	2.805262e-01	0	0	5.155102e+01	1.828271e+02	FZD3
GO_Biological_Process_2023	Negative Regulation Of Interleukin-10 Production (GO:0032693)	2.882457e-02	2.805262e-01	0	0	5.155102e+01	1.828271e+02	CD274
GO_Biological_Process_2023	Negative Regulation Of Lipoprotein Lipase Activity (GO:0051005)	2.882457e-02	2.805262e-01	0	0	5.155102e+01	1.828271e+02	ANGPTL4
