term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0060285,0.2805262,104.1649,781.4517,RFX3;GAS8,Cilium-Dependent Cell Motility (GO:0060285)
GO:0060070,0.2805262,9.837891,52.88434,FZD3;WNT10A;FRAT2,Canonical Wnt Signaling Pathway (GO:0060070)
GO:0008593,0.2805262,8.741319,44.31556,EGFL7;PRAG1;NOS3,Regulation Of Notch Signaling Pathway (GO:0008593)
GO:2000179,0.2805262,18.92221,94.49884,FZD3;TOX,Positive Regulation Of Neural Precursor Cell Proliferation (GO:2000179)
GO:0006809,0.2805262,18.92221,94.49884,NOS3;CYP1B1,Nitric Oxide Biosynthetic Process (GO:0006809)
GO:0048699,0.2805262,5.556787,27.18343,WNT10A;FZD3;CEP85L;IER2,Generation Of Neurons (GO:0048699)
GO:0046209,0.2805262,17.34364,84.05119,NOS3;CYP1B1,Nitric Oxide Metabolic Process (GO:0046209)
GO:0016264,0.2805262,inf,inf,GJC1,Gap Junction Assembly (GO:0016264)
GO:0031282,0.2805262,inf,inf,NOS3,Regulation Of Guanylate Cyclase Activity (GO:0031282)
GO:1901897,0.2805262,inf,inf,PDE4D,Regulation Of Relaxation Of Cardiac Muscle (GO:1901897)
GO:0060294,0.2805262,inf,inf,GAS8,Cilium Movement Involved In Cell Motility (GO:0060294)
GO:0030071,0.2805262,7.313227,33.72137,HECW2;DPF1;ANAPC11,Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0030071)
GO:0016055,0.2805262,7.146307,32.53005,PORCN;FZD3;WNT10A,Wnt Signaling Pathway (GO:0016055)
GO:0030199,0.2805262,13.87079,61.90978,BMP1;CYP1B1,Collagen Fibril Organization (GO:0030199)
GO:0044271,0.2805262,12.23651,51.96701,NOS3;CYP1B1,Cellular Nitrogen Compound Biosynthetic Process (GO:0044271)
GO:0001523,0.2805262,11.55556,47.93013,CYP4V2;CYP1B1,Retinoid Metabolic Process (GO:0001523)
GO:1904018,0.2805262,6.042067,24.93188,NOS3;CYP1B1;ANGPTL4,Positive Regulation Of Vasculature Development (GO:1904018)
GO:0018345,0.2805262,10.94628,44.37612,PORCN;ZDHHC9,Protein Palmitoylation (GO:0018345)
GO:0019369,0.2805262,10.39794,41.22729,FAAH2;CYP1B1,Arachidonic Acid Metabolic Process (GO:0019369)
GO:0014015,0.2805262,103.1122,407.0033,PRKCH,Positive Regulation Of Gliogenesis (GO:0014015)
GO:0086067,0.2805262,103.1122,407.0033,GJC1,AV Node Cell To Bundle Of His Cell Communication (GO:0086067)
GO:0032754,0.2805262,103.1122,407.0033,PDE4D,Positive Regulation Of Interleukin-5 Production (GO:0032754)
GO:0043045,0.2805262,103.1122,407.0033,ZDBF2,DNA Methylation Involved In Embryo Development (GO:0043045)
GO:0043586,0.2805262,103.1122,407.0033,WNT10A,Tongue Development (GO:0043586)
GO:1901078,0.2805262,103.1122,407.0033,PDE4D,Negative Regulation Of Relaxation Of Muscle (GO:1901078)
GO:0048874,0.2805262,103.1122,407.0033,SPRR2A,Host-Mediated Regulation Of Intestinal Microbiota Composition (GO:0048874)
GO:1900373,0.2805262,103.1122,407.0033,NOS3,Positive Regulation Of Purine Nucleotide Biosynthetic Process (GO:1900373)
GO:0086014,0.2805262,103.1122,407.0033,GJC1,Atrial Cardiac Muscle Cell Action Potential (GO:0086014)
GO:0086026,0.2805262,103.1122,407.0033,GJC1,Atrial Cardiac Muscle Cell To AV Node Cell Signaling (GO:0086026)
GO:0061469,0.2805262,103.1122,407.0033,NR4A3,Regulation Of Type B Pancreatic Cell Proliferation (GO:0061469)
GO:0071869,0.2805262,103.1122,407.0033,NR4A3,Response To Catecholamine (GO:0071869)
GO:1903115,0.2805262,103.1122,407.0033,PDE4D,Regulation Of Actin Filament-Based Movement (GO:1903115)
GO:0006690,0.2805262,9.901816,38.42143,FAAH2;CYP1B1,Icosanoid Metabolic Process (GO:0006690)
GO:0008016,0.2805262,9.450797,35.9082,DES;PDE4D,Regulation Of Heart Contraction (GO:0008016)
GO:0001578,0.2805262,9.450797,35.9082,NCKAP5L;GAS8,Microtubule Bundle Formation (GO:0001578)
GO:0043542,0.2805262,9.038996,33.64641,NOS3;CYP1B1,Endothelial Cell Migration (GO:0043542)
GO:0045766,0.2805262,5.0625,18.65894,NOS3;CYP1B1;ANGPTL4,Positive Regulation Of Angiogenesis (GO:0045766)
GO:0043506,0.2805262,8.661512,31.60212,MAP4K2;HIPK3,Regulation Of JUN Kinase Activity (GO:0043506)
GO:0019373,0.2805262,51.55102,182.8271,CYP1B1,Epoxygenase P450 Pathway (GO:0019373)
GO:0061549,0.2805262,51.55102,182.8271,FZD3,Sympathetic Ganglion Development (GO:0061549)
GO:0032693,0.2805262,51.55102,182.8271,CD274,Negative Regulation Of Interleukin-10 Production (GO:0032693)
GO:0051005,0.2805262,51.55102,182.8271,ANGPTL4,Negative Regulation Of Lipoprotein Lipase Activity (GO:0051005)
GO:0010940,0.2805262,51.55102,182.8271,HEBP2,Positive Regulation Of Necrotic Cell Death (GO:0010940)
GO:0032674,0.2805262,51.55102,182.8271,PDE4D,Regulation Of Interleukin-5 Production (GO:0032674)
GO:0097267,0.2805262,51.55102,182.8271,CYP1B1,Omega-Hydroxylase P450 Pathway (GO:0097267)
GO:0002279,0.2805262,51.55102,182.8271,NR4A3,Mast Cell Activation Involved In Immune Response (GO:0002279)
GO:0043303,0.2805262,51.55102,182.8271,NR4A3,Mast Cell Degranulation (GO:0043303)
GO:0001990,0.2805262,51.55102,182.8271,NOS3,Regulation Of Systemic Arterial Blood Pressure By Hormone (GO:0001990)
GO:0071868,0.2805262,51.55102,182.8271,NR4A3,Cellular Response To Monoamine Stimulus (GO:0071868)
GO:0008202,0.2805262,7.696831,26.51374,CYP4V2;CYP1B1,Steroid Metabolic Process (GO:0008202)
GO:0051403,0.2805262,7.696831,26.51374,MAP4K2;MAPK11,Stress-Activated MAPK Cascade (GO:0051403)
GO:0033559,0.2805262,7.696831,26.51374,FAAH2;CYP1B1,Unsaturated Fatty Acid Metabolic Process (GO:0033559)
GO:0043543,0.2805262,7.696831,26.51374,PORCN;ZDHHC9,Protein Acylation (GO:0043543)
GO:0071310,0.2805262,7.696831,26.51374,NCOA1;CYP1B1,Cellular Response To Organic Substance (GO:0071310)
GO:0030182,0.2805262,4.480357,15.17672,WNT10A;FZD3;IER2,Neuron Differentiation (GO:0030182)
GO:2000780,0.2805262,7.421208,25.09851,PARPBP;AUNIP,Negative Regulation Of Double-Strand Break Repair (GO:2000780)
GO:0016125,0.2805262,7.421208,25.09851,CYP4V2;CYP1B1,Sterol Metabolic Process (GO:0016125)
GO:1902099,0.2805262,7.421208,25.09851,HECW2;DPF1,Regulation Of Metaphase/Anaphase Transition Of Cell Cycle (GO:1902099)
GO:0051881,0.2805262,7.421208,25.09851,HEBP2;RTL10,Regulation Of Mitochondrial Membrane Potential (GO:0051881)
GO:0048514,0.2805262,7.421208,25.09851,EGFL7;CYP1B1,Blood Vessel Morphogenesis (GO:0048514)
GO:0019932,0.2805262,7.421208,25.09851,NOS3;MCTP2,Second-Messenger-Mediated Signaling (GO:0019932)
