term,fdr,Odds Ratio,Combined Score,Genes,description
Apical Junction,0.1878287,4.146443,19.35542,MAPK11;MAP4K2;CD274;BMP1;TNFRSF11B,Apical Junction
Estrogen Response Early,0.796462,2.208555,3.992916,SH3BP5;RHOBTB3;INHBB,Estrogen Response Early
Allograft Rejection,0.796462,2.616991,4.410157,INHBB;RPL3L,Allograft Rejection
Epithelial Mesenchymal Transition,0.796462,1.873664,2.278846,BMP1;TNFRSF11B,Epithelial Mesenchymal Transition
TNF-alpha Signaling via NF-kB,0.796462,1.823374,2.152581,NR4A3;IER2,TNF-alpha Signaling via NF-kB
Interferon Gamma Response,0.796462,1.745239,1.961567,CD274;CMPK2,Interferon Gamma Response
p53 Pathway,0.796462,1.489317,1.383046,INHBB;RCHY1,p53 Pathway
KRAS Signaling Dn,0.796462,1.97292,1.786736,CCNA1,KRAS Signaling Dn
Spermatogenesis,0.796462,1.653061,1.283941,CCNA1,Spermatogenesis
Interferon Alpha Response,0.796462,1.462974,1.012024,CMPK2,Interferon Alpha Response
Coagulation,0.796462,1.442225,0.983689,BMP1,Coagulation
KRAS Signaling Up,0.796462,1.175111,0.6451952,ANGPTL4,KRAS Signaling Up
Myogenesis,0.796462,1.12301,0.585333,DES,Myogenesis
Apoptosis,0.796462,0.9358734,0.3891988,CCNA1,Apoptosis
IL-2/STAT5 Signaling,0.796462,0.863715,0.3221761,PRKCH,IL-2/STAT5 Signaling
Hypoxia,0.796462,0.7891947,0.2585022,ANGPTL4,Hypoxia
Estrogen Response Late,0.796462,0.7425145,0.2216615,CCNA1,Estrogen Response Late
DNA Repair,0.796462,0.731684,0.2134633,CMPK2,DNA Repair
Glycolysis,0.796462,0.630308,0.1434429,ANGPTL4,Glycolysis
Adipogenesis,0.796462,0.630308,0.1434429,ANGPTL4,Adipogenesis
