Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	9.915178e-03	2.875402e-01	0	0	4.086405e+00	1.885340e+01	NR4A2;KLF6;DUSP1;PLK2;TNFSF9
MSigDB_Hallmark_2020	Androgen Response	5.359251e-02	5.350400e-01	0	0	3.693584e+00	1.080870e+01	CCND3;ANKH;NCOA4
MSigDB_Hallmark_2020	Inflammatory Response	5.534896e-02	5.350400e-01	0	0	3.642623e+00	1.054211e+01	KLF6;SELENOS;TNFSF9
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	1.348597e-01	7.248533e-01	0	0	2.430787e+00	4.870131e+00	MAGEE1;SGCB;FSTL1
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	1.533812e-01	7.248533e-01	0	0	2.282499e+00	4.279296e+00	KLF6;CCND3;ODC1
MSigDB_Hallmark_2020	G2-M Checkpoint	1.792278e-01	7.248533e-01	0	0	1.860714e+00	3.198750e+00	POLQ;STIL;ODC1;FOXN3
MSigDB_Hallmark_2020	p53 Pathway	2.130489e-01	7.248533e-01	0	0	1.928558e+00	2.982000e+00	CCND3;PLK2;TNFSF9
MSigDB_Hallmark_2020	Angiogenesis	2.225731e-01	7.248533e-01	0	0	4.168944e+00	6.263837e+00	FSTL1
MSigDB_Hallmark_2020	heme Metabolism	2.249545e-01	7.248533e-01	0	0	1.873094e+00	2.794388e+00	CCND3;NCOA4;PPP2R5B
MSigDB_Hallmark_2020	Apoptosis	3.564709e-01	8.251687e-01	0	0	1.621345e+00	1.672422e+00	ANKH;PPP2R5B
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	3.747730e-01	8.251687e-01	0	0	2.184565e+00	2.144008e+00	SELENOS
MSigDB_Hallmark_2020	UV Response Up	3.850560e-01	8.251687e-01	0	0	1.521587e+00	1.452151e+00	CCND3;CYP1A1
MSigDB_Hallmark_2020	Fatty Acid Metabolism	4.051424e-01	8.251687e-01	0	0	1.457456e+00	1.316836e+00	ODC1;CYP1A1
MSigDB_Hallmark_2020	Xenobiotic Metabolism	4.130911e-01	8.251687e-01	0	0	1.433276e+00	1.267141e+00	AKR1C3;CYP1A1
MSigDB_Hallmark_2020	Hypoxia	4.366189e-01	8.251687e-01	0	0	1.365269e+00	1.131391e+00	KLF6;DUSP1
MSigDB_Hallmark_2020	KRAS Signaling Dn	4.552655e-01	8.251687e-01	0	0	1.678428e+00	1.320712e+00	NR4A2
MSigDB_Hallmark_2020	Cholesterol Homeostasis	5.254730e-01	8.963952e-01	0	0	1.362092e+00	8.764471e-01	CXCL16
MSigDB_Hallmark_2020	Allograft Rejection	6.053144e-01	9.006513e-01	0	0	1.087935e+00	5.461511e-01	CCND3
MSigDB_Hallmark_2020	KRAS Signaling Up	6.359114e-01	9.006513e-01	0	0	9.997001e-01	4.525602e-01	ANKH
MSigDB_Hallmark_2020	Myogenesis	6.523271e-01	9.006513e-01	0	0	9.553751e-01	4.081450e-01	ACTN2
MSigDB_Hallmark_2020	UV Response Dn	7.175710e-01	9.006513e-01	0	0	7.961707e-01	2.642358e-01	DUSP1
MSigDB_Hallmark_2020	Complement	7.569925e-01	9.006513e-01	0	0	7.104063e-01	1.977785e-01	ACTN2
MSigDB_Hallmark_2020	Apical Junction	7.835591e-01	9.006513e-01	0	0	6.559289e-01	1.599868e-01	ACTN2
MSigDB_Hallmark_2020	Estrogen Response Late	7.957414e-01	9.006513e-01	0	0	6.316725e-01	1.443252e-01	STIL
MSigDB_Hallmark_2020	DNA Repair	8.004218e-01	9.006513e-01	0	0	6.224586e-01	1.385695e-01	AGO4
MSigDB_Hallmark_2020	Adipogenesis	8.453884e-01	9.006513e-01	0	0	5.362139e-01	9.006203e-02	PIM3
MSigDB_Hallmark_2020	Oxidative Phosphorylation	8.909412e-01	9.006513e-01	0	0	4.506260e-01	5.203688e-02	MTRF1
MSigDB_Hallmark_2020	Mitotic Spindle	8.946881e-01	9.006513e-01	0	0	4.435231e-01	4.935532e-02	MARK4
MSigDB_Hallmark_2020	Myc Targets V1	9.006513e-01	9.006513e-01	0	0	4.321608e-01	4.522005e-02	ODC1
