Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Wnt Signaling Pathway (GO:0016055)	8.425048e-05	1.314307e-02	0	0	4.321875e+01	4.054661e+02	WNT10A;PORCN;FZD3
GO_Biological_Process_2023	Protein Palmitoylation (GO:0018345)	6.752822e-04	4.464390e-02	0	0	6.295356e+01	4.595849e+02	PORCN;ZDHHC9
GO_Biological_Process_2023	Protein Acylation (GO:0043543)	1.294012e-03	4.464390e-02	0	0	4.426580e+01	2.943679e+02	PORCN;ZDHHC9
GO_Biological_Process_2023	Gap Junction Assembly (GO:0016264)	1.861797e-03	4.464390e-02	0	0	inf	inf	GJC1
GO_Biological_Process_2023	Canonical Wnt Signaling Pathway (GO:0060070)	1.883821e-03	4.464390e-02	0	0	3.619608e+01	2.271106e+02	WNT10A;FZD3
GO_Biological_Process_2023	Regulation Of Notch Signaling Pathway (GO:0008593)	2.335690e-03	4.464390e-02	0	0	3.227027e+01	1.955400e+02	EGFL7;PRAG1
GO_Biological_Process_2023	Protein Lipidation (GO:0006497)	3.099877e-03	4.464390e-02	0	0	2.775103e+01	1.603008e+02	PORCN;ZDHHC9
GO_Biological_Process_2023	Protein Phosphorylation (GO:0006468)	3.360465e-03	4.464390e-02	0	0	7.675634e+00	4.371792e+01	MAP4K2;PRAG1;TAF11;MASTL
GO_Biological_Process_2023	AV Node Cell To Bundle Of His Cell Communication (GO:0086067)	3.720325e-03	4.464390e-02	0	0	5.658333e+02	3.165240e+03	GJC1
GO_Biological_Process_2023	DNA Methylation Involved In Embryo Development (GO:0043045)	3.720325e-03	4.464390e-02	0	0	5.658333e+02	3.165240e+03	ZDBF2
GO_Biological_Process_2023	Tongue Development (GO:0043586)	3.720325e-03	4.464390e-02	0	0	5.658333e+02	3.165240e+03	WNT10A
GO_Biological_Process_2023	Atrial Cardiac Muscle Cell Action Potential (GO:0086014)	3.720325e-03	4.464390e-02	0	0	5.658333e+02	3.165240e+03	GJC1
GO_Biological_Process_2023	Atrial Cardiac Muscle Cell To AV Node Cell Signaling (GO:0086026)	3.720325e-03	4.464390e-02	0	0	5.658333e+02	3.165240e+03	GJC1
GO_Biological_Process_2023	Sympathetic Ganglion Development (GO:0061549)	5.575578e-03	6.212787e-02	0	0	2.828889e+02	1.468012e+03	FZD3
GO_Biological_Process_2023	Sympathetic Nervous System Development (GO:0048485)	7.427560e-03	6.815878e-02	0	0	1.885741e+02	9.244953e+02	FZD3
GO_Biological_Process_2023	Ganglion Development (GO:0061548)	7.427560e-03	6.815878e-02	0	0	1.885741e+02	9.244953e+02	FZD3
GO_Biological_Process_2023	Engulfment Of Apoptotic Cell (GO:0043652)	7.427560e-03	6.815878e-02	0	0	1.885741e+02	9.244953e+02	XKR8
GO_Biological_Process_2023	Neuron Differentiation (GO:0030182)	7.977619e-03	6.913937e-02	0	0	1.676056e+01	8.097221e+01	WNT10A;FZD3
GO_Biological_Process_2023	Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118)	9.276276e-03	7.070969e-02	0	0	1.414167e+02	6.618717e+02	FZD3
GO_Biological_Process_2023	Negative Regulation Of Centriole Replication (GO:0046600)	9.276276e-03	7.070969e-02	0	0	1.414167e+02	6.618717e+02	MDM1
GO_Biological_Process_2023	Generation Of Neurons (GO:0048699)	9.518612e-03	7.070969e-02	0	0	1.524585e+01	7.096191e+01	WNT10A;FZD3
GO_Biological_Process_2023	Signal Release (GO:0023061)	1.112173e-02	7.865510e-02	0	0	1.131222e+02	5.089204e+02	PORCN
GO_Biological_Process_2023	Necroptotic Process (GO:0070266)	1.296393e-02	7.865510e-02	0	0	9.425926e+01	4.096116e+02	IPMK
GO_Biological_Process_2023	Cell Communication By Electrical Coupling Involved In Cardiac Conduction (GO:0086064)	1.296393e-02	7.865510e-02	0	0	9.425926e+01	4.096116e+02	GJC1
GO_Biological_Process_2023	Protein Modification Process (GO:0036211)	1.410798e-02	7.865510e-02	0	0	4.987234e+00	2.125068e+01	MAP4K2;PORCN;PRAG1;TAF11
GO_Biological_Process_2023	Cardiac Muscle Cell Action Potential Involved In Contraction (GO:0086002)	1.480288e-02	7.865510e-02	0	0	8.078571e+01	3.403449e+02	GJC1
GO_Biological_Process_2023	Regulation Of Execution Phase Of Apoptosis (GO:1900117)	1.480288e-02	7.865510e-02	0	0	8.078571e+01	3.403449e+02	FZD3
GO_Biological_Process_2023	RISC Complex Assembly (GO:0070922)	1.480288e-02	7.865510e-02	0	0	8.078571e+01	3.403449e+02	AGO4
GO_Biological_Process_2023	RNA Secondary Structure Unwinding (GO:0010501)	1.480288e-02	7.865510e-02	0	0	8.078571e+01	3.403449e+02	AGO4
GO_Biological_Process_2023	Inositol Phosphate Biosynthetic Process (GO:0032958)	1.663858e-02	7.865510e-02	0	0	7.068056e+01	2.895098e+02	IPMK
GO_Biological_Process_2023	Positive Regulation Of Neuroblast Proliferation (GO:0002052)	1.663858e-02	7.865510e-02	0	0	7.068056e+01	2.895098e+02	FZD3
GO_Biological_Process_2023	Negative Regulation Of Centrosome Duplication (GO:0010826)	1.663858e-02	7.865510e-02	0	0	7.068056e+01	2.895098e+02	MDM1
GO_Biological_Process_2023	Programmed Necrotic Cell Death (GO:0097300)	1.663858e-02	7.865510e-02	0	0	7.068056e+01	2.895098e+02	IPMK
GO_Biological_Process_2023	pre-miRNA Processing (GO:0031054)	1.847104e-02	8.120107e-02	0	0	6.282099e+01	2.507532e+02	AGO4
GO_Biological_Process_2023	Phosphorylation (GO:0016310)	1.939899e-02	8.120107e-02	0	0	5.953577e+00	2.347218e+01	MAP4K2;PRAG1;TAF11
GO_Biological_Process_2023	miRNA-mediated Gene Silencing By Inhibition Of Translation (GO:0035278)	2.030027e-02	8.120107e-02	0	0	5.653333e+01	2.203173e+02	AGO4
GO_Biological_Process_2023	Apoptotic Cell Clearance (GO:0043277)	2.030027e-02	8.120107e-02	0	0	5.653333e+01	2.203173e+02	XKR8
GO_Biological_Process_2023	Regulation Of Neuroblast Proliferation (GO:1902692)	2.030027e-02	8.120107e-02	0	0	5.653333e+01	2.203173e+02	FZD3
GO_Biological_Process_2023	Polyol Biosynthetic Process (GO:0046173)	2.030027e-02	8.120107e-02	0	0	5.653333e+01	2.203173e+02	IPMK
GO_Biological_Process_2023	Negative Regulation Of Notch Signaling Pathway (GO:0045746)	2.212627e-02	8.189462e-02	0	0	5.138889e+01	1.958425e+02	EGFL7
GO_Biological_Process_2023	Positive Regulation By Host Of Viral Transcription (GO:0043923)	2.394904e-02	8.189462e-02	0	0	4.710185e+01	1.757760e+02	TAF11
