Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Negative Regulation Of Meiotic Cell Cycle (GO:0051447)	5.089231e-03	1.233725e-01	0	0	4.071200e+02	2.149849e+03	DUSP1
GO_Biological_Process_2023	Negative Regulation Of Monocyte Chemotaxis (GO:0090027)	5.089231e-03	1.233725e-01	0	0	4.071200e+02	2.149849e+03	DUSP1
GO_Biological_Process_2023	Ionotropic Glutamate Receptor Signaling Pathway (GO:0035235)	5.089231e-03	1.233725e-01	0	0	4.071200e+02	2.149849e+03	CPEB4
GO_Biological_Process_2023	Long-Term Synaptic Depression (GO:0060292)	5.089231e-03	1.233725e-01	0	0	4.071200e+02	2.149849e+03	PLK2
GO_Biological_Process_2023	Negative Regulation Of p38MAPK Cascade (GO:1903753)	7.624513e-03	1.233725e-01	0	0	2.035400e+02	9.925398e+02	DUSP1
GO_Biological_Process_2023	T Cell Chemotaxis (GO:0010818)	7.624513e-03	1.233725e-01	0	0	2.035400e+02	9.925398e+02	CXCL16
GO_Biological_Process_2023	Vitamin D Metabolic Process (GO:0042359)	7.624513e-03	1.233725e-01	0	0	2.035400e+02	9.925398e+02	CYP1A1
GO_Biological_Process_2023	Skeletal System Development (GO:0001501)	1.009038e-02	1.233725e-01	0	0	1.454167e+01	6.683601e+01	BMP1;ANKH
GO_Biological_Process_2023	Synaptic Membrane Adhesion (GO:0099560)	1.015359e-02	1.233725e-01	0	0	1.356800e+02	6.227615e+02	SLITRK2
GO_Biological_Process_2023	Midbrain Dopaminergic Neuron Differentiation (GO:1904948)	1.015359e-02	1.233725e-01	0	0	1.356800e+02	6.227615e+02	NR4A2
GO_Biological_Process_2023	Regulation Of Mitotic Spindle Checkpoint (GO:1903504)	1.015359e-02	1.233725e-01	0	0	1.356800e+02	6.227615e+02	DUSP1
GO_Biological_Process_2023	Regulation Of Glucan Biosynthetic Process (GO:0010962)	1.267646e-02	1.233725e-01	0	0	1.017500e+02	4.444449e+02	PPP1R3B
GO_Biological_Process_2023	T Cell Migration (GO:0072678)	1.267646e-02	1.233725e-01	0	0	1.017500e+02	4.444449e+02	CXCL16
GO_Biological_Process_2023	Negative Regulation Of Reproductive Process (GO:2000242)	1.267646e-02	1.233725e-01	0	0	1.017500e+02	4.444449e+02	DUSP1
GO_Biological_Process_2023	Negative Regulation Of Cytoplasmic Translation (GO:2000766)	1.267646e-02	1.233725e-01	0	0	1.017500e+02	4.444449e+02	CPEB4
GO_Biological_Process_2023	Regulation Of Presynapse Assembly (GO:1905606)	1.519316e-02	1.233725e-01	0	0	8.139200e+01	3.407810e+02	SLITRK2
GO_Biological_Process_2023	Regulation Of Presynapse Organization (GO:0099174)	1.519316e-02	1.233725e-01	0	0	8.139200e+01	3.407810e+02	SLITRK2
GO_Biological_Process_2023	Regulation Of Glycogen Metabolic Process (GO:0070873)	1.519316e-02	1.233725e-01	0	0	8.139200e+01	3.407810e+02	PPP1R3B
GO_Biological_Process_2023	Regulation Of Translational Termination (GO:0006449)	1.519316e-02	1.233725e-01	0	0	8.139200e+01	3.407810e+02	MTRF1
GO_Biological_Process_2023	Activation Of Phospholipase C Activity (GO:0007202)	1.519316e-02	1.233725e-01	0	0	8.139200e+01	3.407810e+02	LPAR2
GO_Biological_Process_2023	Negative Regulation Of Synaptic Transmission (GO:0050805)	1.519316e-02	1.233725e-01	0	0	8.139200e+01	3.407810e+02	PLK2
GO_Biological_Process_2023	Positive Regulation Of Cartilage Development (GO:0061036)	1.519316e-02	1.233725e-01	0	0	8.139200e+01	3.407810e+02	BMP1
GO_Biological_Process_2023	Long-Chain Fatty Acid Biosynthetic Process (GO:0042759)	1.519316e-02	1.233725e-01	0	0	8.139200e+01	3.407810e+02	CYP1A1
GO_Biological_Process_2023	Lymphocyte Chemotaxis (GO:0048247)	1.770368e-02	1.233725e-01	0	0	6.782000e+01	2.735847e+02	CXCL16
GO_Biological_Process_2023	DNA Dealkylation (GO:0035510)	1.770368e-02	1.233725e-01	0	0	6.782000e+01	2.735847e+02	ALKBH3
GO_Biological_Process_2023	DNA Dealkylation Involved In DNA Repair (GO:0006307)	1.770368e-02	1.233725e-01	0	0	6.782000e+01	2.735847e+02	ALKBH3
GO_Biological_Process_2023	Positive Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process (GO:1902110)	1.770368e-02	1.233725e-01	0	0	6.782000e+01	2.735847e+02	RTL10
GO_Biological_Process_2023	Negative Regulation Of Mononuclear Cell Migration (GO:0071676)	1.770368e-02	1.233725e-01	0	0	6.782000e+01	2.735847e+02	DUSP1
GO_Biological_Process_2023	Mitochondrial Outer Membrane Permeabilization (GO:0097345)	1.770368e-02	1.233725e-01	0	0	6.782000e+01	2.735847e+02	RTL10
GO_Biological_Process_2023	Regulation Of Mitotic Sister Chromatid Segregation (GO:0033047)	1.770368e-02	1.233725e-01	0	0	6.782000e+01	2.735847e+02	DUSP1
GO_Biological_Process_2023	Dopaminergic Neuron Differentiation (GO:0071542)	1.770368e-02	1.233725e-01	0	0	6.782000e+01	2.735847e+02	NR4A2
GO_Biological_Process_2023	Endoderm Development (GO:0007492)	1.770368e-02	1.233725e-01	0	0	6.782000e+01	2.735847e+02	DUSP1
GO_Biological_Process_2023	Negative Regulation Of Leukocyte Chemotaxis (GO:0002689)	2.020805e-02	1.235001e-01	0	0	5.812571e+01	2.267876e+02	DUSP1
GO_Biological_Process_2023	Translational Termination (GO:0006415)	2.020805e-02	1.235001e-01	0	0	5.812571e+01	2.267876e+02	MTRF1
GO_Biological_Process_2023	Glutamate Receptor Signaling Pathway (GO:0007215)	2.020805e-02	1.235001e-01	0	0	5.812571e+01	2.267876e+02	CPEB4
GO_Biological_Process_2023	Long-Term Synaptic Potentiation (GO:0060291)	2.020805e-02	1.235001e-01	0	0	5.812571e+01	2.267876e+02	PLK2
GO_Biological_Process_2023	Phosphatidylinositol-3-Phosphate Biosynthetic Process (GO:0036092)	2.270629e-02	1.235001e-01	0	0	5.085500e+01	1.924919e+02	PIK3C2B
GO_Biological_Process_2023	Cellular Response To Oxygen Levels (GO:0071453)	2.270629e-02	1.235001e-01	0	0	5.085500e+01	1.924919e+02	CPEB4
GO_Biological_Process_2023	Positive Regulation Of Phospholipase C Activity (GO:0010863)	2.270629e-02	1.235001e-01	0	0	5.085500e+01	1.924919e+02	LPAR2
GO_Biological_Process_2023	Regulation Of Mitotic Sister Chromatid Separation (GO:0010965)	2.270629e-02	1.235001e-01	0	0	5.085500e+01	1.924919e+02	DUSP1
GO_Biological_Process_2023	Dorsal/Ventral Pattern Formation (GO:0009953)	2.270629e-02	1.235001e-01	0	0	5.085500e+01	1.924919e+02	BMP1
GO_Biological_Process_2023	Response To Chemokine (GO:1990868)	2.519840e-02	1.277101e-01	0	0	4.520000e+01	1.663801e+02	DUSP1
GO_Biological_Process_2023	Regulation Of Actomyosin Structure Organization (GO:0110020)	2.519840e-02	1.277101e-01	0	0	4.520000e+01	1.663801e+02	ASAP3
GO_Biological_Process_2023	Limb Morphogenesis (GO:0035108)	2.519840e-02	1.277101e-01	0	0	4.520000e+01	1.663801e+02	ZNF141
GO_Biological_Process_2023	Negative Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002862)	2.768440e-02	1.293584e-01	0	0	4.067600e+01	1.459002e+02	PLK2
GO_Biological_Process_2023	Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002861)	2.768440e-02	1.293584e-01	0	0	4.067600e+01	1.459002e+02	PLK2
GO_Biological_Process_2023	Positive Regulation Of Synapse Assembly (GO:0051965)	2.768440e-02	1.293584e-01	0	0	4.067600e+01	1.459002e+02	SLITRK2
GO_Biological_Process_2023	DNA Repair (GO:0006281)	2.981860e-02	1.293584e-01	0	0	4.879737e+00	1.714068e+01	ALKBH3;ENDOV;FAAP20
GO_Biological_Process_2023	DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)	3.016430e-02	1.293584e-01	0	0	3.697455e+01	1.294514e+02	PLK2
GO_Biological_Process_2023	Fat-Soluble Vitamin Metabolic Process (GO:0006775)	3.016430e-02	1.293584e-01	0	0	3.697455e+01	1.294514e+02	CYP1A1
GO_Biological_Process_2023	Cellular Response To Chemokine (GO:1990869)	3.016430e-02	1.293584e-01	0	0	3.697455e+01	1.294514e+02	DUSP1
GO_Biological_Process_2023	Regulation Of Monocyte Chemotaxis (GO:0090025)	3.016430e-02	1.293584e-01	0	0	3.697455e+01	1.294514e+02	DUSP1
GO_Biological_Process_2023	Protein O-linked Mannosylation (GO:0035269)	3.263812e-02	1.347833e-01	0	0	3.389000e+01	1.159809e+02	CRPPA
GO_Biological_Process_2023	Regulation Of Carbohydrate Catabolic Process (GO:0043470)	3.263812e-02	1.347833e-01	0	0	3.389000e+01	1.159809e+02	PPP1R3B
GO_Biological_Process_2023	Central Nervous System Neuron Differentiation (GO:0021953)	3.510587e-02	1.372674e-01	0	0	3.128000e+01	1.047688e+02	NR4A2
GO_Biological_Process_2023	Negative Regulation Of Smoothened Signaling Pathway (GO:0045879)	3.510587e-02	1.372674e-01	0	0	3.128000e+01	1.047688e+02	KCTD6
GO_Biological_Process_2023	Regulation Of Protein-Containing Complex Disassembly (GO:0043244)	3.756757e-02	1.372674e-01	0	0	2.904286e+01	9.530745e+01	MTRF1
GO_Biological_Process_2023	Regulation Of Biomineral Tissue Development (GO:0070167)	3.756757e-02	1.372674e-01	0	0	2.904286e+01	9.530745e+01	ANKH
GO_Biological_Process_2023	Regulation Of Centriole Replication (GO:0046599)	4.002323e-02	1.372674e-01	0	0	2.710400e+01	8.722868e+01	PLK2
