Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	1.889065e-04	3.589224e-03	0	0	1.649140e+01	1.414015e+02	NR4A2;KLF6;DUSP1;PLK2
MSigDB_Hallmark_2020	Hypoxia	4.288418e-02	3.375793e-01	0	0	6.543620e+00	2.060751e+01	KLF6;DUSP1
MSigDB_Hallmark_2020	KRAS Signaling Dn	1.267644e-01	3.375793e-01	0	0	7.790000e+00	1.608966e+01	NR4A2
MSigDB_Hallmark_2020	Cholesterol Homeostasis	1.532407e-01	3.375793e-01	0	0	6.321875e+00	1.185823e+01	CXCL16
MSigDB_Hallmark_2020	Coagulation	1.683269e-01	3.375793e-01	0	0	5.694648e+00	1.014699e+01	BMP1
MSigDB_Hallmark_2020	Androgen Response	1.747130e-01	3.375793e-01	0	0	5.462162e+00	9.529345e+00	ANKH
MSigDB_Hallmark_2020	Inflammatory Response	1.768312e-01	3.375793e-01	0	0	5.388800e+00	9.336416e+00	KLF6
MSigDB_Hallmark_2020	KRAS Signaling Up	2.018455e-01	3.375793e-01	0	0	4.640000e+00	7.425174e+00	ANKH
MSigDB_Hallmark_2020	UV Response Dn	2.458192e-01	3.375793e-01	0	0	3.695413e+00	5.185252e+00	DUSP1
MSigDB_Hallmark_2020	Apoptosis	2.458192e-01	3.375793e-01	0	0	3.695413e+00	5.185252e+00	ANKH
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	2.496992e-01	3.375793e-01	0	0	3.628108e+00	5.033994e+00	BMP1
MSigDB_Hallmark_2020	UV Response Up	2.593155e-01	3.375793e-01	0	0	3.470000e+00	4.683493e+00	CYP1A1
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	2.631287e-01	3.375793e-01	0	0	3.410508e+00	4.553411e+00	KLF6
MSigDB_Hallmark_2020	Fatty Acid Metabolism	2.688132e-01	3.375793e-01	0	0	3.324959e+00	4.368127e+00	CYP1A1
MSigDB_Hallmark_2020	Xenobiotic Metabolism	2.725793e-01	3.375793e-01	0	0	3.270244e+00	4.250746e+00	CYP1A1
MSigDB_Hallmark_2020	Apical Junction	2.892976e-01	3.375793e-01	0	0	3.044545e+00	3.776148e+00	BMP1
MSigDB_Hallmark_2020	p53 Pathway	3.020447e-01	3.375793e-01	0	0	2.889209e+00	3.458904e+00	PLK2
MSigDB_Hallmark_2020	Oxidative Phosphorylation	3.900895e-01	3.932529e-01	0	0	2.091728e+00	1.969109e+00	MTRF1
MSigDB_Hallmark_2020	G2-M Checkpoint	3.932529e-01	3.932529e-01	0	0	2.069637e+00	1.931597e+00	FOXN3
