term,fdr,Odds Ratio,Combined Score,Genes,description
TNF-alpha Signaling via NF-kB,0.003589224,16.4914,141.4015,NR4A2;KLF6;DUSP1;PLK2,TNF-alpha Signaling via NF-kB
Hypoxia,0.3375793,6.54362,20.60751,KLF6;DUSP1,Hypoxia
KRAS Signaling Dn,0.3375793,7.79,16.08966,NR4A2,KRAS Signaling Dn
Cholesterol Homeostasis,0.3375793,6.321875,11.85823,CXCL16,Cholesterol Homeostasis
Coagulation,0.3375793,5.694648,10.14699,BMP1,Coagulation
Androgen Response,0.3375793,5.462162,9.529345,ANKH,Androgen Response
Inflammatory Response,0.3375793,5.3888,9.336416,KLF6,Inflammatory Response
KRAS Signaling Up,0.3375793,4.64,7.425174,ANKH,KRAS Signaling Up
UV Response Dn,0.3375793,3.695413,5.185252,DUSP1,UV Response Dn
Apoptosis,0.3375793,3.695413,5.185252,ANKH,Apoptosis
Epithelial Mesenchymal Transition,0.3375793,3.628108,5.033994,BMP1,Epithelial Mesenchymal Transition
UV Response Up,0.3375793,3.47,4.683493,CYP1A1,UV Response Up
IL-2/STAT5 Signaling,0.3375793,3.410508,4.553411,KLF6,IL-2/STAT5 Signaling
Fatty Acid Metabolism,0.3375793,3.324959,4.368127,CYP1A1,Fatty Acid Metabolism
Xenobiotic Metabolism,0.3375793,3.270244,4.250746,CYP1A1,Xenobiotic Metabolism
Apical Junction,0.3375793,3.044545,3.776148,BMP1,Apical Junction
p53 Pathway,0.3375793,2.889209,3.458904,PLK2,p53 Pathway
Oxidative Phosphorylation,0.3932529,2.091728,1.969109,MTRF1,Oxidative Phosphorylation
G2-M Checkpoint,0.3932529,2.069637,1.931597,FOXN3,G2-M Checkpoint
