term,fdr,Odds Ratio,Combined Score,Genes,description
Interferon Alpha Response,0.2582405,7.224286,14.38675,CMPK2,Interferon Alpha Response
Coagulation,0.2582405,7.121831,14.08997,BMP1,Coagulation
Myogenesis,0.2582405,5.545604,9.718603,DES,Myogenesis
Apoptosis,0.2582405,4.62156,7.352797,PPP2R5B,Apoptosis
Epithelial Mesenchymal Transition,0.2582405,4.537387,7.145762,BMP1,Epithelial Mesenchymal Transition
TNF-alpha Signaling via NF-kB,0.2582405,4.416667,6.8515,IER2,TNF-alpha Signaling via NF-kB
Interferon Gamma Response,0.2582405,4.228992,6.40047,CMPK2,Interferon Gamma Response
Apical Junction,0.2582405,3.807576,5.417944,BMP1,Apical Junction
p53 Pathway,0.2582405,3.613309,4.980081,RCHY1,p53 Pathway
DNA Repair,0.2582405,3.613309,4.980081,CMPK2,DNA Repair
heme Metabolism,0.2582405,3.510839,4.753199,PPP2R5B,heme Metabolism
