"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0001935","GO:0001935",14,"GO:0001935",0.972122219960181,202,"endothelial cell proliferation","endothelial cell proliferation",0.979983739837398,1,0
"GO:1902882","GO:1902882",9,"GO:1902882",0.972122219960181,35,"regulation of response to oxidative stress","regulation of response to oxidative stress",0.942048780487805,1,0
"GO:0061548","GO:0061548",3,"GO:0061548",0.972122219960181,17,"ganglion development","ganglion development",0.919260162601626,1,0
"GO:0061036","GO:0061036",8,"GO:0061036",0.972122219960181,32,"positive regulation of cartilage development","positive regulation of cartilage development",0.86979674796748,0.6145,0
"GO:0060993","GO:0060993",4,"GO:0060993",0.972122219960181,98,"kidney morphogenesis","kidney morphogenesis",0.915894308943089,0.555,0
"GO:0048485","GO:0048485",2,"GO:0048485",0.972122219960181,22,"sympathetic nervous system development","sympathetic nervous system development",0.928813008130081,0.5275,0
"GO:0061549","GO:0061549",2,"GO:0048485",0.972122219960181,9,"sympathetic ganglion development","sympathetic nervous system development",0.918991869918699,0.5275,0.945
"GO:0051881","GO:0051881",1,"GO:0051881",0.972122219960181,73,"regulation of mitochondrial membrane potential","regulation of mitochondrial membrane potential",0.946585365853658,0.501,0
"GO:0030856","GO:0030856",10,"GO:0030856",0.972122219960181,171,"regulation of epithelial cell differentiation","regulation of epithelial cell differentiation",0.859447154471545,0.5,0
"GO:1900117","GO:1900117",7,"GO:1900117",0.972122219960181,30,"regulation of execution phase of apoptosis","regulation of execution phase of apoptosis",0.940886178861789,0.490666666666667,0
"GO:1903522","GO:1903522",13,"GO:1903522",0.972122219960181,258,"regulation of blood circulation","regulation of blood circulation",0.912447154471545,0.465666666666667,0
"GO:0045837","GO:0045837",1,"GO:0051881",0.972122219960181,12,"negative regulation of membrane potential","regulation of mitochondrial membrane potential",0.950333333333333,0.464333333333333,0.611
"GO:1900118","GO:1900118",7,"GO:1900117",0.972122219960181,22,"negative regulation of execution phase of apoptosis","regulation of execution phase of apoptosis",0.928747967479675,0.439666666666667,0.984
"GO:0035563","GO:0035563",12,"GO:0035563",0.972122219960181,9,"positive regulation of chromatin binding","positive regulation of chromatin binding",0.936520325203252,0.391666666666667,0
"GO:0043652","GO:0043652",5,"GO:0043652",0.972122219960181,15,"engulfment of apoptotic cell","engulfment of apoptotic cell",0.923569105691057,0.382333333333333,0
