,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0043589,skin morphogenesis,GO:0043589,0.1151805,89.28947,383.4612,AHDC1,Skin Morphogenesis (GO:0043589)
1,GO:1904526,regulation of microtubule binding,GO:1904526,0.1151805,133.9605,620.1298,GAS8,Regulation Of Microtubule Binding (GO:1904526)
2,GO:0003341,cilium movement,GO:0003341,0.1151805,89.28947,383.4612,GAS8,Cilium Movement (GO:0003341)
3,GO:0043508,negative regulation of JUN kinase activity,GO:0043508,0.1151805,89.28947,383.4612,HIPK3,Negative Regulation Of JUN Kinase Activity (GO:0043508)
4,GO:0060285,cilium-dependent cell motility,GO:0060285,0.1151805,178.6316,866.6153,GAS8,Cilium-Dependent Cell Motility (GO:0060285)
5,GO:0055090,acylglycerol homeostasis,GO:0055090,0.1151805,66.95395,270.8374,ANGPTL4,Acylglycerol Homeostasis (GO:0055090)
6,GO:1903564,regulation of protein localization to cilium,GO:1903564,0.1151805,89.28947,383.4612,GAS8,Regulation Of Protein Localization To Cilium (GO:1903564)
7,GO:0048172,regulation of short-term neuronal synaptic plasticity,GO:0048172,0.1151805,89.28947,383.4612,PPFIA3,Regulation Of Short-Term Neuronal Synaptic Plasticity (GO:0048172)
8,GO:0051004,regulation of lipoprotein lipase activity,GO:0051004,0.1151805,76.52632,318.5012,ANGPTL4,Regulation Of Lipoprotein Lipase Activity (GO:0051004)
9,GO:1903706,regulation of hemopoiesis,GO:1903706,0.1151805,66.95395,270.8374,MYSM1,Regulation Of Hemopoiesis (GO:1903706)
10,GO:0051588,regulation of neurotransmitter transport,GO:0051588,0.1151805,107.1579,476.6175,MCTP2,Regulation Of Neurotransmitter Transport (GO:0051588)
11,GO:1902306,negative regulation of sodium ion transmembrane transport,GO:1902306,0.1151805,66.95395,270.8374,HECW2,Negative Regulation Of Sodium Ion Transmembrane Transport (GO:1902306)
12,GO:0030071,regulation of mitotic metaphase/anaphase transition,GO:0030071,0.1151805,25.60859,144.1905,HECW2;ANAPC11,Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0030071)
13,GO:0051445,regulation of meiotic cell cycle,GO:0051445,0.1307808,33.45066,114.2865,ANAPC11,Regulation Of Meiotic Cell Cycle (GO:0051445)
14,GO:0045880,positive regulation of smoothened signaling pathway,GO:0045880,0.1307808,44.61842,164.2458,GAS8,Positive Regulation Of Smoothened Signaling Pathway (GO:0045880)
15,GO:0031145,anaphase-promoting complex-dependent catabolic process,GO:0031145,0.1307808,29.72807,98.31662,ANAPC11,Anaphase-Promoting Complex-Dependent Catabolic Process (GO:0031145)
16,GO:0007269,neurotransmitter secretion,GO:0007269,0.1307808,31.47988,105.783,PPFIA3,Neurotransmitter Secretion (GO:0007269)
17,GO:0018105,peptidyl-serine phosphorylation,GO:0018105,0.1307808,9.089431,33.7184,MASTL;HIPK3,Peptidyl-Serine Phosphorylation (GO:0018105)
18,GO:0035308,negative regulation of protein dephosphorylation,GO:0035308,0.1307808,35.68421,124.0478,MASTL,Negative Regulation Of Protein Dephosphorylation (GO:0035308)
19,GO:2000042,negative regulation of double-strand break repair via homologous recombination,GO:2000042,0.1307808,29.72807,98.31662,PARPBP,Negative Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:2000042)
20,GO:0048814,regulation of dendrite morphogenesis,GO:0048814,0.133716,28.16066,91.71456,HECW2,Regulation Of Dendrite Morphogenesis (GO:0048814)
21,GO:0070979,protein K11-linked ubiquitination,GO:0070979,0.1414368,22.28289,67.70259,ANAPC11,Protein K11-linked Ubiquitination (GO:0070979)
22,GO:0043506,regulation of JUN kinase activity,GO:0043506,0.1414368,21.38947,64.16898,HIPK3,Regulation Of JUN Kinase Activity (GO:0043506)
23,GO:0019932,second-messenger-mediated signaling,GO:0019932,0.149044,18.43194,52.7269,MCTP2,Second-Messenger-Mediated Signaling (GO:0019932)
24,GO:0008277,regulation of G protein-coupled receptor signaling pathway,GO:0008277,0.1497801,16.19139,44.35081,KCTD8,Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0008277)
25,GO:0009299,mRNA transcription,GO:0009299,0.1497801,15.26316,40.96402,HIPK3,mRNA Transcription (GO:0009299)
26,GO:0034330,cell junction organization,GO:0034330,0.1497801,15.26316,40.96402,PPFIA3,Cell Junction Organization (GO:0034330)
27,GO:0043069,negative regulation of programmed cell death,GO:0043069,0.1772583,4.309462,10.38708,ANGPTL4;HIPK3,Negative Regulation Of Programmed Cell Death (GO:0043069)
28,GO:0030111,regulation of Wnt signaling pathway,GO:0030111,0.1898441,9.351801,20.8282,FAM53B,Regulation Of Wnt Signaling Pathway (GO:0030111)
29,GO:0006606,protein import into nucleus,GO:0006606,0.1903241,8.194332,17.25164,FAM53B,Protein Import Into Nucleus (GO:0006606)
